RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
16.89, None, None, None,2.951,95.8, None, None, -12.0, None, None, None, None, None, None, None, None,12.29, None, None, None, None,26.15, None, None, None, None,2016-07-01 00:00:00, None,27
17.19, None, None, None,2.049,119.3, None, None, -13.0, None, None, None, None, None, None, None, None,11.49, None, None, None, None,57.56, None, None, None, None,2016-07-01 01:00:00, None,27
17.34, None, None, None,0.36,75.8, None, None, -13.0, None, None, None, None, None, None, None, None,11.19, None, None, None, None,74.5, None, None, None, None,2016-07-01 02:00:00, None,27
17.54, None, None, None,1.071,278.5, None, None, -13.0, None, None, None, None, None, None, None, None,10.55, None, None, None, None,36.53, None, None, None, None,2016-07-01 03:00:00, None,27
17.97, None, None, None,1.201,261.0, None, None, -13.0, None, None, None, None, None, None, None, None,10.13, None, None, None, None,29.44, None, None, None, None,2016-07-01 04:00:00, None,27
17.92, None, None, None,1.063,294.1, None, None, -13.0, None, None, None, None, None, None, None, None,10.09, None, None, None, None,45.56, None, None, None, None,2016-07-01 05:00:00, None,27
17.68, None, None, None,2.202,306.9, None, None, -13.0, None, None, None, None, None, None, None, None,10.69, None, None, None, None,25.71, None, None, None, None,2016-07-01 06:00:00, None,27
16.57, None, None, None,0.32,227.0, None, None, -11.0, None, None, None, None, None, None, None, None,13.76, None, None, None, None,64.8, None, None, None, None,2016-07-01 07:00:00, None,27
16.3, None, None, None,1.288,256.1, None, None, -11.0, None, None, None, None, None, None, None, None,14.46, None, None, None, None,23.38, None, None, None, None,2016-07-01 08:00:00, None,27
15.88, None, None, None,2.32,217.4, None, None, -10.0, None, None, None, None, None, None, None, None,15.86, None, None, None, None,36.8, None, None, None, None,2016-07-01 09:00:00, None,27
15.51, None, None, None,3.747,188.2, None, None, -9.0, None, None, None, None, None, None, None, None,17.1, None, None, None, None,27.35, None, None, None, None,2016-07-01 10:00:00, None,27
15.7, None, None, None,1.646,205.6, None, None, -10.0, None, None, None, None, None, None, None, None,16.47, None, None, None, None,25.23, None, None, None, None,2016-07-01 11:00:00, None,27
15.89, None, None, None,2.241,320.9, None, None, -10.0, None, None, None, None, None, None, None, None,15.83, None, None, None, None,26.58, None, None, None, None,2016-07-01 12:00:00, None,27
16.25, None, None, None,4.419,281.5, None, None, -11.0, None, None, None, None, None, None, None, None,14.21, None, None, None, None,42.1, None, None, None, None,2016-07-01 13:00:00, None,27
