station_observations
AirTemperature, Rain, WindSpeed, time, WindDirection, RelativeHumidity
-5.0, 0.0, 15.4, 2016-01-01 00:00:00, 241.0, 99.0
-5.2, 0.0, 16.4, 2016-01-01 00:15:00, 243.0, 99.0
-5.3, 0.0, 19.8, 2016-01-01 00:30:00, 242.0, 99.0
-4.9, 0.0, 21.6, 2016-01-01 00:45:00, 243.0, 100.0
-4.7, 0.0, 19.6, 2016-01-01 01:00:00, 245.0, 100.0
-4.6, 0.0, 17.6, 2016-01-01 01:15:00, 248.0, 100.0
-4.7, 0.0, 17.2, 2016-01-01 01:30:00, 248.0, 100.0
-4.7, 0.0, 18.7, 2016-01-01 01:45:00, 242.0, 100.0
-4.6, 0.0, 19.9, 2016-01-01 02:00:00, 238.0, 100.0
-4.6, 0.0, 20.1, 2016-01-01 02:15:00, 236.0, 100.0
-4.7, 0.0, 18.6, 2016-01-01 02:30:00, 244.0, 99.0
-4.7, 0.0, 19.7, 2016-01-01 02:45:00, 247.0, 100.0
-4.7, 0.0, 19.1, 2016-01-01 03:00:00, 247.0, 100.0
-4.7, 0.0, 18.6, 2016-01-01 03:15:00, 248.0, 99.0
-4.7, 0.0, 20.6, 2016-01-01 03:30:00, 248.0, 100.0
-4.7, 0.0, 19.0, 2016-01-01 03:45:00, 249.0, 99.0
-4.6, 0.0, 17.7, 2016-01-01 04:00:00, 245.0, 100.0
-4.7, 0.0, 19.8, 2016-01-01 04:15:00, 240.0, 99.0
-4.7, 0.0, 20.2, 2016-01-01 04:30:00, 248.0, 99.0
-4.8, 0.0, 17.3, 2016-01-01 04:45:00, 250.0, 99.0
-4.7, 0.0, 17.6, 2016-01-01 05:00:00, 248.0, 100.0
-4.6, 0.0, 19.0, 2016-01-01 05:15:00, 248.0, 99.0
-4.6, 0.0, 19.0, 2016-01-01 05:30:00, 250.0, 99.0
-4.5, 0.0, 18.3, 2016-01-01 05:45:00, 244.0, 100.0
-4.5, 0.0, 21.6, 2016-01-01 06:00:00, 243.0, 100.0
-4.3, 0.0, 23.9, 2016-01-01 06:15:00, 246.0, 100.0
-4.2, 0.0, 20.6, 2016-01-01 06:30:00, 244.0, 99.0
-4.3, 0.0, 21.2, 2016-01-01 06:45:00, 232.0, 99.0
-4.4, 0.0, 19.3, 2016-01-01 07:00:00, 244.0, 99.0
-4.5, 0.0, 18.9, 2016-01-01 07:15:00, 241.0, 99.0
-4.6, 0.0, 19.2, 2016-01-01 07:30:00, 240.0, 99.0
-4.6, 0.0, 17.7, 2016-01-01 07:45:00, 248.0, 99.0
-4.6, 0.0, 18.4, 2016-01-01 08:00:00, 237.0, 99.0
-4.6, 0.0, 18.9, 2016-01-01 08:15:00, 235.0, 99.0
-4.4, 0.0, 18.7, 2016-01-01 08:30:00, 236.0, 99.0
-4.3, 0.0, 17.1, 2016-01-01 08:45:00, 237.0, 98.0
-4.0, 0.0, 16.7, 2016-01-01 09:00:00, 240.0, 98.0
-3.3, 0.0, 18.6, 2016-01-01 09:15:00, 232.0, 97.0
-2.7, 0.0, 20.3, 2016-01-01 09:30:00, 228.0, 96.0
-2.5, 0.0, 18.5, 2016-01-01 09:45:00, 245.0, 94.0
-2.4, 0.0, 17.2, 2016-01-01 10:00:00, 240.0, 94.0
-2.3, 0.0, 17.7, 2016-01-01 10:15:00, 244.0, 94.0
