WDIR_VECT,time,TEMP_MEAN,HUMIDITY,week_of_year
175.5,2021-12-03 00:00:00, None,99.2,49
215.8,2021-12-03 01:00:00, None,99.0,49
209.6,2021-12-03 02:00:00, None,99.5,49
214.4,2021-12-03 03:00:00, None,99.8,49
206.9,2021-12-03 04:00:00, None,99.4,49
189.0,2021-12-03 05:00:00, None,99.5,49
232.4,2021-12-03 06:00:00, None,99.2,49
215.1,2021-12-03 07:00:00, None,99.2,49
197.0,2021-12-03 08:00:00, None,99.1,49
94.3,2021-12-03 09:00:00, None,99.3,49
329.5,2021-12-03 10:00:00, None,98.9,49
355.9,2021-12-03 11:00:00, None,99.1,49
333.5,2021-12-03 12:00:00, None,99.3,49
23.7,2021-12-03 13:00:00, None,73.5,49
334.2,2021-12-03 14:00:00, None,59.6,49
294.7,2021-12-03 15:00:00, None,71.1,49
191.8,2021-12-03 16:00:00, None,79.9,49
178.3,2021-12-03 17:00:00, None,83.9,49
199.6,2021-12-03 18:00:00, None,88.7,49
147.0,2021-12-03 19:00:00, None,88.4,49
182.5,2021-12-03 20:00:00, None,90.5,49
201.2,2021-12-03 21:00:00, None,93.1,49
205.8,2021-12-03 22:00:00, None,92.2,49
259.9,2021-12-03 23:00:00, None,96.9,49
184.1,2021-12-04 00:00:00, None,95.7,49
205.9,2021-12-04 01:00:00, None,97.0,49
105.0,2021-12-04 02:00:00, None,94.4,49
122.8,2021-12-04 03:00:00, None,93.2,49
221.5,2021-12-04 04:00:00, None,89.9,49
155.2,2021-12-04 05:00:00, None,96.6,49
109.0,2021-12-04 06:00:00, None,99.0,49
243.0,2021-12-04 07:00:00, None,99.0,49
242.9,2021-12-04 08:00:00, None,98.9,49
232.5,2021-12-04 09:00:00, None,99.5,49
243.7,2021-12-04 10:00:00, None,99.1,49
272.1,2021-12-04 11:00:00, None,99.2,49
328.8,2021-12-04 12:00:00, None,93.7,49
333.6,2021-12-04 13:00:00, None,90.8,49
329.4,2021-12-04 14:00:00, None,90.4,49
305.5,2021-12-04 15:00:00, None,78.7,49
256.5,2021-12-04 16:00:00, None,86.9,49
304.4,2021-12-04 17:00:00, None,99.4,49
162.1,2021-12-04 18:00:00, None,99.2,49
204.1,2021-12-04 19:00:00, None,99.1,49
234.7,2021-12-04 20:00:00, None,99.2,49
234.8,2021-12-04 21:00:00, None,99.3,49
219.5,2021-12-04 22:00:00, None,99.3,49
271.0,2021-12-04 23:00:00, None,99.1,49
205.5,2021-12-05 00:00:00, None,99.3,49
217.2,2021-12-05 01:00:00, None,98.9,49
226.0,2021-12-05 02:00:00, None,99.1,49
227.3,2021-12-05 03:00:00, None,99.3,49
179.0,2021-12-05 04:00:00, None,99.3,49
219.1,2021-12-05 05:00:00, None,98.8,49
184.1,2021-12-05 06:00:00, None,99.1,49
246.2,2021-12-05 07:00:00, None,99.2,49
210.0,2021-12-05 08:00:00, None,99.4,49
200.6,2021-12-05 09:00:00, None,99.4,49
89.9,2021-12-05 10:00:00, None,99.1,49
256.7,2021-12-05 11:00:00, None,98.9,49
72.6,2021-12-05 12:00:00, None,99.4,49
86.9,2021-12-05 13:00:00, None,84.7,49
263.5,2021-12-05 14:00:00, None,73.2,49
126.5,2021-12-05 15:00:00, None,76.0,49
163.8,2021-12-05 16:00:00, None,87.2,49
209.2,2021-12-05 17:00:00, None,92.6,49
184.7,2021-12-05 18:00:00, None,98.6,49
219.9,2021-12-05 19:00:00, None,99.1,49
172.8,2021-12-05 20:00:00, None,99.2,49
190.7,2021-12-05 21:00:00, None,99.4,49
212.2,2021-12-05 22:00:00, None,97.3,49
170.4,2021-12-05 23:00:00, None,98.9,49
191.3,2021-12-06 00:00:00, None,99.2,49
181.6,2021-12-06 01:00:00, None,98.9,49
141.6,2021-12-06 02:00:00, None,98.9,49
103.9,2021-12-06 03:00:00, None,99.7,49
124.5,2021-12-06 04:00:00, None,98.9,49
273.4,2021-12-06 05:00:00, None,99.8,49
260.0,2021-12-06 06:00:00, None,98.8,49
177.2,2021-12-06 07:00:00, None,99.4,49
113.9,2021-12-06 08:00:00, None,98.9,49
95.3,2021-12-06 09:00:00, None,99.4,49
130.1,2021-12-06 10:00:00, None,99.1,49
63.9,2021-12-06 11:00:00, None,99.2,49
318.6,2021-12-06 12:00:00, None,99.0,49
292.8,2021-12-06 13:00:00, None,99.1,49
278.7,2021-12-06 14:00:00, None,99.3,49
82.6,2021-12-06 15:00:00, None,99.0,49
313.0,2021-12-06 16:00:00, None,99.2,49
191.4,2021-12-06 17:00:00, None,99.2,49
162.6,2021-12-06 18:00:00, None,99.2,49
207.2,2021-12-06 19:00:00, None,98.9,49
232.0,2021-12-06 20:00:00, None,99.1,49
267.4,2021-12-06 21:00:00, None,99.1,49
302.7,2021-12-06 22:00:00, None,98.9,49
153.6,2021-12-06 23:00:00, None,99.6,49
127.0,2021-12-07 00:00:00, None,99.2,49
222.3,2021-12-07 01:00:00, None,99.0,49
312.0,2021-12-07 02:00:00, None,99.8,49
249.3,2021-12-07 03:00:00, None,99.0,49
292.6,2021-12-07 04:00:00, None,98.9,49
161.3,2021-12-07 05:00:00, None,99.1,49
128.4,2021-12-07 06:00:00, None,99.3,49
122.1,2021-12-07 07:00:00, None,98.9,49
126.9,2021-12-07 08:00:00, None,99.2,49
104.4,2021-12-07 09:00:00, None,99.3,49
33.8,2021-12-07 10:00:00, None,99.2,49
72.4,2021-12-07 11:00:00, None,98.9,49
42.5,2021-12-07 12:00:00, None,99.3,49
346.2,2021-12-07 13:00:00, None,99.2,49
33.6,2021-12-07 14:00:00, None,99.0,49
64.8,2021-12-07 15:00:00, None,98.9,49
77.7,2021-12-07 16:00:00, None,99.0,49
63.5,2021-12-07 17:00:00, None,99.5,49
