wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,time,week_of_year,WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,avg_air_temp_pst1hr
259.0, 46.0, 0.6, 0.0, 10.8, 4.7, 23.0, 22.1, 307.0, 0.0, 0.0, 50.0,2022-08-20 00:00:00,34,,,,,,
292.0, 53.0, 5.5, 0.0, 11.9, 2.5, 21.9, 21.3, 287.0, 0.0, 0.0, 53.0,2022-08-20 01:00:00,34,,,,,,
274.0, 50.0, 4.7, 0.0, 11.2, 3.3, 22.1, 20.9, 259.0, 0.0, 0.0, 56.0,2022-08-20 02:00:00,34,,,,,,
267.0, 53.0, 2.5, 0.0, 11.3, 6.0, 21.3, 20.1, 292.0, 0.0, 0.0, 61.0,2022-08-20 03:00:00,34,,,,,,
263.0, 56.0, 3.3, 0.0, 11.8, 4.1, 20.9, 20.0, 274.0, 0.0, 0.0, 59.0,2022-08-20 04:00:00,34,,,,,,
103.0, 61.0, None, 0.0, 12.4, 0.1, 20.1, 20.0, 267.0, 0.0, 0.0, 58.0,2022-08-20 05:00:00,34,,,,,,
18.0, 59.0, 4.1, 0.0, 11.8, 2.6, 20.0, 22.9, 263.0, 0.0, 0.0, 51.0,2022-08-20 06:00:00,34,,,,,,
348.0, 58.0, 0.1, 0.0, 11.5, 4.9, 20.0, 23.6, 103.0, 0.0, 0.0, 54.0,2022-08-20 07:00:00,34,,,,,,
330.0, 51.0, 2.6, 0.0, 12.2, 4.2, 22.9, 23.8, 18.0, 0.0, 0.0, 52.0,2022-08-20 08:00:00,34,,,,,,
322.0, 54.0, 4.9, 0.0, 13.8, 10.8, 23.6, 24.2, 348.0, 0.0, 0.0, 52.0,2022-08-20 09:00:00,34,,,,,,
356.0, 52.0, 4.2, 0.0, 13.4, 6.4, 23.8, 24.3, 330.0, 0.0, 0.0, 47.0,2022-08-20 10:00:00,34,,,,,,
344.0, 52.0, 10.8, 0.0, 13.7, 9.0, 24.2, 27.7, 322.0, 0.0, 0.0, 39.0,2022-08-20 11:00:00,34,,,,,,
357.0, 47.0, 6.4, 0.0, 12.3, 7.8, 24.3, 29.5, 356.0, 0.0, 0.0, 35.0,2022-08-20 12:00:00,34,,,,,,
334.0, 39.0, None, 0.0, 12.5, 5.7, 27.7, 28.6, 344.0, 0.0, 0.0, 35.0,2022-08-20 13:00:00,34,,,,,,
