station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -6.0, 0.0, 2015-01-01 00:00:00, 0.0, 4.0
5.2, 5.2, -2.0, 0.0, 2015-01-02 00:00:00, 0.0, 2.5
8.4, 8.4, 0.0, 0.0, 2015-01-03 00:00:00, 0.0, 3.0
51.8, 51.8, 0.0, 0.0, 2015-01-04 00:00:00, 0.0, 5.0
10.6, 10.6, 2.0, 0.0, 2015-01-05 00:00:00, 0.0, 7.0
0.2, 0.2, 5.0, 0.0, 2015-01-06 00:00:00, 0.0, 9.5
0.0, 0.0, 1.0, 0.0, 2015-01-07 00:00:00, 0.0, 6.0
0.0, 0.0, -1.0, 0.0, 2015-01-08 00:00:00, 0.0, 8.5
3.4, 3.4, -1.0, 0.0, 2015-01-09 00:00:00, 0.0, 7.5
0.4, 0.4, 4.0, 0.0, 2015-01-10 00:00:00, 0.0, 6.0
0.6, 0.6, 3.5, 0.0, 2015-01-11 00:00:00, 0.0, 7.0
0.0, 0.0, 4.0, 0.0, 2015-01-12 00:00:00, 0.0, 8.0
0.0, 0.0, 3.0, 0.0, 2015-01-13 00:00:00, 0.0, 5.5
0.2, 0.2, 0.0, 0.0, 2015-01-14 00:00:00, 0.0, 7.5
32.8, 32.8, -2.0, 0.0, 2015-01-15 00:00:00, 0.0, 4.5
0.0, 0.0, 3.5, 0.0, 2015-01-16 00:00:00, 0.0, 11.0
51.4, 51.4, 0.0, 0.0, 2015-01-17 00:00:00, 0.0, 10.0
14.4, 14.4, 4.0, 0.0, 2015-01-18 00:00:00, 0.0, 9.5
0.4, 0.4, 1.5, 0.0, 2015-01-19 00:00:00, 0.0, 9.0
0.0, 0.0, -0.5, 0.0, 2015-01-20 00:00:00, 0.0, 6.0
5.6, 5.6, -3.0, 0.0, 2015-01-21 00:00:00, 0.0, 5.5
15.2, 15.2, 2.5, 0.0, 2015-01-22 00:00:00, 0.0, 7.0
41.6, 41.6, 5.0, 0.0, 2015-01-23 00:00:00, 0.0, 10.0
5.0, 5.0, 6.0, 0.0, 2015-01-24 00:00:00, 0.0, 11.5
0.0, 0.0, 7.0, 0.0, 2015-01-25 00:00:00, 0.0, 12.5
0.6, 0.6, 1.5, 0.0, 2015-01-26 00:00:00, 0.0, 12.5
0.0, 0.0, 6.0, 0.0, 2015-01-27 00:00:00, 0.0, 11.5
0.4, 0.4, 0.5, 0.0, 2015-01-28 00:00:00, 0.0, 11.0
0.0, 0.0, 1.0, 0.0, 2015-01-29 00:00:00, 0.0, 12.0
0.0, 0.0, -2.0, 0.0, 2015-01-30 00:00:00, 0.0, 11.5
2.2, 2.2, -0.5, 0.0, 2015-01-31 00:00:00, 0.0, 8.0
5.4, 5.4, 3.0, 0.0, 2015-02-01 00:00:00, 0.0, 7.5
6.6, 6.6, 4.0, 0.0, 2015-02-02 00:00:00, 0.0, 7.5
0.2, 0.2, 4.0, 0.0, 2015-02-03 00:00:00, 0.0, 9.0
43.0, 43.0, 5.0, 0.0, 2015-02-04 00:00:00, 0.0, 7.5
73.0, 73.0, 5.0, 0.0, 2015-02-05 00:00:00, 0.0, 13.0
53.6, 53.6, 10.0, 0.0, 2015-02-06 00:00:00, 0.0, 13.0
18.8, 18.8, 8.0, 0.0, 2015-02-07 00:00:00, 0.0, 11.5
15.6, 15.6, 7.5, 0.0, 2015-02-08 00:00:00, 0.0, 10.0
7.4, 7.4, 7.0, 0.0, 2015-02-09 00:00:00, 0.0, 10.5
0.0, 0.0, 7.0, 0.0, 2015-02-10 00:00:00, 0.0, 10.0
6.0, 6.0, 4.0, 0.0, 2015-02-11 00:00:00, 0.0, 11.0
