,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
12,1,EC,1164384,279,KNUTSFORD,682,BC,-120.316667,50.616667,786.0,1986-06-01,1988-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
19,1,EC,116CQAK,292,KAMLOOPS DALLAS,695,BC,-120.166667,50.666667,346.0,1989-06-01,1989-11-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)
93,1,EC,1163873,1278,KAMLOOPS TUNSTALL CRES,1681,BC,-120.316667,50.666667,442.0,1970-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
94,1,EC,1163875,1279,KAMLOOPS VALLEYVIEW,1682,BC,-120.25,50.683333,347.0,1962-05-01,2005-09-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
100,1,EC,1164LH5,1290,KNUTSFORD 2S,1693,BC,-120.316667,50.6,899.0,1986-07-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
124,1,EC,116C8P0,1331,KAMLOOPS PRATT ROAD,1734,BC,-120.2,50.6,640.0,1986-06-12,2022-03-03,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
128,1,EC,116NJRF,1337,MONTE CREEK WEST,1740,BC,-120.016667,50.65,363.0,1986-07-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
133,12,FLNRO-WMB,275,1827,ZZ KAMLOOPS R/S,2230,BC,-120.3,50.7,3.0,1972-05-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
143,12,FLNRO-WMB,299,1849,ZZ ROSE HILL,2252,BC,-120.3,50.6,5.0,1992-09-21,2000-10-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
168,12,FLNRO-WMB,700,2150,ZZ ROARING,2553,BC,-120.3,50.5,9.0,1989-06-19,1990-07-22,Daily,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
344,17,ARDA,116156,5635,MCCRAKEN    KAM,7317,BC,-120.223611111111,50.6680555555556,354.0,1971-04-20,1973-10-26,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
345,17,ARDA,116157,5636,HOPSPUR     KAM,7318,BC,-120.113888888889,50.6611111111111,352.0,1971-05-27,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
346,17,ARDA,116158,5637,MONTE CK 1  KAM,7319,BC,-119.990277777778,50.6472222222222,362.0,1971-05-03,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
391,17,ARDA,116247,5725,SHUMWAY     KAM,7408,BC,-120.254166666667,50.5263888888889,688.0,1971-05-28,1973-10-26,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
392,17,ARDA,116248,5726,BERESFORD,7409,BC,-120.290277777778,50.5916666666667,874.0,1971-04-12,1973-10-26,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
393,17,ARDA,116249,5727,ROSE HILL,7410,BC,-120.273611111111,50.6236111111111,1006.0,1971-04-12,1973-08-17,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
394,17,ARDA,116262,5740,SKYDIVER    KAM,7423,BC,-120.211111111111,50.7338888888889,598.0,1971-05-31,1973-09-30,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
