,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
379,17,ARDA,116198,5676,PRINGLE     KAM,7358,BC,-119.830555555556,50.4930555555556,697.0,1971-06-30,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
383,17,ARDA,116202,5680,VANITY      KAM,7362,BC,-119.827777777778,50.3916666666667,705.0,1971-05-29,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
