,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
21,1,EC,1120486,1013,ARMSTRONG OTTER LAKE,1416,BC,-119.25,50.4,342.0,1991-04-01,1992-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
62,1,EC,1128554,1092,VERNON BX,1495,BC,-119.216667,50.283333,518.0,1960-04-15,1966-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
66,1,EC,1128584,1096,VERNON SILVER STAR LODGE,1499,BC,-119.0557,50.35783,1572.0,1970-07-01,2022-03-04,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
80,1,EC,1160450,1229,ARMSTRONG,1632,BC,-119.183333,50.45,359.0,1912-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
82,1,EC,1160485,1231,ARMSTRONG NORTH,1634,BC,-119.133333,50.466667,373.0,1972-10-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
221,17,ARDA,112025,4841,SPOOR,6521,BC,-119.236111111111,50.2958333333333,521.0,1975-06-24,1975-08-26,Daily,Temperature (Max.)|Temperature (Min.)
282,17,ARDA,112242,4994,SWAN LAKE,6674,BC,-119.239166666667,50.295,500.0,1971-04-07,1972-10-29,Daily,Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
316,17,ARDA,116081,5580,MAID,7262,BC,-119.2075,50.425,395.0,1971-03-18,1972-10-29,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
317,17,ARDA,116082,5581,HULLCAR,7263,BC,-119.255833333333,50.4866666666667,558.0,1971-04-06,1972-10-31,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
319,17,ARDA,116085,5583,KENDRY,7265,BC,-119.155833333333,50.4583333333333,364.0,1971-03-18,1972-10-29,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
320,17,ARDA,116086,5584,SNEEZBY,7266,BC,-119.146666666667,50.4608333333333,366.0,1971-04-29,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
332,17,ARDA,116116,5601,DEAFIES,7283,BC,-118.934166666667,50.3875,747.0,1971-05-30,1972-09-29,Irregular,Precipitation (Cumulative)
333,17,ARDA,116117,5602,VANCE,7284,BC,-118.966666666667,50.4552777777778,660.0,1971-05-30,1972-07-31,Irregular,Precipitation (Cumulative)
501,12,FLNRO-WMB,480,12335,SILVERSTAR SF,14391,BC,-119.0654167,50.3682,1880.0,2018-06-26,2024-01-13,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
515,14,ENV-ASP,2F10P,12954,,14886,BC,-119.0621,50.3714,,2021-03-18,2024-01-11,Unspecified,Cumulative Precipitation|Precipitation 1hr|Precipitation 24hr|Snow Depth|Snow Water Equivalent|Temperature (Mean)
