,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
122,1,EC,1168880,1328,WESTWOLD,1731,BC,-119.7506,50.46889,609.0,1921-05-01,2013-05-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
179,12,FLNRO-WMB,943,2320,FALKLAND,2723,BC,-119.5606,50.4725,1281.0,2006-07-27,2006-08-03,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
195,3,MoTIm,22003,2684,Falkland,3427,BC,-119.55139,50.50056,610.0,1987-11-01,2002-01-01,Semi-daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)
374,17,ARDA,116193,5671,JOYCE       KAM,7353,BC,-119.602777777778,50.5663888888889,827.0,1971-05-29,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
377,17,ARDA,116196,5674,CABOOSE     KAM,7356,BC,-119.573611111111,50.4991666666667,602.0,1971-05-29,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
378,17,ARDA,116197,5675,BUTTERCUP   KAM,7357,BC,-119.677777777778,50.4638888888889,624.0,1971-05-29,1973-10-25,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
405,17,ARDA,116515,5822,MARTIN MTN  KAM,7505,BC,-119.565277777778,50.6,1341.0,1972-06-09,1973-10-18,Daily,Precipitation (Cumulative)|Temperature (Max.)|Temperature (Min.)
482,12,FLNRO-WMB,1132,10982,STATION BAY,13146,BC,-119.7013889,50.50025,1153.0,2012-07-13,2019-05-31,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
487,12,FLNRO-WMB,1188,11006,ZZ ARTHUR CREEK TEMP,13174,BC,-119.54195,50.555,1598.0,2014-07-30,2014-10-15,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
503,12,FLNRO-WMB,1359,12451,STATION BAY 2,14473,BC,-119.726944,50.497222,1100.0,2019-05-30,2024-01-14,Unspecified,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
