,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
104,1,EC,1166760,1300,RICHLAND,1703,BC,-118.5,50.216667,716.0,1962-06-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
183,5,BCH,BAR,2432,Barnes Ck,2835,BC,-118.3492167,50.06601667,1620.0,1960-01-02,2024-01-09,Daily,Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
188,14,ENV-ASP,2B06P,2545,Barnes Creek,2948,BC,-118.35,50.0667,1620.0,1992-10-01,2020-10-01,Daily,Precipitation 1hr|Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Snowfall Amount|Temperature (Max.)|Temperature (Mean)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
208,3,MoTIm,34003,2766,Monashee,3509,BC,-118.37876,50.0357,1200.0,1975-11-03,1998-01-18,Semi-daily,Precipitation Amount|Rainfall Amount|Relative Humidity (Point)|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)
305,17,ARDA,114041,5110,SHIELL,6790,BC,-118.475833333333,50.0566666666667,1314.0,1969-05-02,1971-03-30,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
306,17,ARDA,114042,5111,WAUCHOPE,6791,BC,-118.420833333333,50.0616666666667,1213.0,1969-05-02,1971-03-30,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
307,17,ARDA,114043,5112,BANTING,6792,BC,-118.36,50.0233333333333,1134.0,1969-05-02,1970-10-30,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
310,17,ARDA,114048,5116,BARNES 46,6796,BC,-118.231111111111,50.0563888888889,1390.0,1969-06-12,1970-12-20,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
311,17,ARDA,114049,5117,BARNES 38,6797,BC,-118.2125,50.0236111111111,1128.0,1969-06-12,1971-03-30,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
508,2,MoTIe,34091,12473,Monashee Pass,14495,BC,-118.39633,50.05055,1223.0,2019-11-21,2024-01-14,Unspecified,Air Pressure|Air Pressure (Point)|Dew Point Temperature|Dew Point Temperature (Mean)|Precipitation 24hr|Precipitation Amount|Relative Humidity|Relative Humidity (Mean)|Sea Level Pressure|Snow Depth|Snowfall|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Mean)|Temperature (Min.)|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Direction (Std Dev)|Wind Gust|Wind Speed|Wind Speed (Mean)
