,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
76,1,EC,1130874,1109,BIG WHITE,1512,BC,-118.933333,49.733333,1841.0,1981-02-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
77,1,EC,1130875,1110,BIG WHITE MTN LODGE,1513,BC,-118.933333,49.733333,1844.0,1965-03-01,1968-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
78,1,EC,1131410,1112,CARMI,1515,BC,-119.083333,49.5,1245.0,1924-01-01,1969-03-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
149,12,FLNRO-WMB,335,1883,ZZ IDA BELL LAKE,2286,BC,-119.2,49.7,12.0,1986-05-22,1988-07-26,Daily,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
150,12,FLNRO-WMB,336,1884,ZZ IDA BELL LK II,2287,BC,-119.1767,49.7367,1250.0,1987-07-31,2004-08-05,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
288,17,ARDA,113022,5027,BIG WHITE,6707,BC,-118.933333333333,49.7333333333333,1844.0,1965-11-05,1975-09-09,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
289,17,ARDA,113023,5028,UPR TRAPPING,6708,BC,-118.935,49.7125,1204.0,1965-11-05,1975-09-09,Daily,Precipitation (Cumulative)|Precipitation Amount|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
290,17,ARDA,113024,5029,LWR TRAPPING,6709,BC,-119.045833333333,49.5625,899.0,1965-11-04,1975-09-09,Daily,Relative Humidity (Mean)|Temperature (Max.)|Temperature (Min.)
302,17,ARDA,113070,5069,COOKSON,6749,BC,-119.121666666667,49.7358333333333,1189.0,1971-04-26,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
303,17,ARDA,113072,5071,LAKEVALE,6751,BC,-119.076666666667,49.535,887.0,1971-04-26,1972-09-29,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
304,17,ARDA,113076,5074,STERLING,6754,BC,-119.088333333333,49.6708333333333,1061.0,1971-04-26,1972-08-30,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
