,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
9,1,EC,1128959,246,WINFIELD WOOD LAKE,649,BC,-119.383333,50.05,457.0,1969-03-01,2000-10-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount
29,1,EC,1123930,1030,KELOWNA,1433,BC,-119.466667,49.9,354.0,1899-03-01,1962-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
30,1,EC,1123965,1031,KELOWNA AWOS,1434,BC,-119.383333,49.95,430.0,2005-01-21,2010-02-22,Daily,Precipitation Amount|Temperature (Max.)|Temperature (Min.)
31,1,EC,1123970,1032,KELOWNA A,1435,BC,-119.383333,49.95,430.0,1968-10-01,2005-09-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
32,1,EC,1123972,1033,KELOWNA BANKHEAD,1436,BC,-119.3,49.9,0.0,1914-03-25,1931-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
33,1,EC,1123975,1034,KELOWNA BOWES STREET,1437,BC,-119.466667,49.883333,351.0,1961-08-01,1969-11-11,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
41,1,EC,11239R0,1042,KELOWNA MWS0,1445,BC,-119.4,49.95,456.0,1994-01-01,2017-06-29,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
46,1,EC,1125700,1062,OKANAGAN CENTRE,1465,BC,-119.4139,50.04,501.0,1925-03-01,2022-03-04,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
55,1,EC,1126915,1083,RUTLAND MISSION CREEK,1486,BC,-119.45,49.966667,914.0,1926-01-01,1947-10-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
70,1,EC,1128958,1100,WINFIELD,1503,BC,-119.4163,50.03667,502.9,1971-03-01,2016-06-12,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
71,1,EC,1128983,1101,WOODS LAKE,1504,BC,-119.45,50.05,405.0,1915-06-01,1939-01-31,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
72,1,EC,112C991,1102,KELOWNA N GLENMORE,1505,BC,-119.433333,49.933333,451.0,1984-12-01,1986-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
73,1,EC,112E700,1103,OKANAGAN CENTRE CAMP RD,1506,BC,-119.433333,50.05,445.0,1984-08-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
213,1,EC,1123939,3256,KELOWNA,4095,BC,-119.377778,49.957222,433.0,2009-09-03,2013-01-14,Unspecified,Precipitation Amount|Temperature (Max.)|Temperature (Min.)
217,17,ARDA,112021,4837,HUME,6517,BC,-119.409722222222,49.9263888888889,427.0,1975-03-20,1975-09-17,Daily,Temperature (Max.)|Temperature (Min.)
218,17,ARDA,112022,4838,LOWER GLENMORE,6518,BC,-119.4375,49.9152777777778,402.0,1975-03-25,1975-09-16,Daily,Temperature (Max.)|Temperature (Min.)
219,17,ARDA,112023,4839,MIDDLE GLENMORE,6519,BC,-119.436111111111,49.9138888888889,418.0,1975-03-25,1975-09-17,Daily,Temperature (Max.)|Temperature (Min.)
