,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
3,1,EC,1124260,235,KIRTON,638,BC,-119.95,49.666667,884.0,1928-09-01,1962-04-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount
53,1,EC,1126078,1077,PEACHLAND GREATA RANCH,1480,BC,-119.7412,49.70033,398.0,1994-06-01,2008-06-30,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
56,1,EC,1127798,1086,SUMMERLAND,1489,BC,-119.666667,49.6,335.0,1907-07-01,1923-06-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Temperature (Max.)|Temperature (Min.)
57,1,EC,1127800,1087,SUMMERLAND CDA,1490,BC,-119.65,49.566667,455.0,1916-01-01,2001-01-01,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
58,1,EC,1127830,1088,SUMMERLAND CDA EL,1491,BC,-119.633333,49.566667,346.0,1949-06-01,1964-09-30,Daily,Precipitation Amount|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
74,1,EC,112G8L1,1105,SUMMERLAND CS,1508,BC,-119.6384,49.56372,454.2,1990-06-01,2017-12-31,Daily,Precipitation Amount|Precipitation Climatology|Rainfall Amount|Snowfall Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)
151,12,FLNRO-WMB,338,1885,ZZ AGUR LAKE (NEC),2288,BC,-119.825,49.57,1189.0,1989-10-02,2000-11-01,Hourly,Precipitation Amount|Precipitation Climatology|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
223,17,ARDA,112032,4848,STRAFEHL,6528,BC,-119.680555555556,49.6097222222222,488.0,1974-03-21,1975-09-18,Daily,Temperature (Max.)|Temperature (Min.)
231,17,ARDA,112050,4866,RIDDLE,6546,BC,-119.919166666667,49.645,850.0,1971-05-27,1972-09-28,Irregular,Precipitation (Cumulative)|Surface Snow Depth (Point)
232,17,ARDA,112051,4867,DENIKE,6547,BC,-119.846666666667,49.6208333333333,957.0,1971-03-31,1972-10-30,Daily,Precipitation (Cumulative)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
