,Network ID,Network Name,Native ID,Station ID,Station Name,History ID,Province,Longitude,Latitude,Elevation (m),Record Start,Record End,Obs Freq,Variables
142,12,FLNRO-WMB,298,1848,FINTRY,2251,BC,-119.48,50.2067,670.0,1990-07-13,2024-01-14,Hourly,Dew Point Temperature|Precipitation Amount|Precipitation Climatology|Rainfall 1hr|Rainfall 24hr|Relative Humidity|Relative Humidity (Mean)|Temperature|Temperature (Point)|Wind Direction|Wind Direction (Mean)|Wind Speed|Wind Speed (Mean)
173,12,FLNRO-WMB,747,2195,ZZ SOUTH FORK,2598,BC,-119.57,50.2055,1100.0,2002-06-24,2002-10-22,Hourly,Precipitation Amount|Relative Humidity (Mean)|Temperature (Point)|Wind Direction (Mean)|Wind Speed (Mean)
286,17,ARDA,112301,5001,GLEN WOOD,6681,BC,-119.444444444444,50.1333333333333,412.0,1975-05-14,1989-01-26,Daily,Precipitation (Cumulative)|Relative Humidity (Mean)|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)
