wind_speed,temperature,wind_direction,relative_humidity,time,week_of_year
3.6,19.5, 214.0,62.0,2021-07-02 00:00:00,27
4.0,18.0, 219.0,68.0,2021-07-02 01:00:00,27
2.5,16.3, 95.0,75.0,2021-07-02 02:00:00,27
7.2,16.7, 158.0,70.0,2021-07-02 03:00:00,27
8.3,17.0, 150.0,69.0,2021-07-02 04:00:00,27
5.8,18.0, 144.0,69.0,2021-07-02 05:00:00,27
4.3,21.5, 184.0,60.0,2021-07-02 06:00:00,27
9.7,25.0, 175.0,44.0,2021-07-02 07:00:00,27
17.6,26.6, 165.0,36.0,2021-07-02 08:00:00,27
19.4,28.0, 175.0,30.0,2021-07-02 09:00:00,27
16.2,29.1, 170.0,29.0,2021-07-02 10:00:00,27
18.0,30.4, 169.0,24.0,2021-07-02 11:00:00,27
17.6,30.2, 158.0,23.0,2021-07-02 12:00:00,27
16.9,31.5, 174.0,23.0,2021-07-02 13:00:00,27
14.4,31.9, 178.0,21.0,2021-07-02 14:00:00,27
8.6,31.6, 228.0,17.0,2021-07-02 15:00:00,27
5.4,30.8, 226.0,19.0,2021-07-02 16:00:00,27
14.4,29.0, 306.0,25.0,2021-07-02 17:00:00,27
8.6,26.5, 286.0,28.0,2021-07-02 18:00:00,27
6.8,24.2, 288.0,36.0,2021-07-02 19:00:00,27
6.1,21.2, 232.0,46.0,2021-07-02 20:00:00,27
3.6,18.3, 359.0,59.0,2021-07-02 21:00:00,27
6.8,16.5, 3.0,64.0,2021-07-02 22:00:00,27
11.2,14.9, 9.0,71.0,2021-07-02 23:00:00,27
10.1,13.3, 12.0,78.0,2021-07-03 00:00:00,27
9.7,12.2, 350.0,81.0,2021-07-03 01:00:00,27
7.9,11.2, 9.0,83.0,2021-07-03 02:00:00,27
4.0,10.7, 350.0,85.0,2021-07-03 03:00:00,27
8.6,10.3, 7.0,87.0,2021-07-03 04:00:00,27
6.5,13.5, 4.0,74.0,2021-07-03 05:00:00,27
2.2,17.0, 97.0,58.0,2021-07-03 06:00:00,27
1.4,20.3, 120.0,52.0,2021-07-03 07:00:00,27
9.4,23.9, 209.0,42.0,2021-07-03 08:00:00,27
19.4,26.0, 180.0,37.0,2021-07-03 09:00:00,27
21.6,26.6, 173.0,35.0,2021-07-03 10:00:00,27
15.1,28.5, 170.0,31.0,2021-07-03 11:00:00,27
14.4,29.4, 169.0,28.0,2021-07-03 12:00:00,27
13.3,30.0, 181.0,24.0,2021-07-03 13:00:00,27
11.9,30.6, 176.0,23.0,2021-07-03 14:00:00,27
9.7,29.7, 176.0,26.0,2021-07-03 15:00:00,27
10.4,28.9, 172.0,31.0,2021-07-03 16:00:00,27
