RELATIVE_HUMIDITY1,STANDARD_SNOW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,min_air_temp_snc_last_reset,DEW_POINT,ATMOSPHERIC_PRESSURE,avg_wnd_dir_10m_pst10mts,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,snw_dpth,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,PRECIPITATION_NEW,max_air_temp_snc_last_reset,rel_hum,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,air_temp,mslp,pcpn_amt_pst1hr,snwfl_amt_pst1hr,time,stn_pres,week_of_year
56.63, None, None, None, None, None, None, None, 7.0,912.0, None, None, None, None, None, None, None, None, 15.64, None, None, None, None, None, None, None, None, None, None,2018-06-18 00:00:00, None,25
61.62, None, None, None, None, None, None, None, 7.0,913.0, None, None, None, None, None, None, None, None, 14.55, None, None, None, None, None, None, None, None, None, None,2018-06-18 01:00:00, None,25
68.08, None, None, None, None, None, None, None, 7.0,913.0, None, None, None, None, None, None, None, None, 12.45, None, None, None, None, None, None, None, None, None, None,2018-06-18 02:00:00, None,25
73.5, None, None, None, None, None, None, None, 6.0,913.0, None, None, None, None, None, None, None, None, 10.96, None, None, None, None, None, None, None, None, None, None,2018-06-18 03:00:00, None,25
74.5, None, None, None, None, None, None, None, 6.0,913.0, None, None, None, None, None, None, None, None, 10.5, None, None, None, None, None, None, None, None, None, None,2018-06-18 04:00:00, None,25
73.7, None, None, None, None, None, None, None, 6.0,914.0, None, None, None, None, None, None, None, None, 10.89, None, None, None, None, None, None, None, None, None, None,2018-06-18 05:00:00, None,25
77.6, None, None, None, None, None, None, None, 6.0,914.0, None, None, None, None, None, None, None, None, 9.74, None, None, None, None, None, None, None, None, None, None,2018-06-18 06:00:00, None,25
76.2, None, None, None, None, None, None, None, 8.0,913.0, None, None, None, None, None, None, None, None, 11.57, None, None, None, None, None, None, None, None, None, None,2018-06-18 07:00:00, None,25
61.17, None, None, None, None, None, None, None, 8.0,914.0, None, None, None, None, None, None, None, None, 15.07, None, None, None, None, None, None, None, None, None, None,2018-06-18 08:00:00, None,25
54.37, None, None, None, None, None, None, None, 7.0,914.0, None, None, None, None, None, None, None, None, 16.25, None, None, None, None, None, None, None, None, None, None,2018-06-18 09:00:00, None,25
49.72, None, None, None, None, None, None, None, 7.0,913.0, None, None, None, None, None, None, None, None, 17.81, None, None, None, None, None, None, None, None, None, None,2018-06-18 10:00:00, None,25
45.48, None, None, None, None, None, None, None, 7.0,913.0, None, None, None, None, None, None, None, None, 18.77, None, None, None, None, None, None, None, None, None, None,2018-06-18 11:00:00, None,25
37.01, None, None, None, None, None, None, None, 6.0,913.0, None, None, None, None, None, None, None, None, 21.24, None, None, None, None, None, None, None, None, None, None,2018-06-18 12:00:00, None,25
30.76, None, None, None, None, None, None, None, 4.0,913.0, None, None, None, None, None, None, None, None, 22.44, None, None, None, None, None, None, None, None, None, None,2018-06-18 13:00:00, None,25
26.85, None, None, None, None, None, None, None, 4.0,912.0, None, None, None, None, None, None, None, None, 24.45, None, None, None, None, None, None, None, None, None, None,2018-06-18 14:00:00, None,25
22.28, None, None, None, None, None, None, None, 2.0,912.0, None, None, None, None, None, None, None, None, 25.33, None, None, None, None, None, None, None, None, None, None,2018-06-18 15:00:00, None,25
24.16, None, None, None, None, None, None, None, 3.0,912.0, None, None, None, None, None, None, None, None, 24.56, None, None, None, None, None, None, None, None, None, None,2018-06-18 16:00:00, None,25
24.16, None, None, None, None, None, None, None, 3.0,912.0, None, None, None, None, None, None, None, None, 24.68, None, None, None, None, None, None, None, None, None, None,2018-06-18 17:00:00, None,25
23.69, None, None, None, None, None, None, None, 2.0,912.0, None, None, None, None, None, None, None, None, 24.26, None, None, None, None, None, None, None, None, None, None,2018-06-18 18:00:00, None,25
24.3, None, None, None, None, None, None, None, 3.0,912.0, None, None, None, None, None, None, None, None, 24.23, None, None, None, None, None, None, None, None, None, None,2018-06-18 19:00:00, None,25
26.65, None, None, None, None, None, None, None, 3.0,911.0, None, None, None, None, None, None, None, None, 23.7, None, None, None, None, None, None, None, None, None, None,2018-06-18 20:00:00, None,25
34.38, None, None, None, None, None, None, None, 4.0,911.0, None, None, None, None, None, None, None, None, 20.7, None, None, None, None, None, None, None, None, None, None,2018-06-18 21:00:00, None,25
46.41, None, None, None, None, None, None, None, 6.0,911.0, None, None, None, None, None, None, None, None, 17.83, None, None, None, None, None, None, None, None, None, None,2018-06-18 22:00:00, None,25
55.42, None, None, None, None, None, None, None, 6.0,912.0, None, None, None, None, None, None, None, None, 15.21, None, None, None, None, None, None, None, None, None, None,2018-06-18 23:00:00, None,25
62.96, None, None, None, None, None, None, None, 6.0,912.0, None, None, None, None, None, None, None, None, 12.68, None, None, None, None, None, None, None, None, None, None,2018-06-19 00:00:00, None,25
62.7, None, None, None, None, None, None, None, 5.0,912.0, None, None, None, None, None, None, None, None, 11.83, None, None, None, None, None, None, None, None, None, None,2018-06-19 01:00:00, None,25
64.72, None, None, None, None, None, None, None, 4.0,912.0, None, None, None, None, None, None, None, None, 10.44, None, None, None, None, None, None, None, None, None, None,2018-06-19 02:00:00, None,25
67.43, None, None, None, None, None, None, None, 3.0,912.0, None, None, None, None, None, None, None, None, 8.83, None, None, None, None, None, None, None, None, None, None,2018-06-19 03:00:00, None,25
70.7, None, None, None, None, None, None, None, 3.0,912.0, None, None, None, None, None, None, None, None, 7.72, None, None, None, None, None, None, None, None, None, None,2018-06-19 04:00:00, None,25
73.9, None, None, None, None, None, None, None, 3.0,913.0, None, None, None, None, None, None, None, None, 6.878, None, None, None, None, None, None, None, None, None, None,2018-06-19 05:00:00, None,25
76.1, None, None, None, None, None, None, None, 3.0,913.0, None, None, None, None, None, None, None, None, 6.978, None, None, None, None, None, None, None, None, None, None,2018-06-19 06:00:00, None,25
74.6, None, None, None, None, None, None, None, 5.0,913.0, None, None, None, None, None, None, None, None, 8.9, None, None, None, None, None, None, None, None, None, None,2018-06-19 07:00:00, None,25
64.96, None, None, None, None, None, None, None, 6.0,913.0, None, None, None, None, None, None, None, None, 12.85, None, None, None, None, None, None, None, None, None, None,2018-06-19 08:00:00, None,25
32.4, None, None, None, None, None, None, None, 2.0,912.0, None, None, None, None, None, None, None, None, 18.68, None, None, None, None, None, None, None, None, None, None,2018-06-19 09:00:00, None,25
24.59, None, None, None, None, None, None, None, 1.0,912.0, None, None, None, None, None, None, None, None, 21.76, None, None, None, None, None, None, None, None, None, None,2018-06-19 10:00:00, None,25
