WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
None,-13.4, None,85.1,2017-11-05 00:00:00,45
None,-14.5, None,88.4,2017-11-05 01:00:00,45
None,-15.2, None,89.5,2017-11-05 02:00:00,45
None,-15.9, None,86.8,2017-11-05 03:00:00,45
None,-16.2, None,87.5,2017-11-05 04:00:00,45
None,-16.4, None,87.5,2017-11-05 05:00:00,45
None,-16.7, None,86.1,2017-11-05 06:00:00,45
None,-16.5, None,86.1,2017-11-05 07:00:00,45
None,-16.7, None,86.2,2017-11-05 08:00:00,45
None,-14.5, None,79.0,2017-11-05 09:00:00,45
None,-10.7, None,73.4,2017-11-05 10:00:00,45
None,-8.5, None,66.1,2017-11-05 11:00:00,45
None,-6.5, None,56.3,2017-11-05 12:00:00,45
None,-4.6, None,47.7,2017-11-05 13:00:00,45
None,-3.5, None,42.7,2017-11-05 14:00:00,45
None,-2.8, None,38.7,2017-11-05 15:00:00,45
None,-3.8, None,44.1,2017-11-05 16:00:00,45
None,-5.4, None,50.4,2017-11-05 17:00:00,45
None,-7.6, None,62.6,2017-11-05 18:00:00,45
None,-10.1, None,72.1,2017-11-05 19:00:00,45
None,-11.4, None,77.9,2017-11-05 20:00:00,45
None,-12.7, None,83.4,2017-11-05 21:00:00,45
None,-14.2, None,86.0,2017-11-05 22:00:00,45
None,-15.1, None,85.7,2017-11-05 23:00:00,45
None,-15.8, None,86.1,2017-11-06 00:00:00,45
None,-16.6, None,85.6,2017-11-06 01:00:00,45
None,-17.1, None,83.5,2017-11-06 02:00:00,45
None,-17.6, None,84.3,2017-11-06 03:00:00,45
None,-18.1, None,83.7,2017-11-06 04:00:00,45
None,-18.4, None,82.8,2017-11-06 05:00:00,45
None,-18.9, None,83.1,2017-11-06 06:00:00,45
None,-19.1, None,83.3,2017-11-06 07:00:00,45
None,-18.4, None,81.3,2017-11-06 08:00:00,45
None,-15.1, None,77.5,2017-11-06 09:00:00,45
None,-10.0, None,69.2,2017-11-06 10:00:00,45
None,-7.7, None,65.8,2017-11-06 11:00:00,45
None,-6.0, None,58.6,2017-11-06 12:00:00,45
None,-4.5, None,52.4,2017-11-06 13:00:00,45
None,-3.2, None,41.6,2017-11-06 14:00:00,45
None,-2.4, None,36.5,2017-11-06 15:00:00,45
None,-3.1, None,37.2,2017-11-06 16:00:00,45
None,-4.3, None,42.8,2017-11-06 17:00:00,45
None,-6.6, None,56.3,2017-11-06 18:00:00,45
None,-8.8, None,70.4,2017-11-06 19:00:00,45
None,-9.2, None,73.1,2017-11-06 20:00:00,45
None,-9.6, None,74.7,2017-11-06 21:00:00,45
None,-10.8, None,81.1,2017-11-06 22:00:00,45
None,-8.9, None,68.8,2017-11-06 23:00:00,45
None,-8.1, None,65.6,2017-11-07 00:00:00,45
None,-6.6, None,60.0,2017-11-07 01:00:00,45
None,-5.4, None,57.3,2017-11-07 02:00:00,45
None,-5.5, None,57.6,2017-11-07 03:00:00,45
None,-5.5, None,59.0,2017-11-07 04:00:00,45
None,-5.1, None,61.5,2017-11-07 05:00:00,45
None,-4.9, None,62.9,2017-11-07 06:00:00,45
None,-4.9, None,62.8,2017-11-07 07:00:00,45
None,-5.0, None,61.8,2017-11-07 08:00:00,45
None,-4.6, None,61.1,2017-11-07 09:00:00,45
None,-3.8, None,59.0,2017-11-07 10:00:00,45
None,-3.3, None,57.4,2017-11-07 11:00:00,45
None,-2.9, None,56.2,2017-11-07 12:00:00,45
None,-2.4, None,54.4,2017-11-07 13:00:00,45
None,-2.0, None,51.4,2017-11-07 14:00:00,45
None,-1.9, None,50.5,2017-11-07 15:00:00,45
None,-1.9, None,50.7,2017-11-07 16:00:00,45
None,-2.0, None,53.4,2017-11-07 17:00:00,45
None,-2.4, None,60.4,2017-11-07 18:00:00,45
None,-2.6, None,62.0,2017-11-07 19:00:00,45
None,-2.5, None,62.3,2017-11-07 20:00:00,45
None,-2.5, None,62.0,2017-11-07 21:00:00,45
None,-2.5, None,62.7,2017-11-07 22:00:00,45
None,-2.5, None,62.5,2017-11-07 23:00:00,45
None,-2.6, None,63.5,2017-11-08 00:00:00,45
None,-3.0, None,64.9,2017-11-08 01:00:00,45
None,-4.3, None,69.8,2017-11-08 02:00:00,45
None,-5.8, None,76.4,2017-11-08 03:00:00,45
None,-7.2, None,82.3,2017-11-08 04:00:00,45
None,-8.9, None,86.9,2017-11-08 05:00:00,45
None,-10.4, None,91.2,2017-11-08 06:00:00,45
None,-11.0, None,92.1,2017-11-08 07:00:00,45
None,-10.8, None,89.9,2017-11-08 08:00:00,45
None,-8.0, None,83.9,2017-11-08 09:00:00,45
None,-4.3, None,69.9,2017-11-08 10:00:00,45
None,-1.6, None,61.1,2017-11-08 11:00:00,45
None,0.6, None,54.8,2017-11-08 12:00:00,45
None,1.3, None,53.3,2017-11-08 13:00:00,45
None,1.8, None,52.8,2017-11-08 14:00:00,45
None,1.6, None,53.9,2017-11-08 15:00:00,45
None,0.5, None,58.9,2017-11-08 16:00:00,45
None,-0.1, None,62.2,2017-11-08 17:00:00,45
None,-0.9, None,65.2,2017-11-08 18:00:00,45
None,-2.4, None,69.5,2017-11-08 19:00:00,45
None,-2.8, None,69.1,2017-11-08 20:00:00,45
None,-4.0, None,72.4,2017-11-08 21:00:00,45
None,-5.2, None,77.8,2017-11-08 22:00:00,45
None,-5.7, None,80.2,2017-11-08 23:00:00,45
None,-6.7, None,82.0,2017-11-09 00:00:00,45
None,-6.9, None,83.2,2017-11-09 01:00:00,45
None,-6.6, None,82.3,2017-11-09 02:00:00,45
None,-5.5, None,81.3,2017-11-09 03:00:00,45
None,-5.6, None,83.6,2017-11-09 04:00:00,45
None,-5.6, None,84.5,2017-11-09 05:00:00,45
None,-4.6, None,82.0,2017-11-09 06:00:00,45
None,-3.7, None,78.0,2017-11-09 07:00:00,45
None,-2.7, None,75.9,2017-11-09 08:00:00,45
None,-3.2, None,79.4,2017-11-09 09:00:00,45
None,-2.0, None,75.7,2017-11-09 10:00:00,45
None,-0.9, None,70.5,2017-11-09 11:00:00,45
None,0.6, None,67.8,2017-11-09 12:00:00,45
