station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
2.0, None, 865.0, None, -3.7, -3.8, 135.0, None, None, 1.0, 382.0, None, 2021-01-01 00:00:00, None
2.0, None, 865.0, None, -3.6, -3.7, 135.0, None, None, 0.0, 383.0, None, 2021-01-01 01:00:00, None
2.0, None, 865.0, None, -3.6, -3.7, 135.0, None, None, 0.0, 383.0, None, 2021-01-01 02:00:00, None
2.0, None, 865.0, None, -3.6, -3.6, 135.0, None, None, 0.0, 383.0, None, 2021-01-01 03:00:00, None
2.0, None, 865.0, None, -3.4, -3.5, 135.0, None, None, 0.0, 383.0, None, 2021-01-01 04:00:00, None
3.0, None, 866.0, None, -3.3, -3.4, 135.0, None, None, 1.0, 384.0, None, 2021-01-01 05:00:00, None
3.0, None, 866.0, None, -3.3, -3.3, 132.0, None, None, 0.0, 384.0, None, 2021-01-01 06:00:00, None
3.0, None, 866.0, None, -3.0, -3.0, 134.0, None, None, 0.0, 384.0, None, 2021-01-01 07:00:00, None
3.0, None, 866.0, None, -2.7, -2.8, 136.0, None, None, 0.0, 384.0, None, 2021-01-01 08:00:00, None
3.0, None, 866.0, None, -1.8, -1.9, 136.0, None, None, 0.0, 385.0, None, 2021-01-01 09:00:00, None
3.0, None, 867.0, None, -1.1, -1.2, 132.0, None, None, 1.0, 385.0, None, 2021-01-01 10:00:00, None
4.0, None, 867.0, None, -0.5, -0.8, 134.0, None, None, 0.0, 386.0, None, 2021-01-01 11:00:00, None
7.0, None, 870.0, None, -0.1, -0.4, 136.0, None, None, 3.0, 386.0, None, 2021-01-01 12:00:00, None
7.0, None, 870.0, None, 0.2, 0.0, 137.0, None, None, 0.0, 386.0, None, 2021-01-01 13:00:00, None
7.0, None, 870.0, None, 0.2, -0.2, 136.0, None, None, 0.0, 386.0, None, 2021-01-01 14:00:00, None
6.0, None, 870.0, None, -0.4, -0.7, 136.0, None, None, 0.0, 386.0, None, 2021-01-01 15:00:00, None
