station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
180.0, None, 40.74, None, None, None, None, None, None, -0.4, None, 2012-01-01 06:00:00, -11.4, None
None, None, None, None, None, None, None, None, None, -4.2, None, 2012-01-02 06:00:00, -13.8, None
157.5, None, 33.34, None, None, None, None, None, None, 4.2, None, 2012-01-03 06:00:00, -12.6, None
180.0, None, 51.86, None, None, None, None, None, None, 4.0, None, 2012-01-04 06:00:00, 0.6, None
157.5, None, 61.12, None, None, None, None, None, None, 8.2, None, 2012-01-05 06:00:00, 3.6, None
180.0, None, 50.0, None, None, None, None, None, None, 6.1, None, 2012-01-06 06:00:00, 1.0, None
180.0, None, 35.19, None, None, None, None, None, None, 0.0, None, 2012-01-07 06:00:00, -5.9, None
135.0, None, 37.04, None, None, None, None, None, None, -1.5, None, 2012-01-08 06:00:00, -10.8, None
157.5, None, 38.89, None, None, None, None, None, None, 1.9, None, 2012-01-09 06:00:00, -8.0, None
180.0, None, 48.15, None, None, None, None, None, None, 5.1, None, 2012-01-10 06:00:00, 0.1, None
157.5, None, 31.48, None, None, None, None, None, None, 0.6, None, 2012-01-11 06:00:00, -2.1, None
None, None, None, None, None, None, None, None, None, -8.4, None, 2012-01-12 06:00:00, -13.7, None
None, None, None, None, None, None, None, None, None, -8.7, None, 2012-01-13 06:00:00, -16.7, None
None, None, None, None, None, None, None, None, None, -5.2, None, 2012-01-14 06:00:00, -19.4, None
157.5, None, 35.19, None, None, None, None, None, None, -0.9, None, 2012-01-15 06:00:00, -14.2, None
135.0, None, 38.89, None, None, None, None, None, None, -2.4, None, 2012-01-16 06:00:00, -17.2, None
135.0, None, 46.3, None, None, None, None, None, None, -20.2, None, 2012-01-19 06:00:00, -30.1, None
90.0, None, 38.89, None, None, None, None, None, None, -15.0, None, 2012-01-20 06:00:00, -21.0, None
None, None, None, None, None, None, None, None, None, -10.4, None, 2012-01-21 06:00:00, -19.2, None
157.5, None, 50.0, None, None, None, None, None, None, 1.8, None, 2012-01-22 06:00:00, -14.1, None
180.0, None, 33.34, None, None, None, None, None, None, -0.8, None, 2012-01-23 06:00:00, -7.3, None
157.5, None, 35.19, None, None, None, None, None, None, 0.2, None, 2012-01-24 06:00:00, -7.3, None
135.0, None, 40.74, None, None, None, None, None, None, -2.2, None, 2012-01-25 06:00:00, -11.1, None
180.0, None, 72.23, None, None, None, None, None, None, 3.6, None, 2012-01-26 06:00:00, -3.2, None
180.0, None, 37.04, None, None, None, None, None, None, 2.1, None, 2012-01-27 06:00:00, -2.5, None
None, None, None, None, None, None, None, None, None, -2.4, None, 2012-01-28 06:00:00, -9.1, None
157.5, None, 51.86, None, None, None, None, None, None, -3.0, None, 2012-01-29 06:00:00, -6.9, None
135.0, None, 53.71, None, None, None, None, None, None, 6.0, None, 2012-01-30 06:00:00, -4.5, None
157.5, None, 40.74, None, None, None, None, None, None, 3.2, None, 2012-01-31 06:00:00, 0.4, None
157.5, None, 42.6, None, None, None, None, None, None, 4.2, None, 2012-02-01 06:00:00, -0.2, None
180.0, None, 33.34, None, None, None, None, None, None, 1.8, None, 2012-02-02 06:00:00, -1.2, None
None, None, None, None, None, None, None, None, None, 2.1, None, 2012-02-03 06:00:00, -2.1, None
None, None, None, None, None, None, None, None, None, 1.2, None, 2012-02-04 06:00:00, -7.8, None
None, None, None, None, None, None, None, None, None, 0.2, None, 2012-02-05 06:00:00, -12.0, None
None, None, None, None, None, None, None, None, None, 0.2, None, 2012-02-06 06:00:00, -15.5, None
None, None, None, None, None, None, None, None, None, 0.0, None, 2012-02-07 06:00:00, -9.4, None
None, None, None, None, None, None, None, None, None, -0.2, None, 2012-02-08 06:00:00, -14.8, None
202.5, None, 37.04, None, None, None, None, None, None, -4.2, None, 2012-02-09 06:00:00, -18.6, None
None, None, None, None, None, None, None, None, None, -1.1, None, 2012-02-10 06:00:00, -12.6, None
135.0, None, 40.74, None, None, None, None, None, None, -2.0, None, 2012-02-11 06:00:00, -5.9, None
112.5, None, 31.48, None, None, None, None, None, None, -1.7, None, 2012-02-12 06:00:00, -7.6, None
None, None, None, None, None, None, None, None, None, 0.9, None, 2012-02-13 06:00:00, -9.5, None
None, None, None, None, None, None, None, None, None, 3.1, None, 2012-02-14 06:00:00, -3.8, None
0.0, None, 46.3, None, None, None, None, None, None, -2.8, None, 2012-02-15 06:00:00, -11.1, None
None, None, None, None, None, None, None, None, None, -1.9, None, 2012-02-16 06:00:00, -18.0, None
180.0, None, 31.48, None, None, None, None, None, None, -2.0, None, 2012-02-17 06:00:00, -16.4, None
None, None, None, None, None, None, None, None, None, -0.5, None, 2012-02-18 06:00:00, -6.4, None
202.5, None, 42.6, None, None, None, None, None, None, 1.1, None, 2012-02-19 06:00:00, -6.1, None
202.5, None, 35.19, None, None, None, None, None, None, 1.4, None, 2012-02-20 06:00:00, -3.3, None
202.5, None, 35.19, None, None, None, None, None, None, 0.9, None, 2012-02-21 06:00:00, -3.9, None
202.5, None, 40.74, None, None, None, None, None, None, 3.2, None, 2012-02-22 06:00:00, -2.8, None
180.0, None, 46.3, None, None, None, None, None, None, 3.5, None, 2012-02-23 06:00:00, 0.7, None
202.5, None, 35.19, None, None, None, None, None, None, 1.3, None, 2012-02-24 06:00:00, -10.8, None
None, None, None, None, None, None, None, None, None, -2.4, None, 2012-02-25 06:00:00, -14.0, None
None, None, None, None, None, None, None, None, None, 0.9, None, 2012-02-26 06:00:00, -7.4, None
90.0, None, 38.89, None, None, None, None, None, None, -7.7, None, 2012-02-27 06:00:00, -10.3, None
None, None, None, None, None, None, None, None, None, -3.7, None, 2012-02-28 06:00:00, -20.8, None
None, None, None, None, None, None, None, None, None, -3.4, None, 2012-02-29 06:00:00, -18.5, None
157.5, None, 35.19, None, None, None, None, None, None, -3.4, None, 2012-03-01 06:00:00, -15.9, None
None, None, None, None, None, None, None, None, None, 0.7, None, 2012-03-02 06:00:00, -9.6, None
180.0, None, 38.89, None, None, None, None, None, None, -0.5, None, 2012-03-03 06:00:00, -15.9, None
202.5, None, 53.71, None, None, None, None, None, None, 6.0, None, 2012-03-04 06:00:00, -2.0, None
157.5, None, 55.56, None, None, None, None, None, None, 7.2, None, 2012-03-05 06:00:00, 2.8, None
180.0, None, 44.45, None, None, None, None, None, None, 5.0, None, 2012-03-06 06:00:00, -0.4, None
337.5, None, 40.74, None, None, None, None, None, None, -2.3, None, 2012-03-07 06:00:00, -5.8, None
180.0, None, 40.74, None, None, None, None, None, None, -0.8, None, 2012-03-08 06:00:00, -12.8, None
202.5, None, 42.6, None, None, None, None, None, None, 5.4, None, 2012-03-09 06:00:00, -4.0, None
180.0, None, 62.97, None, None, None, None, None, None, 10.9, None, 2012-03-10 06:00:00, 1.1, None
157.5, None, 44.45, None, None, None, None, None, None, 9.0, None, 2012-03-11 06:00:00, 0.0, None
180.0, None, 46.3, None, None, None, None, None, None, 2.5, None, 2012-03-12 06:00:00, 1.1, None
157.5, None, 40.74, None, None, None, None, None, None, 2.1, None, 2012-03-13 06:00:00, -3.1, None
202.5, None, 55.56, None, None, None, None, None, None, 3.7, None, 2012-03-14 06:00:00, -3.7, None
157.5, None, 38.89, None, None, None, None, None, None, 0.3, None, 2012-03-15 06:00:00, -4.5, None
157.5, None, 42.6, None, None, None, None, None, None, 4.5, None, 2012-03-16 06:00:00, -2.4, None
180.0, None, 50.0, None, None, None, None, None, None, 3.4, None, 2012-03-17 06:00:00, 0.5, None
None, None, None, None, None, None, None, None, None, 1.1, None, 2012-03-18 06:00:00, -4.9, None
None, None, None, None, None, None, None, None, None, 2.8, None, 2012-03-19 06:00:00, -5.9, None
202.5, None, 44.45, None, None, None, None, None, None, 4.0, None, 2012-03-20 06:00:00, -6.8, None
157.5, None, 44.45, None, None, None, None, None, None, 1.9, None, 2012-03-21 06:00:00, -4.6, None
157.5, None, 35.19, None, None, None, None, None, None, 2.6, None, 2012-03-22 06:00:00, -3.6, None
157.5, None, 40.74, None, None, None, None, None, None, 2.5, None, 2012-03-23 06:00:00, -3.3, None
135.0, None, 33.34, None, None, None, None, None, None, 2.3, None, 2012-03-24 06:00:00, -6.4, None
135.0, None, 31.48, None, None, None, None, None, None, 5.8, None, 2012-03-25 06:00:00, -5.5, None
None, None, None, None, None, None, None, None, None, 11.2, None, 2012-03-26 06:00:00, -7.3, None
None, None, None, None, None, None, None, None, None, 3.6, None, 2012-03-27 06:00:00, -1.0, None
157.5, None, 37.04, None, None, None, None, None, None, 7.2, None, 2012-03-28 06:00:00, 0.6, None
157.5, None, 46.3, None, None, None, None, None, None, 8.7, None, 2012-03-29 06:00:00, -0.6, None
157.5, None, 37.04, None, None, None, None, None, None, 3.9, None, 2012-03-30 06:00:00, 0.6, None
157.5, None, 40.74, None, None, None, None, None, None, 5.8, None, 2012-03-31 06:00:00, 1.0, None
None, None, None, None, None, None, None, None, None, 2.5, None, 2012-04-01 06:00:00, -0.3, None
202.5, None, 44.45, None, None, None, None, None, None, 5.8, None, 2012-04-02 06:00:00, 0.9, None
202.5, None, 37.04, None, None, None, None, None, None, 7.4, None, 2012-04-03 06:00:00, -2.3, None
None, None, None, None, None, None, None, None, None, 11.4, None, 2012-04-04 06:00:00, -3.8, None
None, None, None, None, None, None, None, None, None, 3.8, None, 2012-04-05 06:00:00, -2.9, None
None, None, None, None, None, None, None, None, None, 5.7, None, 2012-04-06 06:00:00, -2.0, None
None, None, None, None, None, None, None, None, None, 7.7, None, 2012-04-07 06:00:00, -6.8, None
202.5, None, 31.48, None, None, None, None, None, None, 5.7, None, 2012-04-08 06:00:00, -3.5, None
None, None, None, None, None, None, None, None, None, 10.6, None, 2012-04-09 06:00:00, -6.9, None
None, None, None, None, None, None, None, None, None, 12.9, None, 2012-04-10 06:00:00, -4.2, None
135.0, None, 35.19, None, None, None, None, None, None, 17.2, None, 2012-04-11 06:00:00, -2.9, None
135.0, None, 33.34, None, None, None, None, None, None, 18.7, None, 2012-04-12 06:00:00, -1.5, None
180.0, None, 38.89, None, None, None, None, None, None, 8.1, None, 2012-04-13 06:00:00, 3.3, None
202.5, None, 46.3, None, None, None, None, None, None, 12.3, None, 2012-04-14 06:00:00, 4.2, None
135.0, None, 44.45, None, None, None, None, None, None, 9.9, None, 2012-04-15 06:00:00, -0.7, None
None, None, None, None, None, None, None, None, None, 7.7, None, 2012-04-16 06:00:00, -2.3, None
180.0, None, 35.19, None, None, None, None, None, None, 8.0, None, 2012-04-17 06:00:00, 0.7, None
202.5, None, 40.74, None, None, None, None, None, None, 8.2, None, 2012-04-18 06:00:00, 2.5, None
202.5, None, 35.19, None, None, None, None, None, None, 9.4, None, 2012-04-19 06:00:00, 0.6, None
157.5, None, 38.89, None, None, None, None, None, None, 9.9, None, 2012-04-20 06:00:00, -3.9, None
180.0, None, 38.89, None, None, None, None, None, None, 13.7, None, 2012-04-21 06:00:00, 1.3, None
157.5, None, 31.48, None, None, None, None, None, None, 15.2, None, 2012-04-22 06:00:00, -3.2, None
157.5, None, 33.34, None, None, None, None, None, None, 22.0, None, 2012-04-23 06:00:00, -1.8, None
292.5, None, 37.04, None, None, None, None, None, None, 24.5, None, 2012-04-24 06:00:00, -0.5, None
157.5, None, 40.74, None, None, None, None, None, None, 18.0, None, 2012-04-25 06:00:00, 5.1, None
