station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, air_temperature_yesterday_high, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, total_cloud_cover
None, None, None, None, None, None, None, 2012-01-01 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-02 23:00:00, None, 3.0, None, None
None, None, None, None, None, None, None, 2012-01-03 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-04 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-05 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-06 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-07 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-01-09 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-10 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-11 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-12 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-13 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-14 23:00:00, None, 1.3, None, None
None, None, None, None, None, None, None, 2012-01-15 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-18 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-19 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-22 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-23 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-24 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-01-25 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-26 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-27 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-28 23:00:00, None, 5.1, None, None
None, None, None, None, None, None, None, 2012-01-29 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-01-30 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-01-31 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-02-01 23:00:00, None, 4.3, None, None
None, None, None, None, None, None, None, 2012-02-02 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-03 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-04 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-05 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-06 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-07 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-08 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-09 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-10 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-11 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-12 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-02-13 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-14 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-15 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-16 23:00:00, None, 0.8, None, None
None, None, None, None, None, None, None, 2012-02-17 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-18 23:00:00, None, 3.8, None, None
None, None, None, None, None, None, None, 2012-02-19 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-20 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-02-21 23:00:00, None, 2.3, None, None
None, None, None, None, None, None, None, 2012-02-22 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-23 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-24 23:00:00, None, 4.3, None, None
None, None, None, None, None, None, None, 2012-02-25 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-02-26 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-27 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-02-28 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-01 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-02 23:00:00, None, 1.3, None, None
None, None, None, None, None, None, None, 2012-03-03 23:00:00, None, 3.8, None, None
None, None, None, None, None, None, None, 2012-03-04 23:00:00, None, 7.4, None, None
None, None, None, None, None, None, None, 2012-03-05 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-06 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-07 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-08 23:00:00, None, 0.8, None, None
None, None, None, None, None, None, None, 2012-03-09 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-10 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-11 23:00:00, None, 0.3, None, None
None, None, None, None, None, None, None, 2012-03-12 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-13 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-14 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-15 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-16 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-17 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-18 23:00:00, None, 6.1, None, None
None, None, None, None, None, None, None, 2012-03-19 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-20 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-03-21 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-22 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-23 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-24 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-25 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-26 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-27 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-28 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-29 23:00:00, None, 0.5, None, None
None, None, None, None, None, None, None, 2012-03-30 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-03-31 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-04-01 23:00:00, None, 0.0, None, None
None, None, None, None, None, None, None, 2012-04-02 23:00:00, None, 0.0, None, None
