station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
22.3, 101.76, -4.1, 135.0, 63.0, 2.4, 2012-01-01 00:00:00, None, None, 43.6, None, -0.27
24.5, 101.62, -4.3, 135.0, 57.0, 3.4, 2012-01-01 01:00:00, None, None, 40.7, None, -0.28
25.6, 101.51, -4.7, 135.0, 55.0, 3.6, 2012-01-01 02:00:00, None, None, 43.9, None, -0.3
25.2, 101.44, -1.5, 135.0, 80.0, 1.7, 2012-01-01 03:00:00, None, None, 46.1, None, -0.32
22.0, 101.4, -0.6, 135.0, 88.0, 1.2, 2012-01-01 04:00:00, None, None, 40.7, None, -0.22
25.6, 101.34, 0.2, 135.0, 91.0, 1.5, 2012-01-01 05:00:00, None, None, 47.9, None, -0.17
23.4, 101.31, 0.5, 180.0, 93.0, 1.5, 2012-01-01 06:00:00, 1.0, 0.0, 62.97, 3.7, -0.13
25.6, 101.27, 0.9, 135.0, 94.0, 1.8, 2012-01-01 07:00:00, None, None, 40.7, None, -0.13
30.2, 101.25, 1.5, 157.5, 94.0, 2.4, 2012-01-01 08:00:00, None, None, 55.4, None, -0.08
36.7, 101.25, 2.1, 157.5, 91.0, 3.5, 2012-01-01 09:00:00, None, None, 67.7, None, -0.05
49.0, 101.11, 2.4, 157.5, 89.0, 4.2, 2012-01-01 10:00:00, None, None, 73.8, None, -0.15
40.0, 101.05, 2.0, 157.5, 81.0, 5.1, 2012-01-01 11:00:00, None, None, 60.8, None, -0.2
76.3, 100.87, 1.4, 157.5, 73.0, 5.9, 2012-01-01 12:00:00, None, None, 97.6, None, -0.38
62.3, 100.81, 0.7, 157.5, 69.0, 6.0, 2012-01-01 13:00:00, None, None, 93.2, None, -0.3
32.8, 100.85, 1.1, 157.5, 72.0, 5.7, 2012-01-01 14:00:00, None, None, 49.7, None, -0.2
29.2, 100.77, 0.8, 157.5, 71.0, 5.8, 2012-01-01 15:00:00, None, None, 44.6, None, -0.1
38.5, 100.58, 2.3, 157.5, 81.0, 5.4, 2012-01-01 16:00:00, None, None, 58.7, None, -0.23
20.9, 100.44, 2.6, 135.0, 86.0, 4.8, 2012-01-01 17:00:00, None, None, 33.8, None, -0.41
34.9, 100.33, 3.2, 157.5, 93.0, 4.3, 2012-01-01 18:00:00, None, None, 57.6, None, -0.44
40.0, 100.2, 3.8, 157.5, 94.0, 4.8, 2012-01-01 19:00:00, None, None, 57.2, None, -0.38
71.3, 99.88, 4.7, 157.5, 92.0, 6.0, 2012-01-01 20:00:00, None, None, 99.0, None, -0.56
98.6, 99.66, 4.8, 157.5, 89.0, 6.5, 2012-01-01 21:00:00, None, None, 120.2, None, -0.67
92.5, 99.59, 5.4, 157.5, 92.0, 6.6, 2012-01-01 22:00:00, None, None, 118.1, None, -0.61
