station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
202.5, -5.2, None, 6.0, 0.03, 5.4, 103.07, -11.2, None, None, 2012-01-01 00:00:00, None, None
202.5, -8.0, None, None, 0.05, 5.4, 103.12, -12.1, None, None, 2012-01-01 01:00:00, None, None
202.5, -9.5, None, 4.0, 0.03, 5.4, 103.12, -12.9, None, None, 2012-01-01 02:00:00, None, None
180.0, -10.1, None, None, -0.02, 5.4, 103.14, -12.9, None, None, 2012-01-01 03:00:00, None, None
157.5, -11.0, None, None, -0.07, 3.6, 103.13, -13.5, None, None, 2012-01-01 04:00:00, None, None
202.5, -11.1, None, None, -0.04, 5.4, 103.12, -13.4, None, None, 2012-01-01 05:00:00, None, None
157.5, -9.1, None, 4.0, 0.01, 5.4, 103.09, -11.5, -2.1, None, 2012-01-01 06:00:00, -11.4, 0.0
0.0, -9.2, None, None, 0.07, 0.0, 103.11, -11.5, None, None, 2012-01-01 07:00:00, None, None
135.0, -8.1, None, None, 0.0, 14.8, 103.01, -10.8, None, None, 2012-01-01 08:00:00, None, None
157.5, -8.7, None, None, -0.06, 7.6, 102.98, -11.0, None, None, 2012-01-01 09:00:00, None, None
180.0, -8.8, None, None, -0.08, 7.6, 102.98, -10.8, None, None, 2012-01-01 10:00:00, None, None
180.0, -8.3, None, 2.0, 0.02, 11.2, 103.02, -10.4, None, None, 2012-01-01 11:00:00, None, None
180.0, -7.8, None, None, 0.1, 9.4, 103.08, -10.2, None, None, 2012-01-01 12:00:00, None, None
180.0, -7.8, None, None, 0.03, 9.4, 103.06, -10.2, None, None, 2012-01-01 13:00:00, None, None
157.5, -8.1, None, 10.0, -0.04, 14.8, 103.05, -10.3, None, None, 2012-01-01 14:00:00, None, None
157.5, -8.6, None, 10.0, -0.05, 11.2, 103.11, -10.6, None, None, 2012-01-01 15:00:00, None, None
180.0, -8.3, None, None, 0.0, 14.8, 103.11, -10.4, None, None, 2012-01-01 16:00:00, None, None
180.0, -7.1, None, None, 0.09, 13.0, 103.16, -10.0, None, None, 2012-01-01 17:00:00, None, None
180.0, -6.5, None, 10.0, 0.06, 11.2, 103.13, -9.8, None, None, 2012-01-01 18:00:00, None, None
180.0, -5.3, None, 10.0, 0.04, 9.4, 103.08, -9.3, None, None, 2012-01-01 19:00:00, None, None
157.5, -4.7, None, 10.0, -0.06, 13.0, 103.01, -9.0, None, None, 2012-01-01 20:00:00, None, None
180.0, -4.5, None, 2.0, -0.08, 11.2, 103.0, -8.9, None, None, 2012-01-01 21:00:00, None, None
180.0, -4.4, None, 4.0, -0.12, 13.0, 102.92, -8.7, None, None, 2012-01-01 22:00:00, None, None
