station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, wind_gust_speed, total_cloud_cover, tendency_amount
13.0, 102.58, -10.4, 225.0, 61.0, -4.0, 2012-01-01 00:00:00, None, 10.0, 0.07
5.4, 103.06, -21.7, 337.5, 75.0, -18.3, 2012-01-01 14:00:00, None, 0.0, None
3.6, 103.04, -22.0, 0.0, 83.0, -19.8, 2012-01-01 15:00:00, None, 0.0, -0.14
3.6, 103.01, -22.8, 45.0, 78.0, -19.9, 2012-01-01 16:00:00, None, 10.0, None
3.6, 102.97, -21.0, 202.5, 79.0, -18.3, 2012-01-01 17:00:00, None, 10.0, None
0.0, 103.06, -21.8, 0.0, 78.0, -19.0, 2012-01-01 18:00:00, None, 10.0, 0.0
0.0, 102.98, -20.0, 0.0, 77.0, -16.9, 2012-01-01 19:00:00, None, 10.0, None
0.0, 102.86, -17.8, 0.0, 82.0, -15.5, 2012-01-01 20:00:00, None, 10.0, None
0.0, 102.7, -17.9, 0.0, 73.0, -14.2, 2012-01-01 21:00:00, None, 10.0, -0.35
0.0, 102.56, -17.1, 0.0, 74.0, -13.5, 2012-01-01 22:00:00, None, 10.0, None
0.0, 102.52, -15.9, 0.0, 79.0, -13.0, 2012-01-01 23:00:00, None, 4.0, None
0.0, 102.38, -16.4, 0.0, 76.0, -13.0, 2012-01-02 00:00:00, None, 10.0, -0.3
0.0, 100.72, -16.8, 0.0, 83.0, -14.6, 2012-01-02 14:00:00, None, 9.0, None
0.0, 100.68, -16.1, 0.0, 87.0, -14.4, 2012-01-02 15:00:00, None, 10.0, -0.22
11.2, 100.66, -18.2, 247.5, 76.0, -14.9, 2012-01-02 16:00:00, None, 2.0, None
18.4, 100.67, -2.3, 247.5, 67.0, 3.3, 2012-01-02 17:00:00, None, 10.0, None
18.4, 100.54, -1.6, 247.5, 67.0, 3.9, 2012-01-02 18:00:00, None, 10.0, 0.0
14.8, 100.56, -1.1, 247.5, 73.0, 3.2, 2012-01-02 19:00:00, None, 10.0, None
14.8, 100.51, -0.6, 247.5, 82.0, 2.2, 2012-01-02 20:00:00, None, 10.0, None
13.0, 100.47, -0.4, 270.0, 82.0, 2.4, 2012-01-02 21:00:00, None, 10.0, -0.08
9.4, 100.41, -1.1, 247.5, 80.0, 2.0, 2012-01-02 22:00:00, None, 10.0, None
9.4, 100.38, -1.2, 247.5, 84.0, 1.2, 2012-01-02 23:00:00, None, 10.0, None
9.4, 100.44, -1.7, 247.5, 88.0, 0.0, 2012-01-03 00:00:00, None, 10.0, -0.04
0.0, 100.98, -4.8, 0.0, 93.0, -3.8, 2012-01-03 14:00:00, None, 6.0, None
0.0, 100.94, -5.7, 0.0, 90.0, -4.3, 2012-01-03 15:00:00, None, 6.0, -0.07
0.0, 100.97, -6.1, 0.0, 89.0, -4.6, 2012-01-03 16:00:00, None, 4.0, None
0.0, 100.96, -5.4, 0.0, 92.0, -4.3, 2012-01-03 17:00:00, None, 4.0, None
0.0, 100.87, -5.4, 0.0, 87.0, -3.5, 2012-01-03 18:00:00, None, 2.0, -0.05
0.0, 100.91, -5.1, 0.0, 85.0, -3.0, 2012-01-03 19:00:00, None, 4.0, None
0.0, 100.83, -5.0, 0.0, 84.0, -2.7, 2012-01-03 20:00:00, None, 4.0, None
0.0, 100.74, -3.4, 0.0, 88.0, -1.6, 2012-01-03 21:00:00, None, 10.0, -0.13
0.0, 100.64, -2.4, 0.0, 90.0, -1.0, 2012-01-03 22:00:00, None, 10.0, None
5.4, 100.61, -1.7, 247.5, 92.0, -0.6, 2012-01-03 23:00:00, None, 6.0, None
11.2, 100.62, -1.7, 270.0, 91.0, -0.4, 2012-01-04 00:00:00, None, 6.0, -0.11
0.0, 100.0, 1.0, 0.0, 96.0, 1.5, 2012-01-04 14:00:00, None, 10.0, None
0.0, 99.85, 1.5, 0.0, 94.0, 2.4, 2012-01-04 15:00:00, None, 10.0, -0.31
9.4, 99.9, 1.0, 225.0, 94.0, 1.9, 2012-01-04 16:00:00, None, 6.0, None
13.0, 99.92, 1.5, 225.0, 87.0, 3.5, 2012-01-04 17:00:00, None, 10.0, None
7.6, 99.93, 2.1, 247.5, 90.0, 3.6, 2012-01-04 18:00:00, None, 2.0, 0.1
16.6, 99.92, 2.8, 202.5, 80.0, 5.9, 2012-01-04 19:00:00, None, 2.0, None
14.8, 99.93, 2.3, 180.0, 74.0, 6.5, 2012-01-04 20:00:00, None, 10.0, None
24.1, 99.94, 2.2, 225.0, 73.0, 6.6, 2012-01-04 21:00:00, None, 2.0, 0.05
14.8, 99.97, 2.4, 180.0, 76.0, 6.4, 2012-01-04 22:00:00, None, 4.0, None
13.0, 100.04, 2.3, 180.0, 80.0, 5.5, 2012-01-04 23:00:00, None, 4.0, None
13.0, 100.09, 2.6, 157.5, 87.0, 4.5, 2012-01-05 00:00:00, None, 4.0, 0.11
16.6, 100.37, -4.2, 247.5, 55.0, 3.9, 2012-01-05 14:00:00, None, 5.0, None
27.7, 100.46, -5.0, 225.0, 53.0, 3.6, 2012-01-05 15:00:00, 38.9, 10.0, 0.17
25.9, 100.52, -5.0, 225.0, 55.0, 3.1, 2012-01-05 16:00:00, None, 10.0, None
20.5, 100.67, -5.5, 202.5, 52.0, 3.4, 2012-01-05 17:00:00, None, 2.0, None
29.5, 100.68, -5.6, 225.0, 54.0, 2.7, 2012-01-05 18:00:00, 44.6, 4.0, 0.21
35.3, 100.64, -6.8, 225.0, 48.0, 3.0, 2012-01-05 19:00:00, 66.6, 4.0, None
25.9, 100.72, -6.1, 225.0, 51.0, 3.0, 2012-01-05 20:00:00, 50.0, 2.0, None
20.5, 100.75, -6.4, 247.5, 51.0, 2.8, 2012-01-05 21:00:00, None, 10.0, 0.07
22.3, 100.74, -5.7, 247.5, 54.0, 2.6, 2012-01-05 22:00:00, 48.2, 10.0, None
35.3, 100.77, -5.8, 247.5, 52.0, 3.0, 2012-01-05 23:00:00, 61.2, 10.0, None
33.5, 100.81, -6.4, 247.5, 52.0, 2.4, 2012-01-06 00:00:00, 59.4, 10.0, 0.06
18.4, 101.49, -9.3, 225.0, 49.0, 0.2, 2012-01-06 14:00:00, None, 10.0, None
13.0, 101.51, -8.0, 225.0, 59.0, -1.1, 2012-01-06 15:00:00, None, 10.0, 0.0
18.4, 101.53, -7.4, 202.5, 64.0, -1.4, 2012-01-06 16:00:00, None, 10.0, None
22.3, 101.6, -7.2, 247.5, 67.0, -1.8, 2012-01-06 17:00:00, None, 2.0, None
11.2, 101.65, -7.4, 225.0, 64.0, -1.4, 2012-01-06 18:00:00, None, 2.0, 0.13
18.4, 101.63, -5.8, 225.0, 66.0, -0.3, 2012-01-06 19:00:00, 31.7, 10.0, None
18.4, 101.62, -5.7, 247.5, 65.0, 0.0, 2012-01-06 20:00:00, None, 10.0, None
18.4, 101.65, -5.5, 247.5, 67.0, -0.1, 2012-01-06 21:00:00, None, 10.0, -0.03
20.5, 101.63, -5.4, 247.5, 67.0, 0.0, 2012-01-06 22:00:00, None, 10.0, None
18.4, 101.67, -5.0, 225.0, 68.0, 0.3, 2012-01-06 23:00:00, None, 10.0, None
29.5, 101.68, -4.5, 270.0, 72.0, 0.0, 2012-01-07 00:00:00, 44.6, 10.0, 0.05
3.6, 101.42, -3.1, 270.0, 89.0, -1.6, 2012-01-07 14:00:00, None, 9.0, None
9.4, 101.36, -4.6, 247.5, 75.0, -0.8, 2012-01-07 15:00:00, None, 10.0, -0.23
9.4, 101.33, -3.4, 202.5, 78.0, -0.1, 2012-01-07 16:00:00, None, 10.0, None
18.4, 101.34, -3.5, 202.5, 68.0, 1.8, 2012-01-07 17:00:00, 33.5, 10.0, None
7.6, 101.35, -3.3, 202.5, 69.0, 1.7, 2012-01-07 18:00:00, None, 10.0, -0.01
18.4, 101.27, -3.7, 247.5, 64.0, 2.3, 2012-01-07 19:00:00, None, 10.0, None
9.4, 101.19, -3.7, 202.5, 65.0, 2.1, 2012-01-07 20:00:00, None, 10.0, None
18.4, 101.0, -3.5, 202.5, 67.0, 2.0, 2012-01-07 21:00:00, None, 10.0, -0.3
18.4, 100.83, -4.9, 202.5, 56.0, 2.9, 2012-01-07 22:00:00, 31.7, 10.0, None
11.2, 100.74, -3.4, 202.5, 66.0, 2.3, 2012-01-07 23:00:00, None, 10.0, None
5.4, 100.67, -3.7, 247.5, 69.0, 1.4, 2012-01-08 00:00:00, None, 10.0, -0.33
27.7, 100.58, -0.8, 202.5, 63.0, 5.6, 2012-01-08 14:00:00, 38.9, 10.0, None
9.4, 100.56, -1.9, 225.0, 59.0, 5.4, 2012-01-08 15:00:00, None, 1.0, -0.03
14.8, 100.59, -0.4, 225.0, 65.0, 5.7, 2012-01-08 16:00:00, None, 10.0, None
18.4, 100.64, -1.9, 202.5, 58.0, 5.6, 2012-01-08 17:00:00, None, 10.0, None
18.4, 100.69, -2.0, 225.0, 56.0, 6.0, 2012-01-08 18:00:00, 31.7, 10.0, 0.13
27.7, 100.72, -1.4, 225.0, 58.0, 6.2, 2012-01-08 19:00:00, 40.7, 10.0, None
27.7, 100.72, -1.6, 202.5, 55.0, 6.7, 2012-01-08 20:00:00, 44.6, 10.0, None
18.4, 100.76, -1.6, 247.5, 55.0, 6.7, 2012-01-08 21:00:00, 31.7, 10.0, 0.07
22.3, 100.74, -1.9, 225.0, 54.0, 6.7, 2012-01-08 22:00:00, 33.5, 10.0, None
13.0, 100.8, -2.2, 225.0, 54.0, 6.5, 2012-01-08 23:00:00, None, 10.0, None
9.4, 100.84, -2.5, 202.5, 56.0, 5.6, 2012-01-09 00:00:00, None, 10.0, 0.06
0.0, 100.11, 1.3, 0.0, 95.0, 2.0, 2012-01-09 14:00:00, None, 10.0, None
0.0, 99.97, 1.7, 0.0, 95.0, 2.4, 2012-01-09 15:00:00, None, 10.0, -0.23
9.4, 99.93, 1.9, 247.5, 92.0, 3.0, 2012-01-09 16:00:00, None, 10.0, None
7.6, 99.92, 1.3, 292.5, 88.0, 3.1, 2012-01-09 17:00:00, None, 2.0, None
7.6, 100.0, 2.0, 180.0, 86.0, 4.2, 2012-01-09 18:00:00, None, 2.0, 0.04
18.4, 100.09, 1.4, 225.0, 70.0, 6.4, 2012-01-09 19:00:00, None, 2.0, None
33.5, 100.18, 0.5, 270.0, 62.0, 7.3, 2012-01-09 20:00:00, 50.0, 2.0, None
46.4, 100.49, 0.7, 247.5, 82.0, 3.4, 2012-01-09 21:00:00, 59.4, 10.0, 0.42
29.5, 100.62, -0.8, 247.5, 84.0, 1.6, 2012-01-09 22:00:00, 50.0, 10.0, None
38.9, 100.66, -3.7, 225.0, 64.0, 2.4, 2012-01-09 23:00:00, 51.8, 10.0, None
40.7, 100.82, -4.1, 247.5, 61.0, 2.6, 2012-01-10 00:00:00, 51.8, 10.0, 0.31
3.6, 102.91, -11.0, 270.0, 63.0, -5.0, 2012-01-10 14:00:00, None, 10.0, None
9.4, 103.04, -13.1, 202.5, 62.0, -7.0, 2012-01-10 15:00:00, None, 9.0, 0.42
18.4, 103.14, -13.6, 225.0, 63.0, -7.7, 2012-01-10 16:00:00, None, 10.0, None
11.2, 103.3, -12.4, 270.0, 67.0, -7.4, 2012-01-10 17:00:00, None, 10.0, None
0.0, 103.51, -13.8, 0.0, 64.0, -8.1, 2012-01-10 18:00:00, None, 9.0, 0.42
13.0, 103.54, -12.7, 247.5, 64.0, -7.0, 2012-01-10 19:00:00, None, 0.0, None
14.8, 103.52, -13.4, 247.5, 57.0, -6.3, 2012-01-10 20:00:00, None, 0.0, None
11.2, 103.52, -12.5, 247.5, 59.0, -5.7, 2012-01-10 21:00:00, None, 0.0, 0.0
11.2, 103.47, -11.6, 270.0, 59.0, -4.8, 2012-01-10 22:00:00, None, 9.0, None
7.6, 103.44, -11.0, 225.0, 60.0, -4.4, 2012-01-10 23:00:00, None, 9.0, None
9.4, 103.44, -11.3, 225.0, 59.0, -4.6, 2012-01-11 00:00:00, None, 9.0, -0.08
27.7, 102.94, -14.7, 225.0, 42.0, -3.6, 2012-01-11 14:00:00, 38.9, 10.0, None
16.6, 102.87, -10.9, 202.5, 58.0, -3.8, 2012-01-11 15:00:00, None, 10.0, -0.16
7.6, 102.84, -11.5, 180.0, 53.0, -3.4, 2012-01-11 16:00:00, None, 10.0, None
18.4, 102.83, -10.2, 225.0, 57.0, -2.8, 2012-01-11 17:00:00, None, 10.0, None
20.5, 102.77, -9.4, 225.0, 60.0, -2.8, 2012-01-11 18:00:00, None, 10.0, -0.08
22.3, 102.74, -8.4, 202.5, 62.0, -2.1, 2012-01-11 19:00:00, None, 10.0, None
24.1, 102.72, -7.8, 225.0, 61.0, -1.2, 2012-01-11 20:00:00, None, 10.0, None
27.7, 102.69, -8.7, 225.0, 55.0, -0.9, 2012-01-11 21:00:00, 37.1, 10.0, -0.06
18.4, 102.71, -9.1, 225.0, 57.0, -1.6, 2012-01-11 22:00:00, 31.7, 10.0, None
24.1, 102.71, -8.9, 247.5, 57.0, -1.5, 2012-01-11 23:00:00, None, 10.0, None
29.5, 102.68, -8.0, 225.0, 59.0, -0.9, 2012-01-12 00:00:00, 40.7, 10.0, 0.0
9.4, 102.32, -4.5, 270.0, 89.0, -3.0, 2012-01-12 14:00:00, None, 4.0, None
16.6, 102.2, -3.6, 225.0, 92.0, -2.5, 2012-01-12 15:00:00, None, 4.0, -0.22
22.3, 102.12, -7.5, 247.5, 68.0, -2.5, 2012-01-12 16:00:00, None, 4.0, None
29.5, 102.01, -7.7, 247.5, 70.0, -3.1, 2012-01-12 17:00:00, None, 10.0, None
14.8, 101.94, -7.5, 270.0, 71.0, -3.0, 2012-01-12 18:00:00, None, 10.0, -0.25
14.8, 101.87, -6.3, 225.0, 78.0, -3.0, 2012-01-12 19:00:00, None, 2.0, None
13.0, 101.72, -6.5, 247.5, 72.0, -2.2, 2012-01-12 20:00:00, None, 2.0, None
18.4, 101.53, -4.3, 247.5, 77.0, -0.8, 2012-01-12 21:00:00, None, 2.0, -0.37
