station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
90.0, 3.4, 51.8, 10.0, -0.21, 33.5, 102.23, -0.3, None, None, 77.0, 2012-01-01 00:00:00, None, None
112.5, 3.8, 50.0, 4.0, None, 37.1, 102.19, -0.7, None, None, 72.0, 2012-01-01 01:00:00, None, None
112.5, 3.8, 50.0, 6.0, None, 38.9, 102.12, -0.7, None, None, 72.0, 2012-01-01 02:00:00, None, None
112.5, 3.9, 50.0, 4.0, -0.16, 38.9, 102.07, -0.1, None, None, 75.0, 2012-01-01 03:00:00, None, None
112.5, 4.2, 53.6, 4.0, None, 40.7, 102.09, -0.6, None, None, 71.0, 2012-01-01 04:00:00, None, None
90.0, 4.2, 51.8, 2.0, None, 38.9, 102.07, -0.4, None, None, 72.0, 2012-01-01 05:00:00, None, None
112.5, 4.3, 55.56, 4.0, -0.06, 40.7, 102.01, -0.2, 3.4, 4.4, 73.0, 2012-01-01 06:00:00, -0.6, 0.0
112.5, 4.2, 51.8, 4.0, None, 38.9, 101.94, -0.9, None, None, 69.0, 2012-01-01 07:00:00, None, None
112.5, 4.3, 55.4, 2.0, None, 37.1, 101.93, -1.1, None, None, 68.0, 2012-01-01 08:00:00, None, None
112.5, 4.7, 46.4, 2.0, -0.09, 37.1, 101.92, -0.8, None, None, 67.0, 2012-01-01 09:00:00, None, None
90.0, 4.4, 55.4, 4.0, None, 40.7, 101.86, -1.2, None, None, 67.0, 2012-01-01 10:00:00, None, None
112.5, 4.4, 64.8, 4.0, None, 48.2, 101.83, -1.2, None, None, 67.0, 2012-01-01 11:00:00, None, None
112.5, 4.5, 55.4, 4.0, -0.1, 44.6, 101.82, -1.4, None, None, 65.0, 2012-01-01 12:00:00, None, None
112.5, 4.6, 46.4, 4.0, None, 37.1, 101.74, -1.4, None, None, 65.0, 2012-01-01 13:00:00, None, None
90.0, 4.7, 64.8, 4.0, None, 46.4, 101.68, -1.1, None, None, 66.0, 2012-01-01 14:00:00, None, None
90.0, 4.8, 74.2, 6.0, -0.17, 55.4, 101.65, -1.3, None, None, 65.0, 2012-01-01 15:00:00, None, None
90.0, 4.7, 68.4, 4.0, None, 46.4, 101.64, -0.3, None, None, 70.0, 2012-01-01 16:00:00, None, None
90.0, 4.6, 66.6, 4.0, None, 46.4, 101.58, 0.2, None, None, 73.0, 2012-01-01 17:00:00, None, None
112.5, 4.6, 55.4, 4.0, -0.1, 37.1, 101.55, 0.6, None, None, 75.0, 2012-01-01 18:00:00, None, None
90.0, 4.6, 59.4, 4.0, None, 33.5, 101.54, 1.3, None, None, 79.0, 2012-01-01 19:00:00, None, None
90.0, 5.0, 59.4, 4.0, None, 37.1, 101.46, 1.3, None, None, 77.0, 2012-01-01 20:00:00, None, None
90.0, 5.6, 55.4, 10.0, -0.15, 37.1, 101.4, 1.5, None, None, 75.0, 2012-01-01 21:00:00, None, None
112.5, 5.4, 61.2, 10.0, None, 42.5, 101.31, 1.6, None, None, 76.0, 2012-01-01 22:00:00, None, None
112.5, 5.9, 51.8, 10.0, None, 31.7, 101.23, 1.5, None, None, 73.0, 2012-01-01 23:00:00, None, None
90.0, 6.4, 74.2, 10.0, -0.25, 55.4, 101.15, 1.4, None, None, 70.0, 2012-01-02 00:00:00, None, None
112.5, 6.8, 63.0, 4.0, None, 44.6, 101.08, 1.4, None, None, 68.0, 2012-01-02 01:00:00, None, None
112.5, 7.1, 57.6, 2.0, None, 42.5, 101.03, 0.9, None, None, 65.0, 2012-01-02 02:00:00, None, None
112.5, 7.2, 68.4, 10.0, -0.22, 53.6, 100.92, 0.8, None, None, 64.0, 2012-01-02 03:00:00, None, None
112.5, 7.4, 64.8, 10.0, None, 50.0, 100.88, 0.7, None, None, 62.0, 2012-01-02 04:00:00, None, None
112.5, 7.6, 48.2, 2.0, None, 33.5, 100.84, 0.7, None, None, 62.0, 2012-01-02 05:00:00, None, None
90.0, 7.6, 74.08, 10.0, -0.14, 37.1, 100.78, 1.3, 0.0, 6.4, 64.0, 2012-01-02 06:00:00, 0.8, None
135.0, 8.2, 51.8, 2.0, None, 37.1, 100.86, 1.5, None, None, 63.0, 2012-01-02 07:00:00, None, None
112.5, 8.0, 46.4, 10.0, None, 29.5, 100.81, 1.9, None, None, 65.0, 2012-01-02 08:00:00, None, None
180.0, 7.7, None, 10.0, 0.01, 14.8, 100.77, 1.6, None, None, 65.0, 2012-01-02 09:00:00, None, None
135.0, 8.4, None, 10.0, None, 13.0, 100.79, 1.4, None, None, 61.0, 2012-01-02 10:00:00, None, None
135.0, 8.3, None, 10.0, None, 9.4, 100.79, 1.5, None, None, 62.0, 2012-01-02 11:00:00, None, None
247.5, 6.3, None, 2.0, 0.07, 7.6, 100.84, 3.6, None, None, 83.0, 2012-01-02 12:00:00, None, None
202.5, 6.5, None, 4.0, None, 5.4, 100.8, 4.0, None, None, 84.0, 2012-01-02 13:00:00, None, None
0.0, 6.2, None, 4.0, None, 0.0, 100.83, 4.0, None, None, 86.0, 2012-01-02 14:00:00, None, None
0.0, 6.0, None, 10.0, 0.05, 0.0, 100.89, 4.1, None, None, 88.0, 2012-01-02 15:00:00, None, None
0.0, 5.8, None, 4.0, None, 0.0, 100.9, 4.1, None, None, 89.0, 2012-01-02 16:00:00, None, None
0.0, 6.0, None, 4.0, None, 0.0, 100.83, 4.3, None, None, 89.0, 2012-01-02 17:00:00, None, None
0.0, 5.8, None, 4.0, -0.03, 0.0, 100.86, 4.3, None, None, 90.0, 2012-01-02 18:00:00, None, None
0.0, 6.2, None, 10.0, None, 0.0, 100.77, 4.4, None, None, 88.0, 2012-01-02 19:00:00, None, None
0.0, 6.2, None, 10.0, None, 0.0, 100.66, 4.8, None, None, 91.0, 2012-01-02 20:00:00, None, None
112.5, 7.3, None, 10.0, -0.28, 11.2, 100.58, 4.9, None, None, 85.0, 2012-01-02 21:00:00, None, None
157.5, 7.3, None, 10.0, None, 9.4, 100.51, 5.2, None, None, 87.0, 2012-01-02 22:00:00, None, None
135.0, 7.7, None, 10.0, None, 16.6, 100.49, 5.1, None, None, 84.0, 2012-01-02 23:00:00, None, None
112.5, 7.7, None, 10.0, -0.09, 18.4, 100.49, 4.7, None, None, 81.0, 2012-01-03 00:00:00, None, None
112.5, 7.8, None, 2.0, None, 18.4, 100.56, 4.4, None, None, 79.0, 2012-01-03 01:00:00, None, None
112.5, 7.9, 35.3, 4.0, None, 24.1, 100.58, 4.5, None, None, 79.0, 2012-01-03 02:00:00, None, None
112.5, 7.8, 35.3, 2.0, 0.21, 22.3, 100.7, 4.5, None, None, 80.0, 2012-01-03 03:00:00, None, None
135.0, 8.0, None, 6.0, None, 16.6, 100.81, 4.5, None, None, 79.0, 2012-01-03 04:00:00, None, None
225.0, 7.7, None, 4.0, None, 9.4, 101.0, 5.3, None, None, 85.0, 2012-01-03 05:00:00, None, None
135.0, 7.7, 51.86, 2.0, 0.39, 9.4, 101.09, 5.6, 0.0, 8.4, 87.0, 2012-01-03 06:00:00, 5.6, 8.4
157.5, 7.3, None, 10.0, None, 14.8, 101.23, 5.5, None, None, 88.0, 2012-01-03 07:00:00, None, None
135.0, 7.4, None, 2.0, None, 14.8, 101.32, 5.2, None, None, 86.0, 2012-01-03 08:00:00, None, None
157.5, 7.8, None, 10.0, 0.23, 7.6, 101.32, 4.3, None, None, 78.0, 2012-01-03 09:00:00, None, None
135.0, 7.8, None, 10.0, None, 18.4, 101.34, 4.0, None, None, 77.0, 2012-01-03 10:00:00, None, None
112.5, 8.4, 33.5, 10.0, None, 18.4, 101.17, 3.6, None, None, 72.0, 2012-01-03 11:00:00, None, None
112.5, 7.9, 50.0, 10.0, -0.24, 25.9, 101.08, 3.5, None, None, 74.0, 2012-01-03 12:00:00, None, None
112.5, 7.4, 46.4, 10.0, None, 25.9, 101.04, 3.6, None, None, 77.0, 2012-01-03 13:00:00, None, None
112.5, 7.1, 53.6, 10.0, None, 31.7, 100.97, 3.6, None, None, 78.0, 2012-01-03 14:00:00, None, None
