station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, air_temperature_yesterday_low, total_precipitation, wind_gust_speed, air_temperature_yesterday_high, tendency_amount
None, None, None, 45.0, None, None, 2012-01-01 06:00:00, -16.5, None, 38.89, 1.3, None
None, None, None, None, None, None, 2012-01-02 06:00:00, -19.7, None, None, -9.5, None
None, None, None, None, None, None, 2012-01-03 06:00:00, -12.8, None, None, -5.4, None
None, None, None, None, None, None, 2012-01-04 06:00:00, -5.4, None, None, 2.1, None
None, None, None, 45.0, None, None, 2012-01-05 06:00:00, -1.9, None, 53.71, 7.5, None
None, None, None, 67.5, None, None, 2012-01-06 06:00:00, -0.2, None, 46.3, 3.5, None
None, None, None, None, None, None, 2012-01-07 06:00:00, -3.0, None, None, 0.4, None
None, None, None, None, None, None, 2012-01-08 06:00:00, -3.6, None, None, -0.7, None
None, None, None, None, None, None, 2012-01-09 06:00:00, -2.4, None, None, -0.4, None
None, None, None, 67.5, None, None, 2012-01-10 06:00:00, -1.8, None, 40.74, 8.5, None
None, None, None, 67.5, None, None, 2012-01-11 06:00:00, -5.7, None, 38.89, -0.5, None
None, None, None, None, None, None, 2012-01-12 06:00:00, -19.2, None, None, -8.4, None
None, None, None, None, None, None, 2012-01-13 06:00:00, -19.2, None, None, -8.1, None
None, None, None, None, None, None, 2012-01-14 06:00:00, -17.6, None, None, -4.3, None
None, None, None, None, None, None, 2012-01-15 06:00:00, -12.6, None, None, -4.9, None
None, None, None, 180.0, None, None, 2012-01-16 06:00:00, -12.0, None, 42.6, -4.5, None
None, None, None, 0.0, None, None, 2012-01-19 06:00:00, -30.9, None, 33.34, -22.3, None
None, None, None, None, None, None, 2012-01-20 06:00:00, -36.9, None, None, -22.2, None
None, None, None, None, None, None, 2012-01-21 06:00:00, -31.8, None, None, -15.3, None
None, None, None, None, None, None, 2012-01-22 06:00:00, -19.5, None, None, -8.2, None
None, None, None, None, None, None, 2012-01-23 06:00:00, -12.1, None, None, -1.7, None
None, None, None, None, None, None, 2012-01-24 06:00:00, -4.4, None, None, 1.1, None
None, None, None, 270.0, None, None, 2012-01-25 06:00:00, -4.6, None, 38.89, 0.4, None
None, None, None, 225.0, None, None, 2012-01-26 06:00:00, -1.4, None, 40.74, 4.7, None
None, None, None, 270.0, None, None, 2012-01-27 06:00:00, -4.3, None, 48.15, 1.7, None
None, None, None, None, None, None, 2012-01-28 06:00:00, -11.9, None, None, -2.1, None
None, None, None, None, None, None, 2012-01-29 06:00:00, -8.0, None, None, -2.2, None
None, None, None, None, None, None, 2012-01-30 06:00:00, -3.4, None, None, 0.8, None
None, None, None, None, None, None, 2012-01-31 06:00:00, -1.0, None, None, 3.8, None
None, None, None, None, None, None, 2012-02-01 06:00:00, -0.3, None, None, 3.1, None
None, None, None, None, None, None, 2012-02-02 06:00:00, -0.3, None, None, 2.6, None
None, None, None, None, None, None, 2012-02-03 06:00:00, -4.0, None, None, 2.2, None
None, None, None, None, None, None, 2012-02-04 06:00:00, -5.3, None, None, 2.8, None
None, None, None, None, None, None, 2012-02-05 06:00:00, -10.4, None, None, 2.6, None
None, None, None, None, None, None, 2012-02-06 06:00:00, -10.4, None, None, 0.1, None
None, None, None, None, None, None, 2012-02-07 06:00:00, -12.8, None, None, -0.6, None
None, None, None, None, None, None, 2012-02-08 06:00:00, -12.8, None, None, -1.6, None
None, None, None, None, None, None, 2012-02-09 06:00:00, -17.5, None, None, -1.8, None
None, None, None, None, None, None, 2012-02-10 06:00:00, -10.4, None, None, 3.6, None
None, None, None, None, None, None, 2012-02-11 06:00:00, -4.3, None, None, 3.5, None
None, None, None, None, None, None, 2012-02-12 06:00:00, -1.6, None, None, 4.1, None
None, None, None, None, None, None, 2012-02-13 06:00:00, 0.0, None, None, 3.1, None
None, None, None, None, None, None, 2012-02-14 06:00:00, 0.0, None, None, 4.8, None
None, None, None, None, None, None, 2012-02-15 06:00:00, -15.0, None, None, 0.4, None
None, None, None, None, None, None, 2012-02-16 06:00:00, -17.7, None, None, 1.4, None
None, None, None, None, None, None, 2012-02-17 06:00:00, -13.4, None, None, -2.8, None
None, None, None, None, None, None, 2012-02-18 06:00:00, -7.0, None, None, 3.1, None
None, None, None, None, None, None, 2012-02-19 06:00:00, -4.9, None, None, 1.4, None
None, None, None, None, None, None, 2012-02-20 06:00:00, -4.9, None, None, 2.2, None
None, None, None, None, None, None, 2012-02-21 06:00:00, -11.6, None, None, -1.3, None
None, None, None, None, None, None, 2012-02-22 06:00:00, -4.3, None, None, 2.6, None
None, None, None, 270.0, None, None, 2012-02-23 06:00:00, -8.2, None, 38.89, 5.1, None
None, None, None, 292.5, None, None, 2012-02-24 06:00:00, -9.5, None, 37.04, 3.9, None
None, None, None, None, None, None, 2012-02-25 06:00:00, -13.1, None, None, -5.9, None
None, None, None, None, None, None, 2012-02-26 06:00:00, -7.9, None, None, -0.7, None
None, None, None, None, None, None, 2012-02-27 06:00:00, -7.7, None, None, -4.4, None
None, None, None, None, None, None, 2012-02-28 06:00:00, -13.7, None, None, -3.4, None
None, None, None, None, None, None, 2012-02-29 06:00:00, -20.0, None, None, 0.5, None
None, None, None, None, None, None, 2012-03-01 06:00:00, -15.7, None, None, -0.9, None
None, None, None, None, None, None, 2012-03-02 06:00:00, -10.8, None, None, 1.5, None
None, None, None, None, None, None, 2012-03-03 06:00:00, -9.3, None, None, -0.8, None
None, None, None, None, None, None, 2012-03-04 06:00:00, -2.6, None, None, 1.7, None
None, None, None, None, None, None, 2012-03-05 06:00:00, 0.0, None, None, 4.3, None
None, None, None, 67.5, None, None, 2012-03-06 06:00:00, -2.9, None, 40.74, 1.2, None
None, None, None, None, None, None, 2012-03-07 06:00:00, -11.6, None, None, -0.3, None
None, None, None, None, None, None, 2012-03-08 06:00:00, -8.4, None, None, 2.2, None
None, None, None, None, None, None, 2012-03-09 06:00:00, -5.7, None, None, 4.0, None
None, None, None, None, None, None, 2012-03-10 06:00:00, -1.7, None, None, 3.5, None
None, None, None, None, None, None, 2012-03-11 06:00:00, -0.7, None, None, 5.5, None
None, None, None, None, None, None, 2012-03-12 06:00:00, -0.2, None, None, 3.4, None
None, None, None, None, None, None, 2012-03-13 06:00:00, -4.8, None, None, 1.1, None
None, None, None, 270.0, None, None, 2012-03-14 06:00:00, -6.6, None, 35.19, 2.6, None
None, None, None, None, None, None, 2012-03-15 06:00:00, -13.8, None, None, 1.6, None
None, None, None, 0.0, None, None, 2012-03-16 06:00:00, -3.2, None, 33.34, 3.1, None
None, None, None, None, None, None, 2012-03-17 06:00:00, -5.5, None, None, 6.9, None
None, None, None, None, None, None, 2012-03-18 06:00:00, -3.1, None, None, 0.8, None
None, None, None, None, None, None, 2012-03-19 06:00:00, -8.9, None, None, 7.3, None
None, None, None, None, None, None, 2012-03-20 06:00:00, -7.8, None, None, 1.4, None
None, None, None, None, None, None, 2012-03-21 06:00:00, -8.4, None, None, 1.4, None
