station_observations
wind_speed, dew_point, wind_direction, relative_humidity, air_temperature, time, total_cloud_cover
0.0, -4.0, 0.0, None, -3.0, 2012-01-01 00:00:00, 10.0
14.8, -3.8, 135.0, None, -1.8, 2012-01-01 16:00:00, 2.0
9.4, -3.7, 135.0, None, -1.2, 2012-01-01 17:00:00, 4.0
9.4, -3.4, 135.0, None, -0.5, 2012-01-01 18:00:00, 4.0
14.8, -3.1, 135.0, None, 0.2, 2012-01-01 19:00:00, 4.0
5.4, -3.3, 135.0, None, 2.1, 2012-01-01 20:00:00, 10.0
9.4, -2.1, 135.0, None, 2.0, 2012-01-01 21:00:00, 10.0
9.4, -1.1, 135.0, None, 1.6, 2012-01-01 22:00:00, 10.0
9.4, -1.4, 135.0, None, 1.8, 2012-01-01 23:00:00, 10.0
9.4, -0.3, 135.0, None, 1.0, 2012-01-02 00:00:00, 2.0
18.4, -0.6, 135.0, None, 0.5, 2012-01-02 16:00:00, 10.0
18.4, -0.9, 135.0, None, 1.5, 2012-01-02 17:00:00, 10.0
18.4, -0.7, 135.0, None, 1.2, 2012-01-02 18:00:00, 10.0
18.4, -0.3, 135.0, None, 1.5, 2012-01-02 19:00:00, 10.0
18.4, 0.2, 135.0, None, 2.0, 2012-01-02 20:00:00, 10.0
18.4, 0.7, 135.0, None, 2.2, 2012-01-02 21:00:00, 10.0
22.3, 0.5, 135.0, None, 2.0, 2012-01-02 22:00:00, 10.0
27.7, 0.9, 135.0, None, 2.2, 2012-01-02 23:00:00, 10.0
22.3, 0.8, 135.0, None, 2.1, 2012-01-03 00:00:00, 10.0
0.0, 0.2, 0.0, None, 0.5, 2012-01-03 16:00:00, 10.0
0.0, -0.3, 0.0, None, 0.0, 2012-01-03 17:00:00, 10.0
9.4, 0.6, 135.0, None, 1.1, 2012-01-03 18:00:00, 10.0
5.4, 0.9, 135.0, None, 1.7, 2012-01-03 19:00:00, 10.0
5.4, 2.0, 135.0, None, 3.0, 2012-01-03 20:00:00, 10.0
0.0, 2.3, 0.0, None, 3.3, 2012-01-03 21:00:00, 10.0
0.0, 2.0, 0.0, None, 2.7, 2012-01-03 22:00:00, 10.0
9.4, 2.3, 135.0, None, 3.0, 2012-01-03 23:00:00, 10.0
5.4, 2.0, 135.0, None, 2.5, 2012-01-04 00:00:00, 10.0
5.4, 2.3, 135.0, None, 2.8, 2012-01-04 16:00:00, 10.0
5.4, 3.3, 135.0, None, 3.5, 2012-01-04 17:00:00, 10.0
5.4, 3.3, 135.0, None, 3.5, 2012-01-04 18:00:00, 10.0
5.4, 3.5, 135.0, None, 3.7, 2012-01-04 19:00:00, 10.0
9.4, 3.6, 135.0, None, 3.8, 2012-01-04 20:00:00, 10.0
5.4, 3.6, 135.0, None, 3.8, 2012-01-04 21:00:00, 10.0
0.0, 3.4, 0.0, None, 3.6, 2012-01-04 22:00:00, 10.0
0.0, 3.3, 0.0, None, 3.5, 2012-01-04 23:00:00, 10.0
0.0, 2.8, 0.0, None, 3.3, 2012-01-05 00:00:00, 10.0
5.4, 0.4, 135.0, None, 0.9, 2012-01-05 16:00:00, 10.0
5.4, 0.5, 315.0, None, 1.0, 2012-01-05 17:00:00, 7.0
5.4, 0.3, 315.0, None, 0.6, 2012-01-05 18:00:00, 10.0
9.4, -0.4, 315.0, None, 0.9, 2012-01-05 19:00:00, 8.0
0.0, -0.5, 0.0, None, 0.3, 2012-01-05 20:00:00, 7.0
0.0, -0.3, 0.0, None, 0.2, 2012-01-05 21:00:00, 7.0
0.0, -0.4, 0.0, None, 0.4, 2012-01-05 22:00:00, 7.0
0.0, -0.5, 0.0, None, 0.3, 2012-01-05 23:00:00, 7.0
0.0, -0.4, 0.0, None, 0.1, 2012-01-06 00:00:00, 7.0
5.4, -0.8, 315.0, None, -0.5, 2012-01-06 16:00:00, 2.0
0.0, -0.8, 0.0, None, -0.5, 2012-01-06 17:00:00, 2.0
5.4, -0.8, 315.0, None, -0.2, 2012-01-06 18:00:00, 10.0
3.6, -0.7, 315.0, None, 0.1, 2012-01-06 19:00:00, 10.0
9.4, -0.9, 315.0, None, 0.1, 2012-01-06 20:00:00, 2.0
9.4, -1.1, 315.0, None, 0.0, 2012-01-06 21:00:00, 2.0
14.8, -0.6, 315.0, None, -0.1, 2012-01-06 22:00:00, 2.0
9.4, -1.0, 315.0, None, -0.4, 2012-01-06 23:00:00, 7.0
5.4, -1.0, 315.0, None, -0.4, 2012-01-07 00:00:00, 7.0
5.4, -2.6, 135.0, None, -1.8, 2012-01-07 16:00:00, 10.0
5.4, -3.0, 135.0, None, -1.6, 2012-01-07 17:00:00, 10.0
0.0, -2.5, 0.0, None, -1.2, 2012-01-07 18:00:00, 2.0
5.4, -2.2, 135.0, None, -1.0, 2012-01-07 19:00:00, 2.0
5.4, -1.8, 135.0, None, -0.9, 2012-01-07 20:00:00, 7.0
5.4, -1.0, 135.0, None, -0.4, 2012-01-07 21:00:00, 7.0
9.4, -1.3, 135.0, None, -0.2, 2012-01-07 22:00:00, 10.0
