station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, wind_gust_speed, total_cloud_cover, tendency_amount
13.0, 102.76, -0.2, 135.0, 82.0, 2.5, 2012-01-01 00:00:00, None, 10.0, -0.06
13.0, 102.76, -0.2, 135.0, 82.0, 2.5, 2012-01-01 01:00:00, None, 10.0, None
11.2, 102.71, -0.6, 135.0, 79.0, 2.6, 2012-01-01 02:00:00, None, 2.0, None
14.8, 102.64, 0.1, 157.5, 84.0, 2.6, 2012-01-01 03:00:00, None, 4.0, -0.12
9.4, 102.65, 0.4, 135.0, 90.0, 1.9, 2012-01-01 04:00:00, None, 4.0, None
7.6, 102.64, 0.0, 135.0, 85.0, 2.3, 2012-01-01 05:00:00, None, 10.0, None
16.6, 102.58, -1.8, 135.0, 72.0, 2.8, 2012-01-01 14:00:00, None, 10.0, None
20.5, 102.55, -0.5, 135.0, 81.0, 2.4, 2012-01-01 15:00:00, None, 10.0, -0.08
16.6, 102.58, 0.0, 135.0, 87.0, 1.9, 2012-01-01 16:00:00, 31.7, 10.0, None
22.3, 102.55, 0.2, 135.0, 92.0, 1.3, 2012-01-01 17:00:00, None, 2.0, None
14.8, 102.55, 0.6, 135.0, 94.0, 1.5, 2012-01-01 18:00:00, None, 4.0, 0.0
9.4, 102.52, 1.1, 135.0, 93.0, 2.1, 2012-01-01 19:00:00, None, 2.0, None
9.4, 102.43, 1.2, 90.0, 90.0, 2.6, 2012-01-01 20:00:00, None, 10.0, None
13.0, 102.31, 2.3, 112.5, 91.0, 3.7, 2012-01-01 21:00:00, None, 10.0, -0.23
11.2, 102.17, 2.7, 90.0, 89.0, 4.4, 2012-01-01 22:00:00, None, 10.0, None
22.3, 102.08, 2.0, 135.0, 83.0, 4.7, 2012-01-01 23:00:00, None, 10.0, None
13.0, 102.03, 1.2, 112.5, 80.0, 4.3, 2012-01-02 00:00:00, None, 10.0, -0.28
14.8, 101.93, 1.3, 90.0, 83.0, 4.0, 2012-01-02 01:00:00, None, 10.0, None
13.0, 101.83, 1.3, 90.0, 83.0, 4.0, 2012-01-02 02:00:00, None, 10.0, None
18.4, 101.75, 1.6, 90.0, 83.0, 4.2, 2012-01-02 03:00:00, None, 6.0, -0.27
16.6, 101.7, 1.5, 112.5, 79.0, 4.9, 2012-01-02 04:00:00, None, 6.0, None
14.8, 101.65, 1.5, 112.5, 77.0, 5.2, 2012-01-02 05:00:00, None, 6.0, None
9.4, 101.1, 0.6, 135.0, 66.0, 6.4, 2012-01-02 14:00:00, None, 4.0, None
9.4, 101.09, 0.9, 90.0, 69.0, 6.2, 2012-01-02 15:00:00, None, 2.0, -0.11
0.0, 101.13, 1.2, 0.0, 68.0, 6.6, 2012-01-02 16:00:00, None, 2.0, None
0.0, 101.18, 1.6, 0.0, 68.0, 7.2, 2012-01-02 17:00:00, None, 10.0, None
0.0, 101.1, 2.8, 0.0, 75.0, 6.9, 2012-01-02 18:00:00, None, 10.0, 0.01
11.2, 101.06, 3.6, 90.0, 72.0, 8.3, 2012-01-02 19:00:00, None, 10.0, None
20.5, 100.97, 3.3, 135.0, 64.0, 9.8, 2012-01-02 20:00:00, None, 2.0, None
20.5, 100.96, 2.3, 135.0, 64.0, 8.8, 2012-01-02 21:00:00, 31.7, 10.0, -0.14
11.2, 100.91, 4.2, 135.0, 77.0, 8.0, 2012-01-02 22:00:00, None, 4.0, None
20.5, 100.94, 5.5, 90.0, 92.0, 6.7, 2012-01-02 23:00:00, None, 10.0, None
9.4, 100.95, 4.8, 135.0, 91.0, 6.2, 2012-01-03 00:00:00, None, 10.0, -0.01
7.6, 100.96, 4.4, 135.0, 90.0, 5.9, 2012-01-03 01:00:00, None, 10.0, None
3.6, 100.99, 4.2, 157.5, 87.0, 6.2, 2012-01-03 02:00:00, None, 10.0, None
3.6, 101.12, 4.4, 90.0, 88.0, 6.2, 2012-01-03 03:00:00, None, 10.0, 0.17
13.0, 101.23, 4.9, 135.0, 88.0, 6.8, 2012-01-03 04:00:00, None, 6.0, None
11.2, 101.32, 5.3, 112.5, 91.0, 6.6, 2012-01-03 05:00:00, None, 6.0, None
14.8, 101.82, 4.6, 135.0, 88.0, 6.4, 2012-01-03 14:00:00, None, 10.0, None
29.5, 101.85, 5.0, 135.0, 90.0, 6.6, 2012-01-03 15:00:00, 46.4, 10.0, -0.02
33.5, 101.89, 5.4, 135.0, 91.0, 6.8, 2012-01-03 16:00:00, 48.2, 10.0, None
31.7, 101.89, 5.5, 135.0, 91.0, 6.8, 2012-01-03 17:00:00, 44.6, 10.0, None
31.7, 101.89, 5.5, 135.0, 91.0, 6.8, 2012-01-03 18:00:00, 46.4, 10.0, 0.04
31.7, 101.88, 5.4, 135.0, 92.0, 6.6, 2012-01-03 19:00:00, None, 10.0, None
25.9, 101.85, 4.4, 135.0, 91.0, 5.7, 2012-01-03 20:00:00, 40.7, 10.0, None
24.1, 101.8, 3.9, 135.0, 92.0, 5.1, 2012-01-03 21:00:00, 33.5, 4.0, -0.09
18.4, 101.72, 4.2, 135.0, 93.0, 5.2, 2012-01-03 22:00:00, None, 4.0, None
20.5, 101.68, 5.1, 135.0, 93.0, 6.1, 2012-01-03 23:00:00, None, 10.0, None
20.5, 101.68, 6.4, 135.0, 95.0, 7.1, 2012-01-04 00:00:00, None, 6.0, -0.12
22.3, 101.65, 6.9, 135.0, 94.0, 7.8, 2012-01-04 01:00:00, 38.9, 6.0, None
42.5, 101.59, 7.1, 135.0, 94.0, 8.0, 2012-01-04 02:00:00, 59.4, 4.0, None
33.5, 101.57, 7.1, 135.0, 94.0, 8.0, 2012-01-04 03:00:00, 44.6, 6.0, -0.1
29.5, 101.51, 7.1, 135.0, 94.0, 8.0, 2012-01-04 04:00:00, 48.2, 6.0, None
31.7, 101.47, 7.2, 135.0, 94.0, 8.1, 2012-01-04 05:00:00, 46.4, 6.0, None
24.1, 100.95, 7.5, 112.5, 95.0, 8.3, 2012-01-04 14:00:00, 33.5, 6.0, None
25.9, 100.99, 7.5, 135.0, 95.0, 8.2, 2012-01-04 15:00:00, 37.1, 6.0, 0.02
