station_observations
wind_speed, mean_sea_level, dew_point, wind_direction, relative_humidity, air_temperature, time, wind_gust_speed, total_cloud_cover, tendency_amount
22.3, 101.6, 0.0, 135.0, 92.0, 1.2, 2012-01-01 00:00:00, 35.3, 7.0, -0.31
20.5, 101.51, 0.3, 135.0, 95.0, 1.0, 2012-01-01 01:00:00, 40.7, 7.0, None
25.9, 101.4, 0.1, 135.0, 92.0, 1.3, 2012-01-01 02:00:00, 48.2, 6.0, None
55.4, 100.47, 3.4, 135.0, 93.0, 4.5, 2012-01-01 15:00:00, 79.6, 10.0, -0.28
44.6, 100.29, 3.4, 135.0, 93.0, 4.5, 2012-01-01 16:00:00, 74.2, 10.0, None
42.5, 100.13, 3.4, 135.0, 93.0, 4.5, 2012-01-01 17:00:00, 77.8, 10.0, None
57.6, 100.0, 3.4, 135.0, 93.0, 4.5, 2012-01-01 18:00:00, 81.7, 10.0, -0.47
59.4, 99.82, 3.9, 157.5, 93.0, 5.0, 2012-01-01 19:00:00, 90.7, 2.0, None
57.6, 99.61, 4.5, 135.0, 93.0, 5.5, 2012-01-01 20:00:00, 81.7, 10.0, None
59.4, 99.43, 5.7, 135.0, 95.0, 6.5, 2012-01-01 21:00:00, 100.1, 10.0, -0.57
50.0, 99.35, 6.5, 157.5, 93.0, 7.5, 2012-01-01 22:00:00, 92.5, 10.0, None
57.6, 99.35, 6.7, 157.5, 95.0, 7.5, 2012-01-01 23:00:00, 74.2, 10.0, None
46.4, 99.36, 7.0, 157.5, 93.0, 8.0, 2012-01-02 00:00:00, 66.6, 2.0, -0.07
48.2, 99.31, 6.7, 157.5, 95.0, 7.5, 2012-01-02 01:00:00, 83.5, 2.0, None
44.6, 99.34, 6.7, 157.5, 95.0, 7.5, 2012-01-02 02:00:00, 70.6, 2.0, None
0.0, 100.32, 3.1, 0.0, 94.0, 4.0, 2012-01-02 15:00:00, None, 10.0, 0.23
3.6, 100.4, 2.8, 180.0, 95.0, 3.5, 2012-01-02 16:00:00, None, 10.0, None
3.6, 100.5, 2.8, 225.0, 95.0, 3.5, 2012-01-02 17:00:00, None, 10.0, None
5.4, 100.56, 2.8, 135.0, 95.0, 3.5, 2012-01-02 18:00:00, None, 4.0, 0.24
0.0, 100.64, 2.7, 0.0, 94.0, 3.6, 2012-01-02 19:00:00, None, 2.0, None
0.0, 100.59, 3.4, 0.0, 86.0, 5.5, 2012-01-02 20:00:00, None, 10.0, None
3.6, 100.58, 2.0, 247.5, 75.0, 6.0, 2012-01-02 21:00:00, None, 10.0, 0.02
0.0, 100.55, 1.2, 0.0, 74.0, 5.5, 2012-01-02 22:00:00, None, 10.0, None
3.6, 100.57, 2.1, 337.5, 81.0, 5.0, 2012-01-02 23:00:00, None, 10.0, None
0.0, 100.56, 1.9, 0.0, 92.0, 3.0, 2012-01-03 00:00:00, None, 10.0, -0.02
0.0, 100.58, 1.3, 0.0, 95.0, 2.0, 2012-01-03 01:00:00, None, 4.0, None
0.0, 100.56, 1.1, 0.0, 96.0, 1.6, 2012-01-03 02:00:00, None, 4.0, None
