station_observations
wind_direction, air_temperature, wind_gust_speed, total_cloud_cover, tendency_amount, wind_speed, mean_sea_level, dew_point, snow_amount, air_temperature_yesterday_high, relative_humidity, time, air_temperature_yesterday_low, total_precipitation
112.5, -7.1, None, 2.0, 0.0, 7.6, 103.07, -14.6, None, None, 55.0, 2012-01-01 00:00:00, None, None
135.0, -7.9, None, 10.0, None, 5.4, 103.09, -15.5, None, None, 54.0, 2012-01-01 01:00:00, None, None
112.5, -8.4, None, 4.0, None, 9.4, 103.09, -14.2, None, None, 63.0, 2012-01-01 02:00:00, None, None
112.5, -9.0, None, 4.0, -0.04, 11.2, 103.09, -13.9, None, None, 68.0, 2012-01-01 03:00:00, None, None
112.5, -9.0, None, 10.0, None, 14.8, 103.1, -14.4, None, None, 65.0, 2012-01-01 04:00:00, None, None
112.5, -8.8, None, 10.0, None, 18.4, 103.09, -14.4, None, None, 64.0, 2012-01-01 05:00:00, None, None
112.5, -8.7, None, 0.0, 0.03, 13.0, 103.12, -14.3, 0.0, -3.9, 64.0, 2012-01-01 06:00:00, -13.9, 0.0
112.5, -9.0, None, 3.0, None, 14.8, 103.12, -14.1, None, None, 66.0, 2012-01-01 07:00:00, None, None
135.0, -8.4, None, 10.0, None, 11.2, 103.03, -13.8, None, None, 65.0, 2012-01-01 08:00:00, None, None
135.0, -10.2, None, 10.0, -0.11, 3.6, 102.95, -14.4, None, None, 71.0, 2012-01-01 09:00:00, None, None
135.0, -8.3, None, 10.0, None, 7.6, 102.95, -12.7, None, None, 71.0, 2012-01-01 10:00:00, None, None
135.0, -8.9, None, 10.0, None, 7.6, 102.97, -12.6, None, None, 75.0, 2012-01-01 11:00:00, None, None
135.0, -5.8, None, 10.0, 0.04, 18.4, 102.95, -11.6, None, None, 64.0, 2012-01-01 12:00:00, None, None
135.0, -5.5, None, 10.0, None, 22.3, 102.87, -11.6, None, None, 62.0, 2012-01-01 13:00:00, None, None
157.5, -4.9, None, 10.0, None, 18.4, 102.83, -11.4, None, None, 60.0, 2012-01-01 14:00:00, None, None
135.0, -4.9, 37.1, 10.0, -0.09, 20.5, 102.86, -11.4, None, None, 60.0, 2012-01-01 15:00:00, None, None
157.5, -4.5, 53.6, 10.0, None, 33.5, 102.82, -11.6, None, None, 58.0, 2012-01-01 16:00:00, None, None
157.5, -4.3, 53.6, 4.0, None, 40.7, 102.9, -11.1, None, None, 59.0, 2012-01-01 17:00:00, None, None
157.5, -3.7, 46.4, 4.0, 0.05, 31.7, 102.9, -10.7, None, None, 58.0, 2012-01-01 18:00:00, None, None
135.0, -3.2, 55.4, 4.0, None, 37.1, 102.85, -10.2, None, None, 58.0, 2012-01-01 19:00:00, None, None
135.0, -2.9, 55.4, 2.0, None, 40.7, 102.76, -10.1, None, None, 58.0, 2012-01-01 20:00:00, None, None
135.0, -2.5, 74.2, 2.0, -0.15, 46.4, 102.73, -9.4, None, None, 59.0, 2012-01-01 21:00:00, None, None
135.0, -2.2, 63.0, 10.0, None, 37.1, 102.59, -9.2, None, None, 59.0, 2012-01-01 22:00:00, None, None
135.0, -2.0, 68.4, 10.0, None, 38.9, 102.57, -8.7, None, None, 60.0, 2012-01-01 23:00:00, None, None
135.0, -1.5, 64.8, 10.0, -0.18, 37.1, 102.46, -8.3, None, None, 60.0, 2012-01-02 00:00:00, None, None
135.0, -1.5, 55.4, 10.0, None, 33.5, 102.36, -7.9, None, None, 62.0, 2012-01-02 01:00:00, None, None
135.0, -1.1, 55.4, 4.0, None, 33.5, 102.24, -7.3, None, None, 63.0, 2012-01-02 02:00:00, None, None
135.0, -1.1, 57.6, 2.0, -0.28, 35.3, 102.13, -7.3, None, None, 63.0, 2012-01-02 03:00:00, None, None
135.0, -0.8, 76.0, 4.0, None, 42.5, 101.97, -6.8, None, None, 64.0, 2012-01-02 04:00:00, None, None
135.0, -0.5, 50.0, 4.0, None, 31.7, 101.96, -6.5, None, None, 64.0, 2012-01-02 05:00:00, None, None
135.0, -0.3, 75.93, 2.0, -0.23, 35.3, 101.84, -6.5, 0.0, -1.5, 63.0, 2012-01-02 06:00:00, -11.0, 0.0
135.0, -0.2, 46.4, 2.0, None, 33.5, 101.77, -6.2, None, None, 64.0, 2012-01-02 07:00:00, None, None
