WDIR_VECT,TEMP_MEAN,WSPD_SCLR,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
None, None, 1.277,71.3,2016-06-17 00:00:00,11.97,25
None, None, 0.797999,74.0,2016-06-17 01:00:00,11.86,25
None, None, 0.837998,74.6,2016-06-17 02:00:00,11.8,25
None, None, 2.122,76.4,2016-06-17 03:00:00,11.18,25
None, None, 1.592,76.4,2016-06-17 04:00:00,11.13,25
None, None, 1.466,79.5,2016-06-17 05:00:00,10.63,25
None, None, 0.762,74.0,2016-06-17 06:00:00,12.6,25
None, None, 1.935,73.0,2016-06-17 07:00:00,13.47,25
None, None, 2.041,72.5,2016-06-17 08:00:00,13.9,25
None, None, 4.799,72.1,2016-06-17 09:00:00,14.56,25
None, None, 5.486,73.4,2016-06-17 10:00:00,14.69,25
None, None, 5.816,71.0,2016-06-17 11:00:00,15.17,25
None, None, 5.967,64.9,2016-06-17 12:00:00,16.25,25
None, None, 5.812,59.72,2016-06-17 13:00:00,17.26,25
None, None, 4.652,50.18,2016-06-17 14:00:00,18.8,25
None, None, 4.843,46.39,2016-06-17 15:00:00,19.77,25
None, None, 4.041,40.59,2016-06-17 16:00:00,20.59,25
None, None, 0.953,37.89,2016-06-17 17:00:00,20.89,25
None, None, 2.036,45.11,2016-06-17 18:00:00,20.95,25
None, None, 1.61,46.5,2016-06-17 19:00:00,20.81,25
None, None, 1.798,56.92,2016-06-17 20:00:00,18.2,25
None, None, 1.905,62.43,2016-06-17 21:00:00,16.57,25
None, None, 1.656,63.55,2016-06-17 22:00:00,16.7,25
None, None, 1.173,68.63,2016-06-17 23:00:00,15.52,25
None, None, 2.926,69.6,2016-06-18 00:00:00,15.97,25
None, None, 2.138,70.8,2016-06-18 01:00:00,15.87,25
None, None, 1.566,75.0,2016-06-18 02:00:00,14.93,25
None, None, 2.701,75.4,2016-06-18 03:00:00,14.91,25
None, None, 1.527,82.6,2016-06-18 04:00:00,14.21,25
None, None, 2.86,83.2,2016-06-18 05:00:00,13.87,25
None, None, 3.369,83.0,2016-06-18 06:00:00,13.77,25
None, None, 1.474,83.7,2016-06-18 07:00:00,13.68,25
None, None, 2.625,85.6,2016-06-18 08:00:00,13.75,25
None, None, 4.09,84.5,2016-06-18 09:00:00,13.99,25
None, None, 5.081,87.4,2016-06-18 10:00:00,13.68,25
None, None, 6.227,88.5,2016-06-18 11:00:00,13.47,25
None, None, 3.825,87.0,2016-06-18 12:00:00,13.34,25
None, None, 3.328,82.4,2016-06-18 13:00:00,13.53,25
None, None, 3.642,83.6,2016-06-18 14:00:00,13.29,25
None, None, 2.344,83.8,2016-06-18 15:00:00,13.29,25
None, None, 0.782,84.2,2016-06-18 16:00:00,12.89,25
None, None, 1.098,87.6,2016-06-18 17:00:00,12.18,25
None, None, 0.772,90.6,2016-06-18 18:00:00,12.09,25
None, None, 0.524999,90.2,2016-06-18 19:00:00,12.22,25
None, None, 1.182,90.0,2016-06-18 20:00:00,12.18,25
None, None, 1.645,91.2,2016-06-18 21:00:00,11.74,25
None, None, 0.629,92.2,2016-06-18 22:00:00,11.64,25
None, None, 1.198,92.9,2016-06-18 23:00:00,11.61,25
None, None, 1.569,93.0,2016-06-19 00:00:00,11.69,25
None, None, 0.365,93.0,2016-06-19 01:00:00,11.77,25
None, None, 0.46,93.2,2016-06-19 02:00:00,11.64,25
None, None, 0.112,93.4,2016-06-19 03:00:00,11.69,25
None, None, 0.171,93.7,2016-06-19 04:00:00,11.65,25
None, None, 1.158,93.3,2016-06-19 05:00:00,11.74,25
None, None, 1.793,92.9,2016-06-19 06:00:00,11.83,25
None, None, 0.779999,90.9,2016-06-19 07:00:00,12.44,25
None, None, 1.286,86.7,2016-06-19 08:00:00,12.79,25
None, None, 1.802,82.1,2016-06-19 09:00:00,13.3,25
None, None, 2.293,83.1,2016-06-19 10:00:00,13.39,25
None, None, 2.864,81.2,2016-06-19 11:00:00,13.45,25
None, None, 2.023,76.9,2016-06-19 12:00:00,13.99,25
None, None, 2.247,71.9,2016-06-19 13:00:00,14.66,25
None, None, 1.993,69.36,2016-06-19 14:00:00,15.34,25
None, None, 1.979,68.23,2016-06-19 15:00:00,15.59,25
None, None, 1.49,69.43,2016-06-19 16:00:00,15.52,25
None, None, 1.633,69.52,2016-06-19 17:00:00,15.95,25
None, None, 1.492,69.59,2016-06-19 18:00:00,16.3,25
None, None, 1.035,70.3,2016-06-19 19:00:00,16.58,25
None, None, 1.515,79.8,2016-06-19 20:00:00,14.99,25
None, None, 2.476,85.8,2016-06-19 21:00:00,13.4,25
None, None, 2.275,87.2,2016-06-19 22:00:00,12.61,25
None, None, 1.731,88.7,2016-06-19 23:00:00,12.1,25
None, None, 1.376,89.5,2016-06-20 00:00:00,11.69,25
None, None, 2.345,88.4,2016-06-20 01:00:00,11.42,25
None, None, 2.186,88.2,2016-06-20 02:00:00,11.07,25
None, None, 1.974,88.5,2016-06-20 03:00:00,10.78,25
None, None, 1.731,88.6,2016-06-20 04:00:00,10.57,25
None, None, 1.698,87.8,2016-06-20 05:00:00,10.73,25
None, None, 1.498,86.0,2016-06-20 06:00:00,11.39,25
None, None, 0.945999,86.9,2016-06-20 07:00:00,11.81,25
None, None, 0.195998,84.4,2016-06-20 08:00:00,13.49,25
None, None, 0.912998,77.5,2016-06-20 09:00:00,15.27,25
None, None, 1.63,71.2,2016-06-20 10:00:00,16.07,25
None, None, 2.014,69.76,2016-06-20 11:00:00,16.38,25
None, None, 2.389,68.86,2016-06-20 12:00:00,17.45,25
None, None, 3.507,72.4,2016-06-20 13:00:00,18.62,25
None, None, 2.2,67.84,2016-06-20 14:00:00,18.67,25
None, None, 1.024,65.95,2016-06-20 15:00:00,19.11,25
None, None, 1.751,67.07,2016-06-20 16:00:00,19.54,25
None, None, 0.995,67.23,2016-06-20 17:00:00,19.43,25
None, None, 4.588,76.2,2016-06-20 18:00:00,18.54,25
None, None, 2.514,81.1,2016-06-20 19:00:00,17.78,25
None, None, 2.202,84.1,2016-06-20 20:00:00,17.12,25
None, None, 2.22,76.9,2016-06-20 21:00:00,15.59,25
None, None, 2.14,74.4,2016-06-20 22:00:00,14.84,25
None, None, 1.519,76.3,2016-06-20 23:00:00,14.3,25
None, None, 1.38,77.9,2016-06-21 00:00:00,14.03,25
None, None, 1.987,77.8,2016-06-21 01:00:00,13.7,25
None, None, 1.249,80.5,2016-06-21 02:00:00,13.3,25
None, None, 1.207,83.3,2016-06-21 03:00:00,13.42,25
None, None, 1.144,84.2,2016-06-21 04:00:00,13.42,25
None, None, 1.286,84.5,2016-06-21 05:00:00,13.37,25
None, None, 1.603,81.2,2016-06-21 06:00:00,14.31,25
None, None, 1.606,74.2,2016-06-21 07:00:00,15.97,25
None, None, 2.701,69.59,2016-06-21 08:00:00,16.94,25
None, None, 4.207,71.1,2016-06-21 09:00:00,16.41,25
None, None, 2.256,67.36,2016-06-21 10:00:00,17.38,25
None, None, 2.384,66.33,2016-06-21 11:00:00,17.51,25
None, None, 3.81,68.8,2016-06-21 12:00:00,16.93,25
None, None, 4.336,68.97,2016-06-21 13:00:00,16.83,25
None, None, 4.985,66.84,2016-06-21 14:00:00,16.98,25
None, None, 2.044,62.09,2016-06-21 15:00:00,17.65,25
None, None, 0.739,59.56,2016-06-21 16:00:00,18.05,25
None, None, 4.141,60.96,2016-06-21 17:00:00,18.46,25
None, None, 4.178,65.58,2016-06-21 18:00:00,17.7,25
None, None, 3.362,65.41,2016-06-21 19:00:00,17.41,25
