WSPD_SCLR,time,week_of_year
1.82596,2019-07-16 00:00:00,29
3.20503,2019-07-16 01:00:00,29
3.20316,2019-07-16 02:00:00,29
3.31354,2019-07-16 03:00:00,29
2.93006,2019-07-16 04:00:00,29
2.91003,2019-07-16 05:00:00,29
2.89683,2019-07-16 06:00:00,29
2.07667,2019-07-16 07:00:00,29
2.84077,2019-07-16 08:00:00,29
2.7327,2019-07-16 09:00:00,29
2.91705,2019-07-16 10:00:00,29
2.57054,2019-07-16 11:00:00,29
2.84821,2019-07-16 12:00:00,29
3.33326,2019-07-16 13:00:00,29
5.19882,2019-07-16 14:00:00,29
4.46121,2019-07-16 15:00:00,29
2.21265,2019-07-16 16:00:00,29
3.45246,2019-07-16 17:00:00,29
3.24663,2019-07-16 18:00:00,29
2.58472,2019-07-16 19:00:00,29
1.36362,2019-07-16 20:00:00,29
1.24746,2019-07-16 21:00:00,29
1.57584,2019-07-16 22:00:00,29
0.854724,2019-07-16 23:00:00,29
1.5937,2019-07-17 00:00:00,29
2.23933,2019-07-17 01:00:00,29
2.21649,2019-07-17 02:00:00,29
2.04597,2019-07-17 03:00:00,29
1.82307,2019-07-17 04:00:00,29
0.844624,2019-07-17 05:00:00,29
0.802321,2019-07-17 06:00:00,29
1.00243,2019-07-17 07:00:00,29
1.40872,2019-07-17 08:00:00,29
1.81537,2019-07-17 09:00:00,29
1.58681,2019-07-17 10:00:00,29
1.69592,2019-07-17 11:00:00,29
2.49353,2019-07-17 12:00:00,29
3.26547,2019-07-17 13:00:00,29
2.21646,2019-07-17 14:00:00,29
2.37582,2019-07-17 15:00:00,29
0.860631,2019-07-17 16:00:00,29
2.08824,2019-07-17 17:00:00,29
1.11992,2019-07-17 18:00:00,29
1.31344,2019-07-17 19:00:00,29
2.11127,2019-07-17 20:00:00,29
3.12704,2019-07-17 21:00:00,29
2.46789,2019-07-17 22:00:00,29
2.35927,2019-07-17 23:00:00,29
1.90112,2019-07-18 00:00:00,29
2.34095,2019-07-18 01:00:00,29
3.11684,2019-07-18 02:00:00,29
3.11904,2019-07-18 03:00:00,29
2.6488,2019-07-18 04:00:00,29
2.93809,2019-07-18 05:00:00,29
4.23069,2019-07-18 06:00:00,29
4.0936,2019-07-18 07:00:00,29
3.62415,2019-07-18 08:00:00,29
3.94984,2019-07-18 09:00:00,29
3.34809,2019-07-18 10:00:00,29
3.60697,2019-07-18 11:00:00,29
3.44677,2019-07-18 12:00:00,29
3.46411,2019-07-18 13:00:00,29
3.19205,2019-07-18 14:00:00,29
4.72512,2019-07-18 15:00:00,29
4.55735,2019-07-18 16:00:00,29
3.878,2019-07-18 17:00:00,29
2.91436,2019-07-18 18:00:00,29
2.59499,2019-07-18 19:00:00,29
2.71239,2019-07-18 20:00:00,29
2.56156,2019-07-18 21:00:00,29
2.79164,2019-07-18 22:00:00,29
2.61472,2019-07-18 23:00:00,29
2.43527,2019-07-19 00:00:00,29
4.49101,2019-07-19 01:00:00,29
3.94428,2019-07-19 02:00:00,29
4.24021,2019-07-19 03:00:00,29
4.33111,2019-07-19 04:00:00,29
4.85103,2019-07-19 05:00:00,29
4.25949,2019-07-19 06:00:00,29
5.04977,2019-07-19 07:00:00,29
4.68965,2019-07-19 08:00:00,29
4.12136,2019-07-19 09:00:00,29
4.34344,2019-07-19 10:00:00,29
3.74951,2019-07-19 11:00:00,29
3.29364,2019-07-19 12:00:00,29
3.19763,2019-07-19 13:00:00,29
2.93121,2019-07-19 14:00:00,29
2.17179,2019-07-19 15:00:00,29
2.88436,2019-07-19 16:00:00,29
3.79179,2019-07-19 17:00:00,29
3.50731,2019-07-19 18:00:00,29
2.8643,2019-07-19 19:00:00,29
2.70665,2019-07-19 20:00:00,29
2.59057,2019-07-19 21:00:00,29
2.20701,2019-07-19 22:00:00,29
2.12774,2019-07-19 23:00:00,29
2.56504,2019-07-20 00:00:00,29
2.52889,2019-07-20 01:00:00,29
2.68234,2019-07-20 02:00:00,29
2.74618,2019-07-20 03:00:00,29
3.16181,2019-07-20 04:00:00,29
1.70278,2019-07-20 05:00:00,29
0.930183,2019-07-20 06:00:00,29
2.46927,2019-07-20 07:00:00,29
2.64831,2019-07-20 08:00:00,29
2.78856,2019-07-20 09:00:00,29
2.55559,2019-07-20 10:00:00,29
2.15937,2019-07-20 11:00:00,29
2.0617,2019-07-20 12:00:00,29
2.43016,2019-07-20 13:00:00,29
2.67951,2019-07-20 14:00:00,29
2.82447,2019-07-20 15:00:00,29
3.02831,2019-07-20 16:00:00,29
