WDIR_VECT,TEMP_MEAN,WSPD_SCLR,HUMIDITY,time,week_of_year
162.3,-4.7, None,87.9,2019-01-15 00:00:00,3
187.9,-4.8, None,88.3,2019-01-15 01:00:00,3
158.0,-4.6, None,87.5,2019-01-15 02:00:00,3
164.5,-4.7, None,87.7,2019-01-15 03:00:00,3
168.8,-4.8, None,87.5,2019-01-15 04:00:00,3
148.1,-4.4, None,85.7,2019-01-15 05:00:00,3
154.2,-4.6, None,86.0,2019-01-15 06:00:00,3
155.5,-4.7, None,85.5,2019-01-15 07:00:00,3
160.1,-5.1, None,86.3,2019-01-15 08:00:00,3
144.0,-4.8, None,84.3,2019-01-15 09:00:00,3
147.8,-4.2, None,81.0,2019-01-15 10:00:00,3
149.6,-3.6, None,77.9,2019-01-15 11:00:00,3
154.8,-3.2, None,75.6,2019-01-15 12:00:00,3
152.2,-2.9, None,74.3,2019-01-15 13:00:00,3
148.8,-2.8, None,73.9,2019-01-15 14:00:00,3
148.2,-3.0, None,74.1,2019-01-15 15:00:00,3
149.1,-3.8, None,77.8,2019-01-15 16:00:00,3
139.7,-4.4, None,80.5,2019-01-15 17:00:00,3
145.3,-4.8, None,82.1,2019-01-15 18:00:00,3
143.2,-5.1, None,83.5,2019-01-15 19:00:00,3
161.4,-5.8, None,85.4,2019-01-15 20:00:00,3
160.1,-6.3, None,86.8,2019-01-15 21:00:00,3
151.7,-6.2, None,86.6,2019-01-15 22:00:00,3
175.6,-7.4, None,88.6,2019-01-15 23:00:00,3
166.9,-7.6, None,88.9,2019-01-16 00:00:00,3
160.7,-7.2, None,87.7,2019-01-16 01:00:00,3
167.3,-7.3, None,88.0,2019-01-16 02:00:00,3
164.0,-7.4, None,86.9,2019-01-16 03:00:00,3
160.7,-7.1, None,86.4,2019-01-16 04:00:00,3
149.0,-6.7, None,85.1,2019-01-16 05:00:00,3
162.2,-6.9, None,85.0,2019-01-16 06:00:00,3
162.3,-6.8, None,84.7,2019-01-16 07:00:00,3
164.6,-6.8, None,84.2,2019-01-16 08:00:00,3
157.1,-6.8, None,83.2,2019-01-16 09:00:00,3
151.0,-6.2, None,80.3,2019-01-16 10:00:00,3
152.8,-5.4, None,76.5,2019-01-16 11:00:00,3
157.8,-4.7, None,73.3,2019-01-16 12:00:00,3
153.5,-4.1, None,70.7,2019-01-16 13:00:00,3
140.1,-3.9, None,69.3,2019-01-16 14:00:00,3
150.2,-4.1, None,70.4,2019-01-16 15:00:00,3
149.1,-4.8, None,74.1,2019-01-16 16:00:00,3
142.4,-5.1, None,75.1,2019-01-16 17:00:00,3
121.5,-5.0, None,75.1,2019-01-16 18:00:00,3
124.5,-4.8, None,74.9,2019-01-16 19:00:00,3
126.3,-4.7, None,74.3,2019-01-16 20:00:00,3
120.2,-4.6, None,75.1,2019-01-16 21:00:00,3
106.4,-4.5, None,74.5,2019-01-16 22:00:00,3
55.1,-4.6, None,74.8,2019-01-16 23:00:00,3
115.8,-4.5, None,75.3,2019-01-17 00:00:00,3
56.6,-4.7, None,77.0,2019-01-17 01:00:00,3
69.8,-4.9, None,78.4,2019-01-17 02:00:00,3
6.0,-5.2, None,81.7,2019-01-17 03:00:00,3
26.6,-5.2, None,81.9,2019-01-17 04:00:00,3
85.7,-4.6, None,79.3,2019-01-17 05:00:00,3
1.5,-5.1, None,82.1,2019-01-17 06:00:00,3
83.0,-5.2, None,83.6,2019-01-17 07:00:00,3
67.6,-5.2, None,84.7,2019-01-17 08:00:00,3
41.1,-4.7, None,83.3,2019-01-17 09:00:00,3
177.0,-3.8, None,76.0,2019-01-17 10:00:00,3
148.5,-3.6, None,74.7,2019-01-17 11:00:00,3
4.4,-2.9, None,71.5,2019-01-17 12:00:00,3
193.6,-2.1, None,66.9,2019-01-17 13:00:00,3
178.1,-1.9, None,65.8,2019-01-17 14:00:00,3
196.5,-1.6, None,65.0,2019-01-17 15:00:00,3
157.3,-1.7, None,68.3,2019-01-17 16:00:00,3
144.4,-1.8, None,71.2,2019-01-17 17:00:00,3
136.5,-2.0, None,72.5,2019-01-17 18:00:00,3
135.2,-2.0, None,72.5,2019-01-17 19:00:00,3
138.1,-2.1, None,74.3,2019-01-17 20:00:00,3
138.2,-2.4, None,81.6,2019-01-17 21:00:00,3
150.1,-2.6, None,86.7,2019-01-17 22:00:00,3
140.1,-2.5, None,87.0,2019-01-17 23:00:00,3
163.0,-2.4, None,86.5,2019-01-18 00:00:00,3
167.6,-2.4, None,84.9,2019-01-18 01:00:00,3
310.3,-4.0, None,88.2,2019-01-18 02:00:00,3
324.3,-4.7, None,86.6,2019-01-18 03:00:00,3
322.0,-5.1, None,85.1,2019-01-18 04:00:00,3
160.0,-2.0, None,82.0,2019-01-18 05:00:00,3
172.7,-1.1, None,77.4,2019-01-18 06:00:00,3
184.6,-1.6, None,77.8,2019-01-18 07:00:00,3
161.2,-0.4, None,74.0,2019-01-18 08:00:00,3
157.3,-0.3, None,74.3,2019-01-18 09:00:00,3
155.4,0.0, None,71.8,2019-01-18 10:00:00,3
156.9,0.3, None,70.4,2019-01-18 11:00:00,3
158.3,0.7, None,68.9,2019-01-18 12:00:00,3
149.3,1.1, None,67.9,2019-01-18 13:00:00,3
152.4,1.1, None,69.2,2019-01-18 14:00:00,3
153.7,1.2, None,68.3,2019-01-18 15:00:00,3
161.8,1.1, None,68.2,2019-01-18 16:00:00,3
159.1,1.1, None,69.0,2019-01-18 17:00:00,3
156.1,1.1, None,69.1,2019-01-18 18:00:00,3
155.6,0.9, None,70.2,2019-01-18 19:00:00,3
150.6,0.8, None,71.2,2019-01-18 20:00:00,3
139.1,0.6, None,72.5,2019-01-18 21:00:00,3
129.2,0.5, None,72.7,2019-01-18 22:00:00,3
150.7,0.6, None,72.2,2019-01-18 23:00:00,3
146.6,0.6, None,73.4,2019-01-19 00:00:00,3
153.6,0.9, None,72.0,2019-01-19 01:00:00,3
154.9,0.9, None,72.4,2019-01-19 02:00:00,3
154.5,0.7, None,77.8,2019-01-19 03:00:00,3
156.6,0.3, None,85.6,2019-01-19 04:00:00,3
167.9,0.4, None,85.3,2019-01-19 05:00:00,3
160.2,0.5, None,85.2,2019-01-19 06:00:00,3
150.3,1.1, None,79.9,2019-01-19 07:00:00,3
