TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
-4.0, 0.874, 88.6,88.6,2019-01-15 00:00:00,-4.04,3
-4.4, 3.056, 85.9,85.9,2019-01-15 01:00:00,-4.386,3
-4.8, 3.147, 86.0,86.0,2019-01-15 02:00:00,-4.816,3
-5.1, 3.218, 87.4,87.4,2019-01-15 03:00:00,-5.082,3
-5.0, 3.106, 91.6,91.6,2019-01-15 04:00:00,-5.045,3
-6.2, 4.198, 92.3,92.3,2019-01-15 05:00:00,-6.162,3
-7.6, 4.638, 90.5,90.5,2019-01-15 06:00:00,-7.649,3
-8.6, 4.227, 88.8,88.8,2019-01-15 07:00:00,-8.62,3
-9.3, 4.35, 87.6,87.6,2019-01-15 08:00:00,-9.31,3
-9.7, 4.168, 87.8,87.8,2019-01-15 09:00:00,-9.73,3
-10.0, 4.081, 87.1,87.1,2019-01-15 10:00:00,-9.99,3
-10.2, 4.541, 85.1,85.1,2019-01-15 11:00:00,-10.24,3
-10.5, 4.714, 84.0,84.0,2019-01-15 12:00:00,-10.49,3
-10.7, 4.587, 83.9,83.9,2019-01-15 13:00:00,-10.73,3
-10.7, 3.962, 83.5,83.5,2019-01-15 14:00:00,-10.68,3
-10.7, 4.132, 83.0,83.0,2019-01-15 15:00:00,-10.69,3
-10.6, 3.882, 83.0,83.0,2019-01-15 16:00:00,-10.58,3
-10.6, 3.661, 83.3,83.3,2019-01-15 17:00:00,-10.57,3
-10.5, 3.146, 84.7,84.7,2019-01-15 18:00:00,-10.52,3
-10.5, 3.671, 86.0,86.0,2019-01-15 19:00:00,-10.51,3
-10.5, 2.799, 85.3,85.3,2019-01-15 20:00:00,-10.5,3
-10.4, 3.039, 84.8,84.8,2019-01-15 21:00:00,-10.39,3
-10.5, 2.901, 85.3,85.3,2019-01-15 22:00:00,-10.46,3
-10.5, 2.091, 87.2,87.2,2019-01-15 23:00:00,-10.5,3
-10.4, 1.969, 87.8,87.8,2019-01-16 00:00:00,-10.42,3
-10.5, 1.477, 89.4,89.4,2019-01-16 01:00:00,-10.46,3
-10.3, 1.414, 88.2,88.2,2019-01-16 02:00:00,-10.33,3
-12.0, 5.364, 87.0,87.0,2019-01-16 03:00:00,-11.97,3
-14.0, 5.814, 86.8,86.8,2019-01-16 04:00:00,-14.0,3
-14.8, 3.438, 85.8,85.8,2019-01-16 05:00:00,-14.75,3
-15.4, 3.488, 85.0,85.0,2019-01-16 06:00:00,-15.42,3
-16.0, 3.289, 84.5,84.5,2019-01-16 07:00:00,-16.02,3
-16.5, 3.703, 84.3,84.3,2019-01-16 08:00:00,-16.5,3
-16.9, 3.487, 83.8,83.8,2019-01-16 09:00:00,-16.9,3
-17.0, 2.361, 83.3,83.3,2019-01-16 10:00:00,-17.01,3
-17.2, 2.909, 80.5,80.5,2019-01-16 11:00:00,-17.17,3
-17.3, 2.737, 79.2,79.24,2019-01-16 12:00:00,-17.25,3
-17.3, 2.758, 78.4,78.4,2019-01-16 13:00:00,-17.34,3
-17.5, 3.093, 77.4,77.36,2019-01-16 14:00:00,-17.52,3
-17.6, 2.726, 78.4,78.39,2019-01-16 15:00:00,-17.63,3
-17.9, 2.583, 79.0,78.99,2019-01-16 16:00:00,-17.93,3
-18.2, 2.465, 79.0,78.97,2019-01-16 17:00:00,-18.24,3
-18.5, 2.438, 77.1,77.07,2019-01-16 18:00:00,-18.46,3
-18.6, 2.07, 77.1,77.12,2019-01-16 19:00:00,-18.62,3
-18.7, 1.962, 75.6,75.58,2019-01-16 20:00:00,-18.71,3
-18.7, 1.534, 75.3,75.25,2019-01-16 21:00:00,-18.74,3
-18.8, 1.724, 75.6,75.57,2019-01-16 22:00:00,-18.82,3
-18.9, 2.054, 76.5,76.46,2019-01-16 23:00:00,-18.87,3
-18.9, 3.073, 76.3,76.26,2019-01-17 00:00:00,-18.92,3
-18.9, 2.747, 77.0,76.97,2019-01-17 01:00:00,-18.9,3
-18.9, 2.118, 77.8,77.75,2019-01-17 02:00:00,-18.88,3
-18.7, 2.224, 78.4,78.41,2019-01-17 03:00:00,-18.72,3
-18.6, 2.414, 79.4,79.42,2019-01-17 04:00:00,-18.63,3
-18.6, 1.433, 85.6,85.6,2019-01-17 05:00:00,-18.6,3
-18.4, 1.239, 85.8,85.8,2019-01-17 06:00:00,-18.39,3
-18.1, 2.391, 85.0,85.0,2019-01-17 07:00:00,-18.11,3
