ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,snw_dpth
0.0, 0.0, None, 0.0,2021-02-19, None, -7.5,8,,,,,,,,,,,,,
2.0, 0.0, -11.0, 2.0,2021-02-20, 179.0, -5.5,8,,,,,,,,,,,,,
2.0, 0.0, -8.0, 2.0,2021-02-21, 179.0, -1.5,8,,,,,,,,,,,,,
2.0, 0.0, -4.5, 2.0,2021-02-22, 178.0, -4.0,8,,,,,,,,,,,,,
1.0, 0.0, -9.5, 1.0,2021-02-23, 176.0, -7.0,8,,,,,,,,,,,,,
3.0, 0.0, -12.0, 3.0,2021-02-24, 176.0, -7.0,8,,,,,,,,,,,,,
, None, -10.0, None,2021-02-25, 175.0, None,8,,,,,,,,,,,,,
0.0, 0.0, None, 0.0,2021-02-19, None, -1.0,8,,,,,,,,,,,,,
1.0, 0.0, -10.5, 1.0,2021-02-20, 108.0, 1.0,8,,,,,,,,,,,,,
0.0, 0.0, -10.5, 0.0,2021-02-21, 106.0, 4.5,8,,,,,,,,,,,,,
1.0, 0.0, -2.5, 1.0,2021-02-22, 101.0, 5.5,8,,,,,,,,,,,,,
0.0, 0.0, -5.0, 0.0,2021-02-23, 100.0, -1.0,8,,,,,,,,,,,,,
6.0, 0.0, -11.5, 6.0,2021-02-24, 99.0, 0.0,8,,,,,,,,,,,,,
, None, -12.5, None,2021-02-25, 104.0, None,8,,,,,,,,,,,,,
0.0, 0.0, -14.0, 0.0,2021-02-19, 206.0, -8.0,8,,,,,,,,,,,,,
, None, -11.5, None,2021-02-20, 207.0, None,8,,,,,,,,,,,,,
3.0, 0.0, None, 3.0,2021-02-22, None, -5.0,8,,,,,,,,,,,,,
0.0, 0.0, -11.5, None,2021-02-23, 204.0, -9.5,8,,,,,,,,,,,,,
3.0, 0.0, -14.0, 3.0,2021-02-24, 203.0, -10.0,8,,,,,,,,,,,,,
5.0, 0.0, -11.5, 5.0,2021-02-25, 203.0, -8.0,8,,,,,,,,,,,,,
,,,,2021-02-19 00:00:00,,,8,61.0, 90.0, 4.1, 0.0, -11.2, 3.6, -9.9, -9.8, 77.0, 0.0, 0.0, 91.0,
,,,,2021-02-19 01:00:00,,,8,76.0, 91.0, 3.6, 0.0, -11.0, 3.2, -9.8, -9.7, 61.0, 0.0, 0.0, 91.0,
,,,,2021-02-19 02:00:00,,,8,67.0, None, None, 0.0, None, 4.2, None, -9.6, None, None, None, 91.0,
,,,,2021-02-19 03:00:00,,,8,50.0, 91.0, 4.2, 0.0, -10.8, 3.2, -9.6, -9.5, 67.0, 0.0, None, 91.0,
,,,,2021-02-19 04:00:00,,,8,92.0, 91.0, 3.2, 0.0, -10.7, 1.9, -9.5, -9.3, 50.0, 0.0, 0.0, 91.0,
,,,,2021-02-19 05:00:00,,,8,7.0, 91.0, 1.9, 0.0, -10.5, 1.5, -9.3, -9.3, 92.0, 0.0, 0.0, 91.0,
,,,,2021-02-19 06:00:00,,,8,249.0, 91.0, 1.5, 0.0, -10.5, 1.2, -9.3, -8.0, 7.0, 0.0, 0.0, 92.0,
,,,,2021-02-19 07:00:00,,,8,227.0, 92.0, 1.2, 0.0, -9.1, 2.4, -8.0, -7.0, 249.0, 0.0, 0.0, 92.0,
,,,,2021-02-19 08:00:00,,,8,203.0, 92.0, 2.4, 0.0, -8.1, 2.4, -7.0, -5.7, 227.0, 0.0, 0.0, 93.0,
,,,,2021-02-19 09:00:00,,,8,200.0, 93.0, 2.4, 0.0, -6.6, 2.5, -5.7, -5.1, 203.0, 0.0, 0.0, 92.0,
,,,,2021-02-19 10:00:00,,,8,242.0, 92.0, 2.5, 0.0, -6.2, 3.6, -5.1, -3.3, 200.0, 0.0, 0.0, 91.0,
,,,,2021-02-19 11:00:00,,,8,264.0, 91.0, 3.6, 0.0, -4.6, 6.7, -3.3, -2.6, 242.0, 0.0, 0.0, 89.0,
,,,,2021-02-19 12:00:00,,,8,210.0, 89.0, 6.7, 0.0, -4.2, 7.5, -2.6, -1.9, 264.0, 0.0, 0.0, 86.0,
,,,,2021-02-19 13:00:00,,,8,213.0, 86.0, 7.5, 0.0, -3.9, 5.8, -1.9, -2.0, 210.0, 0.0, 0.0, 85.0,
,,,,2021-02-19 14:00:00,,,8,230.0, 85.0, 5.8, 0.0, -4.2, 4.9, -2.0, -2.9, 213.0, 0.0, 0.0, 86.0,
