ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_speed,temperature,wind_direction,relative_humidity,precipitation
0.0,0.0,-7.5,0.0,2018-11-12,35.0,-1.0,46,,,,,
5.0,0.0,-7.0,5.0,2018-11-13,34.0,-0.5,46,,,,,
2.0,0.0,-4.0,2.0,2018-11-14,39.0,0.0,46,,,,,
4.6,0.0,-1.5,4.6,2018-11-15,40.0,0.0,46,,,,,
0.0,0.0,-3.5,0.0,2018-11-16,43.0,0.0,46,,,,,
0.0,0.0,-8.0,0.0,2018-11-17,41.0,-2.0,46,,,,,
0.0,0.0,-9.5,0.0,2018-11-18,41.0,0.5,46,,,,,
,,,,2018-11-12 00:00:00,,,46,4.9,-7.5,187.0,100.0,0.0
,,,,2018-11-12 01:00:00,,,46,5.7,-7.5,196.0,100.0,0.0
,,,,2018-11-12 02:00:00,,,46,5.2,-7.4,204.0,100.0,0.0
,,,,2018-11-12 03:00:00,,,46,5.7,-7.4,211.0,100.0,0.0
,,,,2018-11-12 04:00:00,,,46,5.3,-7.3,222.0,100.0,0.0
,,,,2018-11-12 05:00:00,,,46,5.1,-7.3,217.0,100.0,0.0
,,,,2018-11-12 06:00:00,,,46,6.6,-7.0,208.0,100.0,0.0
,,,,2018-11-12 07:00:00,,,46,6.9,-6.1,186.0,98.0,0.0
,,,,2018-11-12 08:00:00,,,46,5.6,-5.4,177.0,97.0,0.0
,,,,2018-11-12 09:00:00,,,46,4.7,-3.2,172.0,92.0,0.0
,,,,2018-11-12 10:00:00,,,46,5.2,-3.1,172.0,87.0,0.0
,,,,2018-11-12 11:00:00,,,46,5.8,-1.6,173.0,82.0,0.0
,,,,2018-11-12 12:00:00,,,46,3.4,-1.4,163.0,83.0,0.0
,,,,2018-11-12 13:00:00,,,46,3.1,-1.9,157.0,80.0,0.0
,,,,2018-11-12 14:00:00,,,46,1.7,-3.3,142.0,84.0,0.0
,,,,2018-11-12 15:00:00,,,46,6.3,-5.6,135.0,97.0,0.0
,,,,2018-11-12 16:00:00,,,46,3.8,-5.0,161.0,99.0,0.0
