BAR_PRESS,TEMP_MEAN,WSPD_SCLR,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
1012.0, 9.6, 1.597, 96.4, 98.2,2019-09-03 00:00:00, 9.03,36
1012.0, 9.0, 0.913, 98.2, 97.6,2019-09-03 01:00:00, 8.47,36
1012.0, 8.5, 0.646, 97.6, 98.7,2019-09-03 02:00:00, 7.595,36
1013.0, 7.6, 0.317, 98.7, 99.1,2019-09-03 03:00:00, 6.774,36
1013.0, 6.8, 0.314, 99.1, 99.8,2019-09-03 04:00:00, 6.405,36
1013.0, 6.4, 0.327, 99.8, 100.0,2019-09-03 05:00:00, 6.037,36
1013.0, 6.0, 0.096, 100.0, 100.0,2019-09-03 06:00:00, 6.809,36
1013.0, 6.8, 0.717, 100.0, 100.0,2019-09-03 07:00:00, 8.5,36
1013.0, 8.5, 0.442, 100.0, 99.6,2019-09-03 08:00:00, 9.76,36
1013.0, 9.8, 0.979, 99.6, 86.7,2019-09-03 09:00:00, 12.71,36
1013.0, 12.7, 0.781, 86.7, 80.3,2019-09-03 10:00:00, 14.29,36
1012.0, 14.3, 0.809, 80.3, 72.37,2019-09-03 11:00:00, 16.43,36
1011.0, 16.4, 1.497, 72.4, 63.14,2019-09-03 12:00:00, 19.8,36
1011.0, 19.8, 2.568, 63.1, 54.98,2019-09-03 13:00:00, 21.71,36
1011.0, 21.7, 2.209, 55.0, 50.8,2019-09-03 14:00:00, 23.05,36
1010.0, 23.1, 2.137, 50.8, 59.2,2019-09-03 15:00:00, 22.35,36
1010.0, 22.4, 1.382, 59.2, 78.95,2019-09-03 16:00:00, 20.52,36
1009.0, 20.5, 1.052, 79.0, 85.0,2019-09-03 17:00:00, 19.69,36
1009.0, 19.7, 1.374, 85.0, 92.0,2019-09-03 18:00:00, 18.45,36
1008.0, 18.5, 1.368, 92.0, 90.8,2019-09-03 19:00:00, 17.77,36
1008.0, 17.8, 1.453, 90.8, 92.6,2019-09-03 20:00:00, 16.9,36
1008.0, 16.9, 0.796, 92.6, 98.0,2019-09-03 21:00:00, 15.43,36
1008.0, 15.4, 0.538, 98.0, 99.3,2019-09-03 22:00:00, 14.63,36
