WDIR_VECT,TEMP_MEAN,HUMIDITY,avg_rel_hum_pst1hr,time,avg_air_temp_pst1hr,week_of_year
178.5, 11.6, 90.5, 92.8,2019-09-03 00:00:00, 10.64,36
177.6, 10.6, 92.8, 93.3,2019-09-03 01:00:00, 10.2,36
189.9, 10.2, 93.3, 93.7,2019-09-03 02:00:00, 8.98,36
166.6, 9.0, 93.7, 95.4,2019-09-03 03:00:00, 8.34,36
357.7, 8.3, 95.4, 96.0,2019-09-03 04:00:00, 8.14,36
171.1, 8.1, 96.0, 95.2,2019-09-03 05:00:00, 7.442,36
187.6, 7.4, 95.2, 95.2,2019-09-03 06:00:00, 7.178,36
154.9, 7.2, 95.2, 92.3,2019-09-03 07:00:00, 8.65,36
129.8, 8.6, 92.3, 82.0,2019-09-03 08:00:00, 11.58,36
40.3, 11.6, 82.0, 73.74,2019-09-03 09:00:00, 14.15,36
232.7, 14.2, 73.7, 59.1,2019-09-03 10:00:00, 18.4,36
166.7, 18.4, 59.1, 48.69,2019-09-03 11:00:00, 21.13,36
150.1, 21.1, 48.7, 40.82,2019-09-03 12:00:00, 23.18,36
161.3, 23.2, 40.8, 36.46,2019-09-03 13:00:00, 24.68,36
154.8, 24.7, 36.5, 33.52,2019-09-03 14:00:00, 25.65,36
159.9, 25.7, 33.5, 31.72,2019-09-03 15:00:00, 26.07,36
157.6, 26.1, 31.7, 29.23,2019-09-03 16:00:00, 26.77,36
158.0, 26.8, 29.2, 28.09,2019-09-03 17:00:00, 26.87,36
165.2, 26.9, 28.1, 31.92,2019-09-03 18:00:00, 25.97,36
160.3, 26.0, 31.9, 55.76,2019-09-03 19:00:00, 20.76,36
195.2, 20.8, 55.8, 70.82,2019-09-03 20:00:00, 16.97,36
213.2, 17.0, 70.8, 60.77,2019-09-03 21:00:00, 18.46,36
262.6, 18.5, 60.8, 59.77,2019-09-03 22:00:00, 18.8,36
332.3, 18.8, 59.8, 59.11,2019-09-03 23:00:00, 18.73,36
267.4, 18.7, 59.1, 68.11,2019-09-04 00:00:00, 16.83,36
227.5, 16.8, 68.1, 74.57,2019-09-04 01:00:00, 15.16,36
263.4, 15.2, 74.6, 80.3,2019-09-04 02:00:00, 14.16,36
176.2, 14.2, 80.3, 82.6,2019-09-04 03:00:00, 13.51,36
175.9, 13.5, 82.6, 84.2,2019-09-04 04:00:00, 12.32,36
159.2, 12.3, 84.2, 86.9,2019-09-04 05:00:00, 11.53,36
164.1, 11.5, 86.9, 86.6,2019-09-04 06:00:00, 11.63,36
168.2, 11.6, 86.6, 83.2,2019-09-04 07:00:00, 12.12,36
161.6, 12.1, 83.2, 78.84,2019-09-04 08:00:00, 13.19,36
168.4, 13.2, 78.8, 81.2,2019-09-04 09:00:00, 13.54,36
151.4, 13.5, 81.2, 75.94,2019-09-04 10:00:00, 14.48,36
154.4, 14.5, 75.9, 70.56,2019-09-04 11:00:00, 16.16,36
190.6, 16.2, 70.6, 70.75,2019-09-04 12:00:00, 16.6,36
233.3, 16.6, 70.8, 68.04,2019-09-04 13:00:00, 17.74,36
171.5, 17.7, 68.0, 55.52,2019-09-04 14:00:00, 19.07,36
209.2, 19.1, 55.5, 61.47,2019-09-04 15:00:00, 17.65,36
301.9, 17.7, 61.5, 78.45,2019-09-04 16:00:00, 16.17,36
246.5, 16.2, 78.5, 79.43,2019-09-04 17:00:00, 16.42,36
193.6, 16.4, 79.4, 71.41,2019-09-04 18:00:00, 16.88,36
259.0, 16.9, 71.4, 77.18,2019-09-04 19:00:00, 16.13,36
191.6, 16.1, 77.2, 85.7,2019-09-04 20:00:00, 14.42,36
153.4, 14.4, 85.7, 90.8,2019-09-04 21:00:00, 12.67,36
147.3, 12.7, 90.8, 94.8,2019-09-04 22:00:00, 11.3,36
188.6, 11.3, 94.8, 96.0,2019-09-04 23:00:00, 10.56,36
156.5, 10.6, 96.0, 96.6,2019-09-05 00:00:00, 9.84,36
179.6, 9.8, 96.6, 97.2,2019-09-05 01:00:00, 9.71,36
163.6, 9.7, 97.2, 97.5,2019-09-05 02:00:00, 9.09,36
171.8, 9.1, 97.5, 97.7,2019-09-05 03:00:00, 8.64,36
142.5, 8.6, 97.7, 98.0,2019-09-05 04:00:00, 8.87,36
132.8, 8.9, 98.0, 98.4,2019-09-05 05:00:00, 8.44,36
103.3, 8.4, 98.4, 98.6,2019-09-05 06:00:00, 8.29,36
90.4, 8.3, 98.6, 98.8,2019-09-05 07:00:00, 8.33,36
77.9, 8.3, 98.8, 99.1,2019-09-05 08:00:00, 8.63,36
21.8, 8.6, 99.1, 99.4,2019-09-05 09:00:00, 9.64,36
330.3, 9.6, 99.4, 99.5,2019-09-05 10:00:00, 11.23,36
318.8, 11.2, 99.5, 74.14,2019-09-05 11:00:00, 15.36,36
325.4, 15.4, 74.1, 61.92,2019-09-05 12:00:00, 17.87,36
317.7, 17.9, 61.9, 52.89,2019-09-05 13:00:00, 20.26,36
334.1, 20.3, 52.9, 43.49,2019-09-05 14:00:00, 21.97,36
34.3, 22.0, 43.5, 41.52,2019-09-05 15:00:00, 22.59,36
23.2, 22.6, 41.5, 39.94,2019-09-05 16:00:00, 22.91,36
18.0, 22.9, 39.9, 42.51,2019-09-05 17:00:00, 22.18,36
2.5, 22.2, 42.5, 46.0,2019-09-05 18:00:00, 20.54,36
10.7, 20.5, 46.0, 50.8,2019-09-05 19:00:00, 18.69,36
14.3, 18.7, 50.8, 67.45,2019-09-05 20:00:00, 15.85,36
356.9, 15.9, 67.5, 75.04,2019-09-05 21:00:00, 14.05,36
6.6, 14.1, 75.0, 84.2,2019-09-05 22:00:00, 12.74,36
347.2, 12.7, 84.2, 88.2,2019-09-05 23:00:00, 12.51,36
358.1, 12.5, 88.2, 89.2,2019-09-06 00:00:00, 12.27,36
191.4, 12.3, 89.2, 89.9,2019-09-06 01:00:00, 12.08,36
177.6, 12.1, 89.9, 92.1,2019-09-06 02:00:00, 11.49,36
11.6, 11.5, 92.1, 92.0,2019-09-06 03:00:00, 11.42,36
295.5, 11.4, 92.0, 94.2,2019-09-06 04:00:00, 10.91,36
294.2, 10.9, 94.2, 91.5,2019-09-06 05:00:00, 11.24,36
327.0, 11.2, 91.5, 87.1,2019-09-06 06:00:00, 11.86,36
309.7, 11.9, 87.1, 83.6,2019-09-06 07:00:00, 12.29,36
352.7, 12.3, 83.6, 77.95,2019-09-06 08:00:00, 13.29,36
352.7, 13.3, 78.0, 70.35,2019-09-06 09:00:00, 14.76,36
337.2, 14.8, 70.4, 64.5,2019-09-06 10:00:00, 16.33,36
322.8, 16.3, 64.5, 58.57,2019-09-06 11:00:00, 18.34,36
315.0, 18.3, 58.6, 53.08,2019-09-06 12:00:00, 20.4,36
