station_observations
wind_direction, rel_hum, avg_wnd_spd_10m_pst10mts, precipitation, dwpt_temp, wind_speed, air_temp, temperature, avg_wnd_dir_10m_pst10mts, rnfl_amt_pst1hr, rnfl_amt_pst24hrs, relative_humidity, time
60.0, 100.0, 1.6, 0.6, 3.5, 1.9, 3.5, 3.5, 341.0, 0.2, 9.8, 100.0, 2021-01-01 00:00:00
99.0, 100.0, 1.9, 0.4, 3.5, 1.6, 3.5, 3.3, 60.0, 0.6, 10.0, 100.0, 2021-01-01 01:00:00
321.0, 100.0, 1.6, 0.4, 3.3, 1.9, 3.3, 3.2, 99.0, 0.4, 9.8, 100.0, 2021-01-01 02:00:00
27.0, 100.0, 1.9, 0.2, 3.2, 2.5, 3.2, 3.2, 321.0, 0.4, 9.6, 100.0, 2021-01-01 03:00:00
3.0, 100.0, 2.5, 0.4, 3.2, 2.3, 3.2, 3.1, 27.0, 0.2, 9.8, 100.0, 2021-01-01 04:00:00
64.0, 100.0, 2.3, 0.8, 3.1, 1.8, 3.1, 3.1, 3.0, 0.4, 10.2, 100.0, 2021-01-01 05:00:00
350.0, 100.0, 1.8, 1.0, 3.1, 2.0, 3.1, 3.1, 64.0, 0.8, 10.8, 100.0, 2021-01-01 06:00:00
114.0, 100.0, 2.0, 0.4, 3.1, 1.6, 3.1, 3.1, 350.0, 1.0, 11.8, 100.0, 2021-01-01 07:00:00
46.0, 100.0, 1.6, 1.0, 3.1, 2.5, 3.1, 3.3, 114.0, 0.4, 12.2, 100.0, 2021-01-01 08:00:00
69.0, 100.0, 2.5, 0.2, 3.3, 3.0, 3.3, 3.6, 46.0, 1.0, 13.2, 100.0, 2021-01-01 09:00:00
104.0, 100.0, 3.0, 0.2, 3.6, 2.1, 3.6, 4.2, 69.0, 0.2, 13.2, 100.0, 2021-01-01 10:00:00
278.0, 100.0, 2.1, 0.0, 4.2, 3.1, 4.2, 4.8, 104.0, 0.2, 13.4, 100.0, 2021-01-01 11:00:00
80.0, 100.0, 3.1, 0.0, 4.8, 5.1, 4.8, 5.1, 278.0, 0.0, 13.2, 100.0, 2021-01-01 12:00:00
352.0, 100.0, 5.1, 0.0, 5.1, 4.3, 5.1, 5.4, 80.0, 0.0, 12.6, 100.0, 2021-01-01 13:00:00
359.0, 100.0, 4.3, 0.2, 5.4, 5.2, 5.4, 5.4, 352.0, 0.0, 12.4, 100.0, 2021-01-01 14:00:00
232.0, 100.0, 5.2, 2.4, 5.4, 4.0, 5.4, 5.2, 359.0, 0.2, 12.2, 100.0, 2021-01-01 15:00:00
333.0, 100.0, 4.0, 2.0, 5.2, 5.9, 5.2, 5.1, 232.0, 2.4, 13.8, 100.0, 2021-01-01 16:00:00
