CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,time,MINIMUM_AIR_TEMPERATURE,ACTUAL_WIND_SPEED,WIND_DIRECTION_STD_DEVIATION1,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,DEW_POINT,ATMOSPHERIC_PRESSURE,ACTUAL_WIND_DIRECTION,MAXIMUM_AIR_TEMPERATURE,PRECIPITATION_NEW,MAXIMUM_MEASURED_WIND_SPEED1,HEIGHT_OF_SNOW,week_of_year
None,10.91,26.11, None,2017-05-21 00:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,10.35,26.72, None,2017-05-21 01:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,10.83,24.98, None,2017-05-21 02:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,10.53,25.07, None,2017-05-21 03:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,10.05,25.37, None,2017-05-21 04:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,10.13,25.75, None,2017-05-21 05:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,9.79,26.15, None,2017-05-21 06:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,11.45,25.45, None,2017-05-21 07:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,13.69,23.24, None,2017-05-21 08:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None,21
None,15.01,22.1, None,2017-05-21 09:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,15.66,21.58, None,2017-05-21 10:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,16.84,19.9, None,2017-05-21 11:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,16.98,19.46, None,2017-05-21 12:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,18.28,18.38, None,2017-05-21 13:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,18.57,17.35, None,2017-05-21 14:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None,21
None,19.77,16.5, None,2017-05-21 15:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,18.83,16.54, None,2017-05-21 16:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None,21
None,19.39,16.56, None,2017-05-21 17:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None,21
None,19.89,16.71, None,2017-05-21 18:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,16.48,18.21, None,2017-05-21 19:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,16.65,17.8, None,2017-05-21 20:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,13.99,18.12, None,2017-05-21 21:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,13.24,17.73, None,2017-05-21 22:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.89,17.53, None,2017-05-21 23:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,13.75,17.08, None,2017-05-22 00:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,13.3,17.59, None,2017-05-22 01:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.86,17.85, None,2017-05-22 02:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.65,17.78, None,2017-05-22 03:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.52,17.82, None,2017-05-22 04:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.44,17.85, None,2017-05-22 05:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.85,17.85, None,2017-05-22 06:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,15.15,17.16, None,2017-05-22 07:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,17.03,16.72, None,2017-05-22 08:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,19.54,15.84, None,2017-05-22 09:00:00, None, None, None, None, None, -7.0, None, None, None, None, None, None,21
None,20.71,15.61, None,2017-05-22 10:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,21.09,15.56, None,2017-05-22 11:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,21.12,15.49, None,2017-05-22 12:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,21.97,15.3, None,2017-05-22 13:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,21.21,15.59, None,2017-05-22 14:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,22.47,15.21, None,2017-05-22 15:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None,21
None,23.47,14.91, None,2017-05-22 16:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None,21
None,23.56,14.88, None,2017-05-22 17:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None,21
None,22.94,15.07, None,2017-05-22 18:00:00, None, None, None, None, None, -5.0, None, None, None, None, None, None,21
None,20.49,15.8, None,2017-05-22 19:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
None,17.83,16.6, None,2017-05-22 20:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,15.59,17.27, None,2017-05-22 21:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,14.94,17.53, None,2017-05-22 22:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,15.15,17.65, None,2017-05-22 23:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,14.74,18.01, None,2017-05-23 00:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,15.19,17.21, None,2017-05-23 01:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,13.9,18.02, None,2017-05-23 02:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,13.11,18.26, None,2017-05-23 03:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,12.57,18.18, None,2017-05-23 04:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.28,18.51, None,2017-05-23 05:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,12.51,17.76, None,2017-05-23 06:00:00, None, None, None, None, None, -11.0, None, None, None, None, None, None,21
None,15.1,17.3, None,2017-05-23 07:00:00, None, None, None, None, None, -10.0, None, None, None, None, None, None,21
None,16.5,16.88, None,2017-05-23 08:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,16.79,17.03, None,2017-05-23 09:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,16.26,17.32, None,2017-05-23 10:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,16.41,16.84, None,2017-05-23 11:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,17.16,16.8, None,2017-05-23 12:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,16.87,16.76, None,2017-05-23 13:00:00, None, None, None, None, None, -8.0, None, None, None, None, None, None,21
None,16.02,17.14, None,2017-05-23 14:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,13.77,19.61, None,2017-05-23 15:00:00, None, None, None, None, None, -9.0, None, None, None, None, None, None,21
None,9.42,33.93, None,2017-05-23 16:00:00, None, None, None, None, None, -6.0, None, None, None, None, None, None,21
