WDIR_VECT,time,HUMIDITY,week_of_year
177.2,2022-02-03 18:00:00,64.6,5
172.7,2022-02-03 19:00:00,67.3,5
163.2,2022-02-03 20:00:00,70.1,5
119.3,2022-02-03 21:00:00,75.0,5
212.8,2022-02-03 22:00:00,74.7,5
199.3,2022-02-03 23:00:00,73.8,5
47.5,2022-02-04 00:00:00,76.0,5
38.5,2022-02-04 01:00:00,78.3,5
8.4,2022-02-04 02:00:00,77.9,5
209.3,2022-02-04 03:00:00,75.5,5
24.2,2022-02-04 04:00:00,76.6,5
203.5,2022-02-04 05:00:00,77.6,5
36.9,2022-02-04 06:00:00,79.0,5
0.7,2022-02-04 07:00:00,83.4,5
205.0,2022-02-04 08:00:00,90.1,5
122.1,2022-02-04 09:00:00,91.8,5
78.3,2022-02-04 10:00:00,91.9,5
203.6,2022-02-04 11:00:00,92.7,5
193.9,2022-02-04 12:00:00,92.5,5
204.4,2022-02-04 13:00:00,94.4,5
196.0,2022-02-04 14:00:00,93.0,5
186.4,2022-02-04 15:00:00,92.1,5
193.2,2022-02-04 16:00:00,90.3,5
207.8,2022-02-04 17:00:00,90.4,5
186.8,2022-02-04 18:00:00,91.5,5
184.3,2022-02-04 19:00:00,91.2,5
192.9,2022-02-04 20:00:00,90.8,5
187.7,2022-02-04 21:00:00,91.5,5
203.9,2022-02-04 22:00:00,92.1,5
182.7,2022-02-04 23:00:00,91.4,5
