time,tasmin,tasmax,pcp,week_of_year
2019-04-09,-3.4,3.0,1.3,15
2019-04-10,-3.2,3.0,4.0,15
2019-04-11,-6.7,6.8,0.0,15
2019-04-12,-2.3,6.7,0.0,15
2019-04-13,-2.2,2.9,17.3,15
2019-04-14,-3.4,4.2,1.6,15
2019-04-15,-6.3,3.2,0.2,15
