station_observations
pcpn_amt_pst24hrs, SWE, cum_pcpn_amt, ONE_DAY_SNOW, air_temp_2, air_temp_1, snw_dpth, MAX_TEMP, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, MIN_TEMP, time, SNOW_ON_THE_GROUND
None, None, None, None, None, None, 126.0, None, None, 855.0, 315.0, None, 2019-01-01 00:00:00, None
None, None, None, None, None, None, 126.0, None, None, 855.0, 316.0, None, 2019-01-01 01:00:00, None
None, None, None, None, None, None, 126.0, None, None, 855.0, 316.0, None, 2019-01-01 02:00:00, None
None, None, None, None, None, None, 126.0, None, None, 855.0, 316.0, None, 2019-01-01 03:00:00, None
None, None, None, None, None, None, 126.0, None, None, 855.0, 317.0, None, 2019-01-01 04:00:00, None
None, None, None, None, None, None, 125.0, None, None, 856.0, 317.0, None, 2019-01-01 05:00:00, None
None, None, None, None, None, None, 126.0, None, None, 856.0, 318.0, None, 2019-01-01 06:00:00, None
None, None, None, None, None, None, 126.0, None, None, 857.0, 318.0, None, 2019-01-01 07:00:00, None
None, None, None, None, None, None, 124.0, None, None, 857.0, 318.0, None, 2019-01-01 08:00:00, None
None, None, None, None, None, None, 126.0, None, None, 857.0, 318.0, None, 2019-01-01 09:00:00, None
None, None, None, None, None, None, 127.0, None, None, 858.0, 318.0, None, 2019-01-01 10:00:00, None
None, None, None, None, None, None, 128.0, None, None, 858.0, 318.0, None, 2019-01-01 11:00:00, None
None, None, None, None, None, None, 128.0, None, None, 859.0, 319.0, None, 2019-01-01 12:00:00, None
None, None, None, None, None, None, 129.0, None, None, 860.0, 320.0, None, 2019-01-01 13:00:00, None
None, None, None, None, None, None, 129.0, None, None, 860.0, 320.0, None, 2019-01-01 14:00:00, None
None, None, None, None, None, None, 129.0, None, None, 861.0, 321.0, None, 2019-01-01 15:00:00, None
None, 851.0, None, None, None, None, 129.0, None, None, 861.0, 321.0, None, 2019-01-01 16:00:00, None
None, None, None, None, None, None, 130.0, None, None, 861.0, 321.0, None, 2019-01-01 17:00:00, None
None, None, None, None, None, None, 129.0, None, None, 862.0, 322.0, None, 2019-01-01 18:00:00, None
None, None, None, None, None, None, 129.0, None, None, 862.0, 322.0, None, 2019-01-01 19:00:00, None
None, None, None, None, None, None, 129.0, None, None, 862.0, 323.0, None, 2019-01-01 20:00:00, None
None, None, None, None, None, None, 129.0, None, None, 862.0, 324.0, None, 2019-01-01 21:00:00, None
None, None, None, None, None, None, 128.0, None, None, 863.0, 324.0, None, 2019-01-01 22:00:00, None
None, None, None, None, None, None, 130.0, None, None, 863.0, 325.0, None, 2019-01-01 23:00:00, None
None, None, None, None, None, None, 130.0, None, None, 863.0, 326.0, None, 2019-01-02 00:00:00, None
None, None, None, None, None, None, 130.0, None, None, 863.0, 326.0, None, 2019-01-02 01:00:00, None
None, None, None, None, None, None, 130.0, None, None, 863.0, 326.0, None, 2019-01-02 02:00:00, None
None, None, None, None, None, None, 130.0, None, None, 863.0, 326.0, None, 2019-01-02 03:00:00, None
None, None, None, None, None, None, 129.0, None, None, 863.0, 327.0, None, 2019-01-02 04:00:00, None
None, None, None, None, None, None, 129.0, None, None, 863.0, 327.0, None, 2019-01-02 05:00:00, None
None, None, None, None, None, None, 129.0, None, None, 863.0, 327.0, None, 2019-01-02 06:00:00, None
None, None, None, None, None, None, 129.0, None, None, 863.0, 327.0, None, 2019-01-02 07:00:00, None
None, None, None, None, None, None, 128.0, None, None, 863.0, 328.0, None, 2019-01-02 08:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 328.0, None, 2019-01-02 09:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 328.0, None, 2019-01-02 10:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 328.0, None, 2019-01-02 11:00:00, None
None, None, None, None, None, None, 126.0, None, None, 863.0, 329.0, None, 2019-01-02 12:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 329.0, None, 2019-01-02 13:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 329.0, None, 2019-01-02 14:00:00, None
None, None, None, None, None, None, 127.0, None, None, 863.0, 329.0, None, 2019-01-02 15:00:00, None
None, 848.0, None, None, None, None, 127.0, None, None, 863.0, 329.0, None, 2019-01-02 16:00:00, None
None, None, None, None, None, None, 128.0, None, None, 863.0, 330.0, None, 2019-01-02 17:00:00, None
None, None, None, None, None, None, 129.0, None, None, 864.0, 330.0, None, 2019-01-02 18:00:00, None
None, None, None, None, None, None, 129.0, None, None, 864.0, 330.0, None, 2019-01-02 19:00:00, None
None, None, None, None, None, None, 129.0, None, None, 865.0, 331.0, None, 2019-01-02 20:00:00, None
None, None, None, None, None, None, 131.0, None, None, 866.0, 333.0, None, 2019-01-02 21:00:00, None
None, None, None, None, None, None, 133.0, None, None, 869.0, 336.0, None, 2019-01-02 22:00:00, None
None, None, None, None, None, None, 138.0, None, None, 872.0, 337.0, None, 2019-01-02 23:00:00, None
None, None, None, None, None, None, 138.0, None, None, 876.0, 340.0, None, 2019-01-03 00:00:00, None
None, None, None, None, None, None, 140.0, None, None, 878.0, 342.0, None, 2019-01-03 01:00:00, None
None, None, None, None, None, None, 140.0, None, None, 878.0, 342.0, None, 2019-01-03 02:00:00, None
None, None, None, None, None, None, 139.0, None, None, 878.0, 342.0, None, 2019-01-03 03:00:00, None
