station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
None, 399.0, 128.0, None, None, 2019-01-01 00:00:00, -10.5, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 01:00:00, -10.9, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 02:00:00, -10.9, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 03:00:00, -10.5, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 04:00:00, -11.1, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 05:00:00, -10.3, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 06:00:00, -9.5, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 07:00:00, -2.7, None, 48.0, None
None, 400.0, 128.0, None, None, 2019-01-01 08:00:00, -2.0, None, 48.0, None
None, 400.0, 128.0, None, None, 2019-01-01 09:00:00, -5.6, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 10:00:00, -7.6, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 11:00:00, -7.4, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 12:00:00, -7.2, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 13:00:00, -6.7, None, 48.0, None
None, 399.0, 128.0, None, None, 2019-01-01 14:00:00, -6.9, None, 48.0, None
None, 400.0, 128.0, None, None, 2019-01-01 15:00:00, -7.0, None, 48.0, None
None, 400.0, 129.0, 244.0, None, 2019-01-01 16:00:00, -6.8, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 17:00:00, -6.7, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 18:00:00, -6.3, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 19:00:00, -5.4, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 20:00:00, -4.3, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 21:00:00, -4.2, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 22:00:00, -3.7, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-01 23:00:00, -3.1, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-02 00:00:00, -3.1, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-02 01:00:00, -3.1, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-02 02:00:00, -3.0, None, 48.0, None
None, 400.0, 129.0, None, None, 2019-01-02 03:00:00, -2.6, None, 48.0, None
