station_observations
pcpn_amt_pst24hrs, ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, cum_pcpn_amt, MIN_TEMP, ONE_DAY_SNOW, time, air_temp_1, SNOW_ON_THE_GROUND, snw_dpth, MAX_TEMP
None, None, 0.0, 119.0, 472.0, None, None, 2019-12-10 10:00:00, None, None, 63.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-10 18:00:00, -2.1, None, 62.0, None
6.0, None, None, 120.0, 478.0, None, None, 2019-12-10 19:00:00, -2.4, None, 62.0, None
6.0, None, 0.0, 120.0, 478.0, None, None, 2019-12-10 20:00:00, -2.4, None, 62.0, None
6.0, None, 0.0, 120.0, 478.0, None, None, 2019-12-10 21:00:00, -2.4, None, 62.0, None
6.0, None, 0.0, 120.0, 478.0, None, None, 2019-12-10 22:00:00, -2.4, None, 62.0, None
7.0, None, 1.0, 120.0, 479.0, None, None, 2019-12-10 23:00:00, -2.8, None, 62.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 00:00:00, -3.0, None, 62.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 01:00:00, -2.9, None, 62.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 02:00:00, -3.2, None, 62.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 03:00:00, -3.2, None, 62.0, None
6.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 04:00:00, -3.3, None, 62.0, None
5.0, None, None, 120.0, 478.0, None, None, 2019-12-11 05:00:00, -3.7, None, 62.0, None
7.0, None, 1.0, 120.0, 479.0, None, None, 2019-12-11 06:00:00, -4.1, None, 62.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 07:00:00, -3.8, None, 61.0, None
8.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 08:00:00, -3.9, None, 61.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 09:00:00, -3.4, None, 61.0, None
8.0, None, 1.0, 120.0, 480.0, None, None, 2019-12-11 10:00:00, -2.6, None, 61.0, None
8.0, None, 0.0, 120.0, 480.0, None, None, 2019-12-11 11:00:00, -1.5, None, 61.0, None
7.0, None, None, 120.0, 479.0, None, None, 2019-12-11 12:00:00, -2.0, None, 61.0, None
7.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 13:00:00, -1.8, None, 61.0, None
None, None, None, 120.0, 478.0, None, None, 2019-12-11 14:00:00, -2.5, None, 60.0, None
0.0, None, 0.0, 120.0, 478.0, None, None, 2019-12-11 15:00:00, -3.3, None, 61.0, None
1.0, None, 1.0, 120.0, 479.0, None, None, 2019-12-11 16:00:00, -3.8, None, 61.0, None
0.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 17:00:00, -4.5, None, 61.0, None
1.0, None, 1.0, 120.0, 480.0, None, None, 2019-12-11 18:00:00, -3.9, None, 61.0, None
1.0, None, None, 120.0, 479.0, None, None, 2019-12-11 19:00:00, -3.7, None, 61.0, None
1.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 20:00:00, -3.5, None, 60.0, None
1.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 21:00:00, -3.4, None, 61.0, None
1.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 22:00:00, -3.6, None, 61.0, None
0.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-11 23:00:00, -3.5, None, 60.0, None
0.0, None, 0.0, 120.0, 479.0, None, None, 2019-12-12 00:00:00, -3.6, None, 60.0, None
1.0, None, 1.0, 120.0, 480.0, None, None, 2019-12-12 01:00:00, -3.6, None, 59.0, None
0.0, None, None, 120.0, 479.0, None, None, 2019-12-12 02:00:00, -3.7, None, 61.0, None
1.0, None, 1.0, 120.0, 480.0, None, None, 2019-12-12 03:00:00, -3.4, None, 60.0, None
1.0, None, 0.0, 120.0, 480.0, None, None, 2019-12-12 04:00:00, -3.3, None, 60.0, None
2.0, None, 0.0, 121.0, 480.0, None, None, 2019-12-12 05:00:00, -3.0, None, 61.0, None
1.0, None, 0.0, 121.0, 480.0, None, None, 2019-12-12 06:00:00, -3.1, None, 58.0, None
1.0, None, 0.0, 121.0, 480.0, None, None, 2019-12-12 07:00:00, -3.0, None, 61.0, None
1.0, None, 0.0, 121.0, 480.0, None, None, 2019-12-12 08:00:00, -2.9, None, 63.0, None
2.0, None, 1.0, 123.0, 481.0, None, None, 2019-12-12 09:00:00, -2.9, None, 64.0, None
2.0, None, 1.0, 124.0, 482.0, None, None, 2019-12-12 10:00:00, -2.3, None, 64.0, None
2.0, None, 0.0, 124.0, 482.0, None, None, 2019-12-12 11:00:00, -2.3, None, 64.0, None
3.0, None, 0.0, 125.0, 482.0, None, None, 2019-12-12 12:00:00, -2.2, None, 64.0, None
