station_observations
ONE_DAY_PRECIPITATION, pcpn_amt_pst1hr, snw_dpth_wtr_equiv, SWE, ONE_DAY_SNOW, time, air_temp_1, MIN_TEMP, snw_dpth, MAX_TEMP
None, 196.0, 110.0, None, None, 2017-01-01 00:00:00, -16.3, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 01:00:00, -16.4, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 02:00:00, -16.0, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 03:00:00, -16.2, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 04:00:00, -15.9, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 05:00:00, -15.9, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 06:00:00, -16.1, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 07:00:00, -15.6, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 08:00:00, -15.8, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 09:00:00, -16.2, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 10:00:00, -16.0, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 11:00:00, -16.2, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 12:00:00, -16.9, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 13:00:00, -17.0, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 14:00:00, -16.3, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 15:00:00, -15.9, None, 66.0, None
None, 196.0, 110.0, 296.0, None, 2017-01-01 16:00:00, -16.6, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 17:00:00, -17.0, None, 66.0, None
None, 196.0, 110.0, None, None, 2017-01-01 18:00:00, -16.1, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 19:00:00, -14.8, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 20:00:00, -14.6, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 21:00:00, -14.0, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 22:00:00, -13.7, None, 65.0, None
None, 196.0, 110.0, None, None, 2017-01-01 23:00:00, -14.2, None, 64.0, None
None, 196.0, 110.0, None, None, 2017-01-02 00:00:00, -14.8, None, 64.0, None
None, 196.0, 110.0, None, None, 2017-01-02 01:00:00, -15.3, None, 64.0, None
None, 196.0, 110.0, None, None, 2017-01-02 02:00:00, -15.2, None, 64.0, None
None, 196.0, 110.0, None, None, 2017-01-02 03:00:00, -14.3, None, 63.0, None
None, 196.0, 110.0, None, None, 2017-01-02 04:00:00, -14.0, None, 63.0, None
None, 196.0, 110.0, None, None, 2017-01-02 05:00:00, -13.6, None, 63.0, None
None, 196.0, 110.0, None, None, 2017-01-02 06:00:00, -13.2, None, 62.0, None
None, 196.0, 110.0, None, None, 2017-01-02 07:00:00, -12.8, None, 62.0, None
None, 196.0, 111.0, None, None, 2017-01-02 08:00:00, -12.8, None, 62.0, None
None, 196.0, 111.0, None, None, 2017-01-02 09:00:00, -12.3, None, 61.0, None
None, 196.0, 111.0, None, None, 2017-01-02 10:00:00, -12.1, None, 61.0, None
None, 196.0, 111.0, None, None, 2017-01-02 11:00:00, -11.9, None, 61.0, None
None, 196.0, 111.0, None, None, 2017-01-02 12:00:00, -11.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 13:00:00, -11.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 14:00:00, -11.5, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 15:00:00, -11.0, None, 60.0, None
None, 196.0, 111.0, 300.0, None, 2017-01-02 16:00:00, -10.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 17:00:00, -10.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 18:00:00, -11.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 19:00:00, -10.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 20:00:00, -9.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 21:00:00, -9.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 22:00:00, -8.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-02 23:00:00, -8.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 00:00:00, -8.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 01:00:00, -8.2, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 02:00:00, -7.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 03:00:00, -7.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 04:00:00, -7.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 05:00:00, -7.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 06:00:00, -8.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 07:00:00, -7.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 08:00:00, -8.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 09:00:00, -7.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 10:00:00, -7.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 11:00:00, -8.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 12:00:00, -8.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 13:00:00, -8.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 14:00:00, -8.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 15:00:00, -8.9, None, 60.0, None
None, 196.0, 111.0, 308.0, None, 2017-01-03 16:00:00, -10.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 17:00:00, -9.5, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 19:00:00, -8.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 20:00:00, -9.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 21:00:00, -7.5, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 22:00:00, -7.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-03 23:00:00, -8.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 00:00:00, -8.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 01:00:00, -9.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 02:00:00, -9.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 03:00:00, -9.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 04:00:00, -9.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 05:00:00, -9.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 06:00:00, -8.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 07:00:00, -8.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 08:00:00, -9.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 09:00:00, -9.6, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 10:00:00, -9.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 11:00:00, -9.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 12:00:00, -9.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 13:00:00, -10.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 14:00:00, -9.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 15:00:00, -9.7, None, 60.0, None
None, 196.0, 111.0, 292.0, None, 2017-01-04 16:00:00, -10.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 17:00:00, -10.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 18:00:00, -9.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 19:00:00, -7.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 20:00:00, -7.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 21:00:00, -7.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 22:00:00, -7.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-04 23:00:00, -8.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 00:00:00, -8.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 01:00:00, -8.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 02:00:00, -9.0, None, 60.0, None
None, 197.0, 111.0, None, None, 2017-01-05 03:00:00, -9.1, None, 60.0, None
None, 197.0, 111.0, None, None, 2017-01-05 04:00:00, -9.4, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 05:00:00, -9.8, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 06:00:00, -10.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 07:00:00, -10.7, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 08:00:00, -10.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 09:00:00, -10.9, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 10:00:00, -11.4, None, 60.0, None
None, 197.0, 111.0, None, None, 2017-01-05 11:00:00, -12.3, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 12:00:00, -11.7, None, 60.0, None
None, 197.0, 111.0, None, None, 2017-01-05 13:00:00, -12.5, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 14:00:00, -12.1, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 15:00:00, -12.3, None, 60.0, None
None, 196.0, 111.0, 289.0, None, 2017-01-05 16:00:00, -12.0, None, 60.0, None
None, 196.0, 111.0, None, None, 2017-01-05 17:00:00, -11.5, None, 60.0, None
None, 197.0, 112.0, None, None, 2017-01-05 18:00:00, -11.7, None, 60.0, None
None, 197.0, 112.0, None, None, 2017-01-05 19:00:00, -11.9, None, 60.0, None
