pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE2,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,STANDARD_SNOW,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,WIND_DIRECTION_STD_DEVIATION1,snwfl_amt_pst1hr,MEASURED_WIND_SPEED1,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,pcpn_amt_pst1hr,DEW_POINT,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,HEIGHT_OF_SNOW,week_of_year
None, None, 1.617, 99.9, None, None, None, 1.337, 0.0, 6.483, 80.7, 2.0, 1.6, 1.4, 0.1, 2.0, 4.9, 100.0, None,2022-05-28 00:00:00, 69.0, 69.12,22
None, None, 1.394, 99.9, None, None, None, 0.216, 0.0, 7.084, 78.57, 1.0, 1.4, 1.4, 0.1, 1.0, 4.9, 100.0, None,2022-05-28 01:00:00, 69.0, 69.24,22
None, None, 1.39, 98.5, None, None, None, 0.203, 0.0, 5.754, 78.23, 1.0, 1.4, 1.3, 0.0, 1.0, 4.9, 99.0, None,2022-05-28 02:00:00, 69.0, 69.15,22
None, None, 1.011, 98.9, None, None, None, 0.122, 0.0, 6.208, 77.74, 1.0, 1.0, 1.0, 0.1, 1.0, 4.9, 99.0, None,2022-05-28 03:00:00, 69.0, 69.09,22
None, None, 0.923, 99.9, None, None, None, 0.313, 0.0, 9.05, 78.18, 1.0, 0.9, 0.9, 0.0, 1.0, 4.9, 100.0, None,2022-05-28 04:00:00, 69.0, 69.07,22
None, None, 0.767, 100.0, None, None, None, 0.28, 0.0, 9.62, 79.19, 1.0, 0.8, 0.8, 0.0, 1.0, 4.9, 100.0, None,2022-05-28 05:00:00, 69.0, 68.95,22
None, None, 0.62, 99.9, None, None, None, 0.525, 0.0, 5.299, 80.6, 0.0, 0.6, 0.4, 0.1, 0.0, 4.9, 100.0, None,2022-05-28 06:00:00, 69.0, 69.11,22
None, None, 1.657, 97.7, None, None, None, 2.127, 0.0, 0.688, 77.97, 1.0, 1.7, 0.6, 0.0, 1.0, 1.7, 98.0, None,2022-05-28 07:00:00, 69.0, 69.09,22
None, None, 1.949, 95.6, None, None, None, 2.048, 0.0, 2.965, 69.89, 2.0, 1.9, 0.6, 0.0, 2.0, 2.2, 96.0, None,2022-05-28 08:00:00, 69.0, 68.95,22
None, None, 4.874, 68.8, None, None, None, 6.753, -1.0, 2.844, 58.89, 0.0, 4.9, 0.6, 0.1, 0.0, 5.6, 69.0, None,2022-05-28 09:00:00, 68.0, 68.31,22
None, None, 5.062, 69.16, None, None, None, 2.182, -2.0, 8.15, 40.47, 0.0, 5.1, 0.6, -0.1, 0.0, 6.4, 69.0, None,2022-05-28 10:00:00, 66.0, 66.44,22
None, None, 5.475, 66.1, None, None, None, 3.384, 0.0, 7.429, 49.84, 0.0, 5.5, 0.6, -0.1, 0.0, 6.4, 66.0, None,2022-05-28 11:00:00, 66.0, 66.23,22
None, None, 8.31, 52.49, None, None, None, 2.123, 0.0, 6.02, 54.09, -1.0, 8.3, 0.6, 0.0, -1.0, 8.3, 52.0, None,2022-05-28 12:00:00, 66.0, 66.03,22
None, None, 10.15, 44.88, None, None, None, 0.759, -1.0, 10.16, 51.09, -2.0, 10.2, 0.6, -0.1, -2.0, 10.0, 45.0, None,2022-05-28 13:00:00, 65.0, 64.91,22
None, None, 8.9, 44.99, None, None, None, 0.677, 0.0, 8.27, 52.99, -3.0, 8.9, 0.6, -0.2, -3.0, 10.2, 45.0, None,2022-05-28 14:00:00, 64.0, 64.45,22
None, None, 8.84, 56.09, None, None, None, 0.561, -1.0, 8.29, 53.55, 1.0, 8.8, 0.6, -0.2, 1.0, 10.2, 56.0, None,2022-05-28 15:00:00, 64.0, 63.66,22
None, None, 8.77, 50.81, None, None, None, 1.38, -1.0, 9.42, 57.89, 0.0, 8.8, 0.6, -0.1, 0.0, 10.2, 51.0, None,2022-05-28 16:00:00, 63.0, 62.61,22
None, None, 6.979, 64.36, None, None, None, 0.417, -1.0, 3.972, 59.59, 1.0, 7.0, 0.6, -0.1, 1.0, 10.2, 64.0, None,2022-05-28 17:00:00, 61.0, 61.43,22
None, None, 5.743, 73.21, None, None, None, 0.311, 1.0, 3.941, 61.07, 1.0, 5.7, 0.6, 0.0, 1.0, 10.2, 73.0, None,2022-05-28 18:00:00, 62.0, 61.84,22
None, None, 3.949, 90.1, None, None, None, 4.483, 1.0, 1.176, 68.35, 3.0, 3.9, 3.8, 0.1, 3.0, 6.2, 90.0, None,2022-05-28 19:00:00, 62.0, 62.27,22
None, None, 3.249, 93.6, None, None, None, 2.782, 0.0, 2.781, 82.3, 2.0, 3.2, 3.2, 0.2, 2.0, 6.2, 94.0, None,2022-05-28 20:00:00, 62.0, 62.24,22
None, None, 2.641, 95.8, None, None, None, 1.869, 0.0, 4.398, 89.5, 2.0, 2.6, 2.6, 0.3, 2.0, 6.2, 96.0, None,2022-05-28 21:00:00, 62.0, 62.14,22
None, None, 2.242, 98.1, None, None, None, 0.739, 0.0, 4.725, 94.5, 2.0, 2.2, 2.2, 0.3, 2.0, 6.2, 98.0, None,2022-05-28 22:00:00, 62.0, 62.09,22
None, None, 1.962, 99.9, None, None, None, 0.672, 0.0, 2.052, 93.4, 2.0, 2.0, 1.9, 0.1, 2.0, 6.2, 100.0, None,2022-05-28 23:00:00, 62.0, 62.17,22
None, None, 1.912, 99.9, None, None, None, 0.315, 0.0, 3.66, 92.3, 2.0, 1.9, 1.8, 0.1, 2.0, 6.2, 100.0, None,2022-05-29 00:00:00, 62.0, 62.25,22
None, None, 2.069, 100.0, None, None, None, 0.803, 0.0, 3.749, 90.1, 2.0, 2.1, 1.6, 0.2, 2.0, 6.2, 100.0, None,2022-05-29 01:00:00, 62.0, 62.08,22
None, None, 1.996, 100.0, None, None, None, 0.687, 0.0, 3.969, 87.1, 2.0, 2.0, 1.6, 0.1, 2.0, 6.2, 100.0, None,2022-05-29 02:00:00, 62.0, 62.1,22
None, None, 1.923, 99.9, None, None, None, 0.638, 0.0, 3.281, 84.7, 2.0, 1.9, 1.6, 0.0, 2.0, 6.2, 100.0, None,2022-05-29 03:00:00, 62.0, 62.07,22
None, None, 1.876, 100.0, None, None, None, 0.377, 0.0, 3.234, 83.4, 2.0, 1.9, 1.6, 0.1, 2.0, 6.2, 100.0, None,2022-05-29 04:00:00, 62.0, 61.85,22
None, None, 1.702, 99.9, None, None, None, 0.149, 0.0, 4.243, 82.9, 2.0, 1.7, 1.6, 0.3, 2.0, 6.2, 100.0, None,2022-05-29 05:00:00, 61.0, 61.42,22
None, None, None, None, None, None, None, None, 0.0, None, None, 2.0, 2.0, 1.6, 0.6, None, 6.2, 100.0, None,2022-05-29 06:00:00, 61.0, None,22
None, None, None, None, None, None, None, None, 0.0, None, None, 2.0, 2.4, 1.8, 0.2, None, 2.3, 100.0, None,2022-05-29 07:00:00, 61.0, None,22
None, None, 2.737, 99.9, None, None, None, 2.591, 0.0, 5.54, 75.11, 2.0, 2.7, 1.8, 0.2, 2.0, 2.9, 100.0, None,2022-05-29 08:00:00, 61.0, 61.32,22
None, None, 3.532, 98.2, None, None, None, 1.625, 0.0, 8.73, 67.96, 3.0, 3.5, 1.8, 0.5, 3.0, 4.1, 98.0, None,2022-05-29 09:00:00, 61.0, 61.4,22
None, None, 3.138, 97.8, None, None, None, 0.211, 0.0, 8.53, 66.1, 3.0, 3.1, 1.8, 0.0, 3.0, 4.1, 98.0, None,2022-05-29 10:00:00, 62.0, 61.52,22
None, None, 3.334, 98.0, None, None, None, 0.182, 0.0, 8.31, 65.35, 3.0, 3.3, 1.8, 0.2, 3.0, 4.1, 98.0, None,2022-05-29 11:00:00, 62.0, 61.52,22
None, None, 4.153, 96.1, None, None, None, 1.714, -1.0, 9.78, 62.53, 4.0, 4.2, 1.8, 0.2, 4.0, 4.2, 96.0, None,2022-05-29 12:00:00, 61.0, 60.96,22
None, None, 4.563, 94.6, None, None, None, 1.061, 0.0, 10.1, 55.67, 4.0, 4.6, 1.8, 0.1, 4.0, 4.5, 95.0, None,2022-05-29 13:00:00, 61.0, 61.04,22
None, None, 5.167, 92.0, None, None, None, 0.839, -1.0, 10.63, 52.63, 4.0, 5.2, 1.8, 0.0, 4.0, 5.2, 92.0, None,2022-05-29 14:00:00, 60.0, 60.34,22
None, None, 4.488, 93.9, None, None, None, 0.832, 0.0, 11.18, 51.42, 3.0, 4.5, 1.8, 0.2, 3.0, 5.2, 94.0, None,2022-05-29 15:00:00, 60.0, 60.17,22
None, None, 3.749, 96.5, None, None, None, 2.173, -1.0, 8.6, 56.22, 3.0, 3.7, 1.8, 0.1, 3.0, 5.2, 97.0, None,2022-05-29 16:00:00, 59.0, 59.34,22
3.9, None, 3.056, 97.8, None, None, None, 1.199, 1.0, 7.383, 62.64, 3.0, 3.1, 1.8, 0.5, 3.0, 5.2, 98.0, None,2022-05-29 17:00:00, 60.0, 59.66,22
4.4, None, 3.038, 100.0, None, None, None, 0.289, 1.0, 5.947, 65.05, 3.0, 3.0, 1.8, 0.5, 3.0, 5.2, 100.0, None,2022-05-29 18:00:00, 60.0, 60.19,22
5.1, None, 2.624, 100.0, None, None, None, 0.281, 0.0, 6.468, 65.7, 2.0, 2.6, 2.5, 0.7, 2.0, 3.1, 100.0, None,2022-05-29 19:00:00, 60.0, 60.06,22
5.6, None, 2.381, 99.9, None, None, None, 0.151, 0.0, 5.844, 66.64, 2.0, 2.4, 2.2, 0.7, 2.0, 3.1, 100.0, None,2022-05-29 20:00:00, 60.0, 59.73,22
6.0, None, 2.058, 99.8, None, None, None, 0.329, 0.0, 5.88, 67.55, 2.0, 2.1, 2.0, 0.7, 2.0, 3.1, 100.0, None,2022-05-29 21:00:00, 60.0, 59.58,22
6.1, None, 1.957, 100.0, None, None, None, 0.239, 0.0, 4.414, 68.61, 2.0, 2.0, 1.8, 0.4, 2.0, 3.1, 100.0, None,2022-05-29 22:00:00, 60.0, 59.52,22
