ONE_DAY_PRECIPITATION,ONE_DAY_RAIN,MIN_TEMP,ONE_DAY_SNOW,time,SNOW_ON_THE_GROUND,MAX_TEMP,week_of_year,wind_direction,rel_hum,avg_wnd_spd_10m_pst10mts,precipitation,dwpt_temp,wind_speed,air_temp,temperature,avg_wnd_dir_10m_pst10mts,rnfl_amt_pst1hr,rnfl_amt_pst24hrs,relative_humidity,snw_dpth
1.0,0.0,-17.0,1.0,2022-01-08,132.0,-6.0,2,,,,,,,,,,,,,
0.0,0.0,-11.0,0.0,2022-01-09,131.0,-4.0,2,,,,,,,,,,,,,
0.0,0.0,-8.5,0.0,2022-01-10,130.0,-2.0,2,,,,,,,,,,,,,
12.0,0.0,-7.0,12.0,2022-01-11,129.0,0.0,2,,,,,,,,,,,,,
0.0,0.0,-3.0,0.0,2022-01-12,140.0,1.0,2,,,,,,,,,,,,,
0.0,0.0,-3.0,0.0,2022-01-13,148.0,0.0,2,,,,,,,,,,,,,
0.0,0.0,-3.5,0.0,2022-01-14,141.0,-0.5,2,,,,,,,,,,,,,
1.0,0.0,-15.0,1.0,2022-01-08,60.0,-3.5,2,,,,,,,,,,,,,
0.0,0.0,-8.5,0.0,2022-01-09,60.0,-4.0,2,,,,,,,,,,,,,
0.0,0.0,-7.5,0.0,2022-01-10,57.0,-2.0,2,,,,,,,,,,,,,
6.0,0.0,-4.0,6.0,2022-01-11,56.0,1.5,2,,,,,,,,,,,,,
0.0,0.0,-0.5,0.0,2022-01-12,63.0,1.0,2,,,,,,,,,,,,,
0.0,0.0,-1.0,0.0,2022-01-13,59.0,1.5,2,,,,,,,,,,,,,
0.0,0.0,-0.5,0.0,2022-01-14,56.0,1.0,2,,,,,,,,,,,,,
3.0, 0.0, -19.0, 3.0,2022-01-08, 147.0, -7.0,2,,,,,,,,,,,,,
0.0, 0.0, -13.0, 0.0,2022-01-09, 152.0, -4.0,2,,,,,,,,,,,,,
0.0, 0.0, -8.0, 0.0,2022-01-10, 151.0, -3.0,2,,,,,,,,,,,,,
, None, -7.5, None,2022-01-11, 149.0, None,2,,,,,,,,,,,,,
0.0, 0.0, None, 0.0,2022-01-12, None, 0.5,2,,,,,,,,,,,,,
0.0, 0.0, -3.0, 0.0,2022-01-13, 164.0, -1.0,2,,,,,,,,,,,,,
