pcpn_amt_pst24hrs,CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,max_air_temp_snc_last_reset,rel_hum,dwpt_temp,air_temp,min_air_temp_snc_last_reset,mslp,pcpn_amt_pst1hr,DEW_POINT,ATMOSPHERIC_PRESSURE,snwfl_amt_pst1hr,time,snw_dpth,HEIGHT_OF_SNOW,stn_pres,week_of_year
None, -2.429, 93.3, 1.0, 93.0, -3.0, -2.4, -2.4, 1001.9, 0.0, -3.0, 906.0, 0.0,2022-03-12 00:00:00, 80.0, 80.3, 906.0,11
None, -1.752, 92.1, 1.0, 92.0, -3.0, -1.8, -2.6, 1001.7, 0.0, -3.0, 906.0, 0.0,2022-03-12 01:00:00, 81.0, 80.5, 906.0,11
None, -1.359, 92.2, 1.0, 92.0, -2.0, -1.4, -2.6, 1002.5, 0.0, -2.0, 907.0, 0.0,2022-03-12 02:00:00, 81.0, 80.6, 907.0,11
None, -1.505, 91.3, 1.0, 91.0, -3.0, -1.5, -2.6, 1002.5, 0.0, -3.0, 907.0, 0.0,2022-03-12 03:00:00, 81.0, 80.6, 907.0,11
1.0, -1.916, 91.5, 1.0, 92.0, -3.0, -1.9, -2.6, 1002.5, 0.0, -3.0, 907.0, 0.0,2022-03-12 04:00:00, 80.0, 80.4, 907.0,11
1.0, -3.127, 94.2, 1.0, 94.0, -4.0, -3.1, -3.1, 1003.8, 0.0, -4.0, 908.0, 0.0,2022-03-12 05:00:00, 80.0, 80.4, 908.0,11
1.0, -4.364, 96.3, 1.0, 96.0, -5.0, -4.4, -4.6, 1004.0, 0.0, -5.0, 908.0, 0.0,2022-03-12 06:00:00, 80.0, 80.3, 908.0,11
1.0, -3.286, 97.8, -3.3, 98.0, -4.0, -3.3, -4.7, 1004.0, 0.0, -4.0, 908.0, 1.0,2022-03-12 07:00:00, 81.0, 80.7, 908.0,11
0.0, -2.118, 93.3, -2.1, 93.0, -3.0, -2.1, -4.7, 1003.9, 0.0, -3.0, 908.0, 0.0,2022-03-12 08:00:00, 81.0, 80.7, 908.0,11
0.0, -1.146, 86.1, -1.1, 86.0, -3.0, -1.1, -4.7, 1004.9, 0.0, -3.0, 909.0, 0.0,2022-03-12 09:00:00, 81.0, 80.6, 909.0,11
0.0, 0.046, 81.3, 0.0, 81.0, -3.0, 0.0, -4.7, 1004.8, 0.0, -3.0, 909.0, 0.0,2022-03-12 10:00:00, 81.0, 80.6, 909.0,11
0.0, 1.274, 70.82, 1.3, 71.0, -3.0, 1.3, -4.7, 1004.7, 0.0, -3.0, 909.0, 0.0,2022-03-12 11:00:00, 80.0, 80.4, 909.0,11
0.0, 1.939, 66.07, 1.9, 66.0, -4.0, 1.9, -4.7, 1004.8, 0.0, -4.0, 909.0, 0.0,2022-03-12 12:00:00, 81.0, 80.5, 909.0,11
0.0, 3.03, 57.0, 3.1, 57.0, -5.0, 3.0, -4.7, 1004.6, 0.0, -5.0, 909.0, 0.0,2022-03-12 13:00:00, 81.0, 80.6, 909.0,11
0.0, 1.99, 61.41, 3.5, 61.0, -5.0, 2.0, -4.7, 1004.7, 0.0, -5.0, 909.0, 0.0,2022-03-12 14:00:00, 81.0, 80.5, 909.0,11
0.0, 0.22, 84.5, 3.5, 85.0, -2.0, 0.2, -4.7, 1004.9, 0.0, -2.0, 909.0, 0.0,2022-03-12 15:00:00, 80.0, 80.4, 909.0,11
0.0, 2.45, 63.18, 3.5, 63.0, -4.0, 2.5, -4.7, 1003.6, 0.0, -4.0, 908.0, 0.0,2022-03-12 16:00:00, 81.0, 80.6, 908.0,11
0.0, 1.639, 60.97, 3.5, 61.0, -5.0, 1.6, -4.7, 1003.8, 0.0, -5.0, 908.0, 0.0,2022-03-12 17:00:00, 81.0, 80.5, 908.0,11
0.0, 0.027, 68.58, 3.5, 69.0, -5.0, 0.0, -4.7, 1004.1, 0.0, -5.0, 908.0, 0.0,2022-03-12 18:00:00, 80.0, 80.1, 908.0,11
0.0, -1.635, 79.31, 0.1, 79.0, -4.0, -1.6, -1.6, 1004.1, 0.0, -4.0, 908.0, 0.0,2022-03-12 19:00:00, 80.0, 80.3, 908.0,11
0.0, -1.505, 75.1, 0.1, 75.0, -5.0, -1.5, -2.0, 1002.9, 0.0, -5.0, 907.0, 0.0,2022-03-12 20:00:00, 80.0, 80.4, 907.0,11
