TempC,time,RH,week_of_year
-30.549,2021-02-12 00:00:00,79.7,7
-31.117,2021-02-12 01:00:00,79.4,7
-31.551,2021-02-12 02:00:00,79.1,7
-31.845,2021-02-12 03:00:00,78.8,7
-32.219,2021-02-12 04:00:00,78.6,7
-32.521,2021-02-12 05:00:00,78.4,7
-32.751,2021-02-12 06:00:00,78.3,7
-32.828,2021-02-12 07:00:00,78.2,7
-32.143,2021-02-12 08:00:00,78.4,7
-29.587,2021-02-12 09:00:00,78.9,7
-25.786,2021-02-12 10:00:00,80.3,7
-18.563,2021-02-12 11:00:00,79.4,7
-17.727,2021-02-12 12:00:00,75.7,7
-17.04,2021-02-12 13:00:00,76.6,7
-15.996,2021-02-12 14:00:00,78.0,7
-15.709,2021-02-12 15:00:00,78.3,7
-17.082,2021-02-12 16:00:00,81.4,7
-19.423,2021-02-12 17:00:00,84.2,7
-21.816,2021-02-12 18:00:00,84.3,7
-23.409,2021-02-12 19:00:00,83.8,7
-24.876,2021-02-12 20:00:00,83.2,7
-25.844,2021-02-12 21:00:00,82.7,7
-26.729,2021-02-12 22:00:00,82.2,7
-27.398,2021-02-12 23:00:00,81.7,7
-27.896,2021-02-13 00:00:00,81.5,7
-27.833,2021-02-13 01:00:00,81.4,7
-27.896,2021-02-13 02:00:00,81.5,7
-28.469,2021-02-13 03:00:00,81.3,7
-28.662,2021-02-13 04:00:00,80.9,7
-28.923,2021-02-13 05:00:00,81.1,7
-28.276,2021-02-13 06:00:00,81.1,7
-28.086,2021-02-13 07:00:00,81.5,7
-28.086,2021-02-13 08:00:00,81.4,7
-25.786,2021-02-13 09:00:00,81.5,7
-21.617,2021-02-13 10:00:00,82.1,7
-14.786,2021-02-13 11:00:00,81.1,7
-13.926,2021-02-13 12:00:00,78.1,7
-13.352,2021-02-13 13:00:00,78.6,7
-12.013,2021-02-13 14:00:00,80.2,7
-12.086,2021-02-13 15:00:00,81.5,7
-13.201,2021-02-13 16:00:00,83.9,7
-15.425,2021-02-13 17:00:00,86.3,7
-18.076,2021-02-13 18:00:00,86.7,7
-19.423,2021-02-13 19:00:00,86.4,7
-20.595,2021-02-13 20:00:00,85.9,7
-22.016,2021-02-13 21:00:00,85.2,7
-22.833,2021-02-13 22:00:00,84.8,7
-23.568,2021-02-13 23:00:00,84.4,7
-21.866,2021-02-14 00:00:00,84.6,7
-20.12,2021-02-14 01:00:00,85.6,7
-18.252,2021-02-14 02:00:00,86.8,7
-17.253,2021-02-14 03:00:00,87.6,7
-16.119,2021-02-14 04:00:00,88.3,7
-15.709,2021-02-14 05:00:00,88.6,7
-14.314,2021-02-14 06:00:00,89.1,7
-13.965,2021-02-14 07:00:00,88.9,7
-13.696,2021-02-14 08:00:00,89.2,7
-11.794,2021-02-14 09:00:00,89.0,7
-10.092,2021-02-14 10:00:00,87.3,7
-8.033,2021-02-14 11:00:00,85.0,7
-6.073,2021-02-14 12:00:00,84.0,7
-4.926,2021-02-14 13:00:00,82.5,7
-4.53,2021-02-14 14:00:00,82.3,7
-4.712,2021-02-14 15:00:00,84.1,7
-4.712,2021-02-14 16:00:00,84.5,7
-5.791,2021-02-14 17:00:00,87.1,7
-7.348,2021-02-14 18:00:00,90.2,7
-8.132,2021-02-14 19:00:00,91.8,7
-9.168,2021-02-14 20:00:00,92.5,7
-9.508,2021-02-14 21:00:00,92.9,7
-9.337,2021-02-14 22:00:00,92.6,7
-9.954,2021-02-14 23:00:00,92.8,7
-10.127,2021-02-15 00:00:00,92.9,7
-9.202,2021-02-15 01:00:00,92.5,7
-9.1,2021-02-15 02:00:00,92.2,7
-9.033,2021-02-15 03:00:00,92.4,7
-9.269,2021-02-15 04:00:00,92.1,7
-9.576,2021-02-15 05:00:00,92.1,7
-9.713,2021-02-15 06:00:00,92.2,7
-9.235,2021-02-15 07:00:00,92.6,7
-9.337,2021-02-15 08:00:00,92.5,7
-8.099,2021-02-15 09:00:00,92.0,7
-6.898,2021-02-15 10:00:00,89.7,7
-5.823,2021-02-15 11:00:00,88.4,7
-5.172,2021-02-15 12:00:00,87.4,7
-4.439,2021-02-15 13:00:00,86.4,7
-4.408,2021-02-15 14:00:00,86.9,7
-4.499,2021-02-15 15:00:00,89.5,7
-4.773,2021-02-15 16:00:00,91.2,7
-5.418,2021-02-15 17:00:00,92.3,7
-5.636,2021-02-15 18:00:00,93.6,7
-6.105,2021-02-15 19:00:00,94.2,7
-6.706,2021-02-15 20:00:00,94.4,7
-6.325,2021-02-15 21:00:00,94.6,7
-6.042,2021-02-15 22:00:00,94.9,7
-5.854,2021-02-15 23:00:00,95.2,7
-5.76,2021-02-16 00:00:00,95.4,7
-5.698,2021-02-16 01:00:00,95.5,7
-5.729,2021-02-16 02:00:00,95.6,7
-5.729,2021-02-16 03:00:00,95.7,7
-5.667,2021-02-16 04:00:00,95.7,7
-5.791,2021-02-16 05:00:00,95.7,7
-5.76,2021-02-16 06:00:00,95.7,7
-5.636,2021-02-16 07:00:00,96.0,7
-5.295,2021-02-16 08:00:00,95.9,7
-4.926,2021-02-16 09:00:00,95.6,7
-4.682,2021-02-16 10:00:00,94.8,7
-3.717,2021-02-16 11:00:00,93.6,7
-2.976,2021-02-16 12:00:00,92.0,7
-2.421,2021-02-16 13:00:00,91.3,7
-2.363,2021-02-16 14:00:00,90.3,7
-2.334,2021-02-16 15:00:00,90.6,7
-3.271,2021-02-16 16:00:00,89.8,7
-4.016,2021-02-16 17:00:00,91.1,7
-4.53,2021-02-16 18:00:00,93.6,7
-5.295,2021-02-16 19:00:00,94.5,7
-5.729,2021-02-16 20:00:00,95.0,7
-6.042,2021-02-16 21:00:00,95.1,7
-6.388,2021-02-16 22:00:00,95.1,7
-6.61,2021-02-16 23:00:00,95.1,7
-6.898,2021-02-17 00:00:00,95.0,7
-6.866,2021-02-17 01:00:00,95.1,7
-7.026,2021-02-17 02:00:00,94.3,7
-7.51,2021-02-17 03:00:00,93.6,7
-10.266,2021-02-17 04:00:00,93.4,7
-12.9,2021-02-17 05:00:00,92.8,7
-14.51,2021-02-17 06:00:00,91.9,7
-12.938,2021-02-17 07:00:00,91.7,7
-10.827,2021-02-17 08:00:00,92.5,7
-8.898,2021-02-17 09:00:00,91.7,7
-6.866,2021-02-17 10:00:00,89.6,7
-3.926,2021-02-17 11:00:00,85.2,7
-4.167,2021-02-17 12:00:00,78.9,7
-3.807,2021-02-17 13:00:00,79.8,7
-2.771,2021-02-17 14:00:00,78.6,7
-2.859,2021-02-17 15:00:00,73.3,7
-4.318,2021-02-17 16:00:00,75.8,7
-6.77,2021-02-17 17:00:00,83.9,7
-9.202,2021-02-17 18:00:00,89.1,7
-10.827,2021-02-17 19:00:00,90.7,7
-11.686,2021-02-17 20:00:00,91.3,7
-9.989,2021-02-17 21:00:00,91.8,7
-9.954,2021-02-17 22:00:00,90.1,7
-10.792,2021-02-17 23:00:00,89.0,7
-11.613,2021-02-18 00:00:00,89.4,7
-10.934,2021-02-18 01:00:00,88.9,7
-11.397,2021-02-18 02:00:00,88.0,7
-11.976,2021-02-18 03:00:00,87.4,7
-11.613,2021-02-18 04:00:00,87.1,7
-11.758,2021-02-18 05:00:00,86.5,7
-12.788,2021-02-18 06:00:00,86.7,7
-12.049,2021-02-18 07:00:00,86.5,7
-11.831,2021-02-18 08:00:00,85.8,7
-9.851,2021-02-18 09:00:00,83.8,7
-6.77,2021-02-18 10:00:00,79.2,7
-5.172,2021-02-18 11:00:00,75.1,7
-5.172,2021-02-18 12:00:00,75.6,7
-3.926,2021-02-18 13:00:00,79.4,7
-3.33,2021-02-18 14:00:00,83.7,7
-2.479,2021-02-18 15:00:00,89.1,7
-2.276,2021-02-18 16:00:00,89.7,7
-2.771,2021-02-18 17:00:00,92.1,7
-3.006,2021-02-18 18:00:00,92.6,7
-3.094,2021-02-18 19:00:00,92.4,7
-3.212,2021-02-18 20:00:00,91.1,7
-3.36,2021-02-18 21:00:00,92.3,7
-3.212,2021-02-18 22:00:00,91.7,7
-3.479,2021-02-18 23:00:00,92.0,7
