CURRENT_AIR_TEMPERATURE1,RELATIVE_HUMIDITY1,PRECIPITATION_NEW,MINIMUM_AIR_TEMPERATURE,max_wnd_spd_10m_pst1hr,WIND_DIRECTION_STD_DEVIATION1,avg_wnd_spd_10m_pst10mts,MEASURED_WIND_DIRECTION1,dwpt_temp,air_temp,min_air_temp_snc_last_reset,DEW_POINT,pcpn_amt_pst1hr,avg_wnd_dir_10m_pst10mts,max_air_temp_snc_last_reset,rel_hum,MAXIMUM_AIR_TEMPERATURE,time,snw_dpth,snwfl_amt_pst1hr,stn_pres,week_of_year
18.22, None, None, None, None, None, None, None, None, 18.2, 17.8, None, 0.0, None, 22.6, None, None,2022-08-13 01:00:00, None, None, None,33
16.53, None, None, None, None, None, None, None, None, 16.5, 16.3, None, 0.0, None, 22.6, None, None,2022-08-13 02:00:00, None, None, None,33
15.46, None, None, None, None, None, None, None, None, 15.5, 13.8, None, 1.0, None, 22.6, None, None,2022-08-13 03:00:00, None, None, None,33
16.31, None, None, None, None, None, None, None, None, 16.3, 13.8, None, -0.1, None, 22.6, None, None,2022-08-13 04:00:00, None, None, None,33
15.24, None, None, None, None, None, None, None, None, 15.2, 13.8, None, -0.1, None, 22.6, None, None,2022-08-13 05:00:00, None, None, None,33
14.65, None, None, None, None, None, None, None, None, 14.7, 13.8, None, -1.0, None, 22.6, None, None,2022-08-13 06:00:00, None, None, None,33
14.47, None, None, None, None, None, None, None, None, 14.5, 14.3, None, 0.0, None, 14.8, None, None,2022-08-13 07:00:00, None, None, None,33
15.56, None, None, None, None, None, None, None, None, 15.6, 14.3, None, -0.1, None, 16.5, None, None,2022-08-13 08:00:00, None, None, None,33
16.49, None, None, None, None, None, None, None, None, 16.5, 14.3, None, -1.0, None, 17.4, None, None,2022-08-13 09:00:00, None, None, None,33
19.11, None, None, None, None, None, None, None, None, 19.1, 14.3, None, -0.1, None, 19.3, None, None,2022-08-13 10:00:00, None, None, None,33
23.49, None, None, None, None, None, None, None, None, 23.5, 14.3, None, -4.0, None, 23.5, None, None,2022-08-13 11:00:00, None, None, None,33
27.11, None, None, None, None, None, None, None, None, 27.1, 14.3, None, -10.0, None, 27.5, None, None,2022-08-13 12:00:00, None, None, None,33
22.78, None, None, None, None, None, None, None, None, 22.8, 14.3, None, -1.0, None, 28.8, None, None,2022-08-13 13:00:00, None, None, None,33
21.85, None, None, None, None, None, None, None, None, 21.9, 14.3, None, 12.0, None, 28.8, None, None,2022-08-13 14:00:00, None, None, None,33
22.95, None, None, None, None, None, None, None, None, 23.0, 14.3, None, 1.0, None, 28.8, None, None,2022-08-13 15:00:00, None, None, None,33
23.2, None, None, None, None, None, None, None, None, 23.2, 14.3, None, -3.0, None, 28.8, None, None,2022-08-13 16:00:00, None, None, None,33
24.97, None, None, None, None, None, None, None, None, 25.0, 14.3, None, -7.0, None, 28.8, None, None,2022-08-13 17:00:00, None, None, None,33
21.55, None, None, None, None, None, None, None, None, 21.6, 21.6, None, 6.0, None, 25.6, None, None,2022-08-13 19:00:00, None, None, None,33
19.82, None, None, None, None, None, None, None, None, 19.8, 19.8, None, 5.0, None, 25.6, None, None,2022-08-13 20:00:00, None, None, None,33
18.94, None, None, None, None, None, None, None, None, 18.9, 18.9, None, 2.0, None, 25.6, None, None,2022-08-13 21:00:00, None, None, None,33
18.08, None, None, None, None, None, None, None, None, 18.1, 18.1, None, 1.0, None, 25.6, None, None,2022-08-13 22:00:00, None, None, None,33
16.59, None, None, None, None, None, None, None, None, 16.6, 16.6, None, 0.1, None, 25.6, None, None,2022-08-13 23:00:00, None, None, None,33
16.05, None, None, None, None, None, None, None, None, 16.1, 16.0, None, 0.0, None, 25.6, None, None,2022-08-14 00:00:00, None, None, None,33
15.43, None, None, None, None, None, None, None, None, 15.4, 15.4, None, -0.1, None, 25.6, None, None,2022-08-14 01:00:00, None, None, None,33
15.76, None, None, None, None, None, None, None, None, 15.8, 15.2, None, -0.1, None, 25.6, None, None,2022-08-14 02:00:00, None, None, None,33
14.94, None, None, None, None, None, None, None, None, 14.9, 14.9, None, -0.1, None, 25.6, None, None,2022-08-14 03:00:00, None, None, None,33
14.7, None, None, None, None, None, None, None, None, 14.7, 14.7, None, -0.1, None, 25.6, None, None,2022-08-14 04:00:00, None, None, None,33
13.76, None, None, None, None, None, None, None, None, 13.8, 13.8, None, -0.1, None, 25.6, None, None,2022-08-14 05:00:00, None, None, None,33
13.23, None, None, None, None, None, None, None, None, 13.2, 13.2, None, -0.1, None, 25.6, None, None,2022-08-14 06:00:00, None, None, None,33
13.82, None, None, None, None, None, None, None, None, 13.8, 12.5, None, -0.1, None, 13.8, None, None,2022-08-14 08:00:00, None, None, None,33
15.08, None, None, None, None, None, None, None, None, 15.1, 12.5, None, -0.1, None, 15.1, None, None,2022-08-14 09:00:00, None, None, None,33
16.59, None, None, None, None, None, None, None, None, 16.6, 12.5, None, 0.1, None, 16.6, None, None,2022-08-14 10:00:00, None, None, None,33
21.44, None, None, None, None, None, None, None, None, 21.4, 12.5, None, -1.0, None, 21.4, None, None,2022-08-14 11:00:00, None, None, None,33
23.97, None, None, None, None, None, None, None, None, 24.0, 12.5, None, -4.0, None, 24.0, None, None,2022-08-14 12:00:00, None, None, None,33
26.31, None, None, None, None, None, None, None, None, 26.3, 12.5, None, -6.0, None, 27.4, None, None,2022-08-14 13:00:00, None, None, None,33
25.52, None, None, None, None, None, None, None, None, 25.5, 12.5, None, -0.1, None, 27.7, None, None,2022-08-14 14:00:00, None, None, None,33
22.48, None, None, None, None, None, None, None, None, 22.5, 12.5, None, 2.0, None, 27.7, None, None,2022-08-14 15:00:00, None, None, None,33
22.15, None, None, None, None, None, None, None, None, 22.2, 12.5, None, 4.0, None, 27.7, None, None,2022-08-14 16:00:00, None, None, None,33
26.43, None, None, None, None, None, None, None, None, 26.4, 12.5, None, 1.0, None, 27.7, None, None,2022-08-14 17:00:00, None, None, None,33
26.39, None, None, None, None, None, None, None, None, 26.4, 12.5, None, -7.0, None, 27.7, None, None,2022-08-14 18:00:00, None, None, None,33
20.58, None, None, None, None, None, None, None, None, 20.6, 20.6, None, 4.0, None, 26.4, None, None,2022-08-14 19:00:00, None, None, None,33
18.48, None, None, None, None, None, None, None, None, 18.5, 18.4, None, 6.0, None, 26.4, None, None,2022-08-14 20:00:00, None, None, None,33
17.74, None, None, None, None, None, None, None, None, 17.7, 17.7, None, 2.0, None, 26.4, None, None,2022-08-14 21:00:00, None, None, None,33
17.13, None, None, None, None, None, None, None, None, 17.1, 17.1, None, 0.1, None, 26.4, None, None,2022-08-14 22:00:00, None, None, None,33
16.78, None, None, None, None, None, None, None, None, 16.8, 16.8, None, 0.0, None, 26.4, None, None,2022-08-14 23:00:00, None, None, None,33
16.09, None, None, None, None, None, None, None, None, 16.1, 16.1, None, 0.0, None, 26.4, None, None,2022-08-15 00:00:00, None, None, None,33
15.47, None, None, None, None, None, None, None, None, 15.5, 15.5, None, 0.0, None, 26.4, None, None,2022-08-15 01:00:00, None, None, None,33
14.91, None, None, None, None, None, None, None, None, 14.9, 14.9, None, -0.1, None, 26.4, None, None,2022-08-15 02:00:00, None, None, None,33
14.64, None, None, None, None, None, None, None, None, 14.6, 14.5, None, -0.1, None, 26.4, None, None,2022-08-15 03:00:00, None, None, None,33
14.13, None, None, None, None, None, None, None, None, 14.1, 14.1, None, -0.1, None, 26.4, None, None,2022-08-15 04:00:00, None, None, None,33
13.43, None, None, None, None, None, None, None, None, 13.4, 13.4, None, -0.1, None, 26.4, None, None,2022-08-15 05:00:00, None, None, None,33
13.45, None, None, None, None, None, None, None, None, 13.5, 13.4, None, -1.0, None, 26.4, None, None,2022-08-15 06:00:00, None, None, None,33
13.73, None, None, None, None, None, None, None, None, 13.7, 13.3, None, -0.1, None, 13.7, None, None,2022-08-15 07:00:00, None, None, None,33
14.93, None, None, None, None, None, None, None, None, 14.9, 13.2, None, 0.0, None, 15.3, None, None,2022-08-15 09:00:00, None, None, None,33
17.23, None, None, None, None, None, None, None, None, 17.2, 13.2, None, 0.1, None, 17.2, None, None,2022-08-15 10:00:00, None, None, None,33
21.89, None, None, None, None, None, None, None, None, 21.9, 13.2, None, -4.0, None, 23.7, None, None,2022-08-15 12:00:00, None, None, None,33
27.33, None, None, None, None, None, None, None, None, 27.3, 13.2, None, -3.0, None, 28.2, None, None,2022-08-15 14:00:00, None, None, None,33
27.59, None, None, None, None, None, None, None, None, 27.6, 13.2, None, -3.0, None, 28.8, None, None,2022-08-15 15:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 29.6, 13.2, None, -2.0, None, None, None, None,2022-08-15 16:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 28.2, 13.2, None, 1.0, None, None, None, None,2022-08-15 17:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 27.1, 13.2, None, 4.0, None, None, None, None,2022-08-15 18:00:00, None, None, None,33
22.53, None, None, None, None, None, None, None, None, 22.5, 22.5, None, 5.0, None, 27.1, None, None,2022-08-15 19:00:00, None, None, None,33
20.91, None, None, None, None, None, None, None, None, 20.9, 20.9, None, 4.0, None, 27.1, None, None,2022-08-15 20:00:00, None, None, None,33
19.9, None, None, None, None, None, None, None, None, 19.9, 19.9, None, 2.0, None, 27.1, None, None,2022-08-15 21:00:00, None, None, None,33
19.97, None, None, None, None, None, None, None, None, 20.0, 19.7, None, 1.0, None, 27.1, None, None,2022-08-15 22:00:00, None, None, None,33
19.13, None, None, None, None, None, None, None, None, 19.1, 19.1, None, 0.1, None, 27.1, None, None,2022-08-15 23:00:00, None, None, None,33
18.48, None, None, None, None, None, None, None, None, 18.5, 18.4, None, 1.0, None, 27.1, None, None,2022-08-16 00:00:00, None, None, None,33
18.21, None, None, None, None, None, None, None, None, 18.2, 18.0, None, 0.0, None, 27.1, None, None,2022-08-16 01:00:00, None, None, None,33
17.95, None, None, None, None, None, None, None, None, 18.0, 17.9, None, 0.0, None, 27.1, None, None,2022-08-16 02:00:00, None, None, None,33
17.15, None, None, None, None, None, None, None, None, 17.2, 17.2, None, 0.0, None, 27.1, None, None,2022-08-16 03:00:00, None, None, None,33
16.59, None, None, None, None, None, None, None, None, 16.6, 16.4, None, 0.0, None, 27.1, None, None,2022-08-16 04:00:00, None, None, None,33
16.78, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-08-16 05:00:00, None, None, None,33
16.31, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-08-16 06:00:00, None, None, None,33
15.81, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-08-16 08:00:00, None, None, None,33
16.65, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,2022-08-16 09:00:00, None, None, None,33
18.52, None, None, None, None, None, None, None, None, 18.5, 14.4, None, -0.1, None, 18.5, None, None,2022-08-16 10:00:00, None, None, None,33
22.22, None, None, None, None, None, None, None, None, 22.2, 14.4, None, -2.0, None, 22.2, None, None,2022-08-16 11:00:00, None, None, None,33
24.16, None, None, None, None, None, None, None, None, 24.2, 14.4, None, -5.0, None, 25.7, None, None,2022-08-16 13:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 30.0, 14.4, None, -2.0, None, None, None, None,2022-08-16 14:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, None, 14.4, None, -4.0, None, None, None, None,2022-08-16 15:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 26.8, 14.4, None, 4.0, None, None, None, None,2022-08-16 16:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 27.2, 14.4, None, 4.0, None, None, None, None,2022-08-16 17:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 26.5, 14.4, None, -1.0, None, None, None, None,2022-08-16 18:00:00, None, None, None,33
22.06, None, None, None, None, None, None, None, None, 22.1, 22.0, None, 4.0, None, 26.6, None, None,2022-08-16 20:00:00, None, None, None,33
20.12, None, None, None, None, None, None, None, None, 20.1, 20.1, None, 1.0, None, 26.6, None, None,2022-08-16 22:00:00, None, None, None,33
18.96, None, None, None, None, None, None, None, None, 19.0, 19.0, None, 1.0, None, 26.6, None, None,2022-08-16 23:00:00, None, None, None,33
18.32, None, None, None, None, None, None, None, None, 18.3, 18.3, None, 0.1, None, 26.6, None, None,2022-08-17 00:00:00, None, None, None,33
17.32, None, None, None, None, None, None, None, None, 17.3, 17.2, None, 0.0, None, 26.6, None, None,2022-08-17 01:00:00, None, None, None,33
16.16, None, None, None, None, None, None, None, None, 16.2, 16.2, None, 0.0, None, 26.6, None, None,2022-08-17 02:00:00, None, None, None,33
16.34, None, None, None, None, None, None, None, None, 16.3, 15.7, None, -0.1, None, 26.6, None, None,2022-08-17 03:00:00, None, None, None,33
15.91, None, None, None, None, None, None, None, None, 15.9, 15.3, None, -0.1, None, 26.6, None, None,2022-08-17 04:00:00, None, None, None,33
15.26, None, None, None, None, None, None, None, None, 15.3, 14.6, None, -0.1, None, 26.6, None, None,2022-08-17 05:00:00, None, None, None,33
14.25, None, None, None, None, None, None, None, None, 14.3, 14.3, None, -0.1, None, 26.6, None, None,2022-08-17 06:00:00, None, None, None,33
14.39, None, None, None, None, None, None, None, None, 14.4, 14.3, None, -0.1, None, 14.5, None, None,2022-08-17 07:00:00, None, None, None,33
15.94, None, None, None, None, None, None, None, None, 15.9, 14.3, None, -0.1, None, 15.9, None, None,2022-08-17 08:00:00, None, None, None,33
16.35, None, None, None, None, None, None, None, None, 16.4, 14.3, None, -0.1, None, 17.9, None, None,2022-08-17 09:00:00, None, None, None,33
17.86, None, None, None, None, None, None, None, None, 17.9, 14.3, None, 0.1, None, 18.1, None, None,2022-08-17 10:00:00, None, None, None,33
25.36, None, None, None, None, None, None, None, None, 25.4, 14.3, None, -6.0, None, 25.6, None, None,2022-08-17 12:00:00, None, None, None,33
29.4, None, None, None, None, None, None, None, None, 29.4, 14.3, None, -6.0, None, 29.4, None, None,2022-08-17 13:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, None, 14.3, None, -1.0, None, None, None, None,2022-08-17 14:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, None, 14.3, None, -1.0, None, None, None, None,2022-08-17 15:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, None, 14.3, None, 0.1, None, None, None, None,2022-08-17 16:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 28.6, 14.3, None, 2.0, None, None, None, None,2022-08-17 18:00:00, None, None, None,33
None, None, None, None, None, None, None, None, None, 25.1, 25.1, None, 5.0, None, 28.7, None, None,2022-08-17 19:00:00, None, None, None,33
23.2, None, None, None, None, None, None, None, None, 23.2, 23.2, None, 4.0, None, 28.7, None, None,2022-08-17 20:00:00, None, None, None,33
22.16, None, None, None, None, None, None, None, None, 22.2, 22.2, None, 3.0, None, 28.7, None, None,2022-08-17 21:00:00, None, None, None,33
21.3, None, None, None, None, None, None, None, None, 21.3, 21.3, None, 1.0, None, 28.7, None, None,2022-08-17 22:00:00, None, None, None,33
20.5, None, None, None, None, None, None, None, None, 20.5, 20.5, None, 1.0, None, 28.7, None, None,2022-08-17 23:00:00, None, None, None,33
