station_observations
TempC, SolarRadiationWm, RH, Wetness, WindSpeedms, Pressurembar, Rainmm, GustSpeedms, time, WindDirection, DewPtC
-4.318, 0.6, 93.7, 66.47, 0.0, 919.45, 0.0, 1.51, 2019-01-01 00:00:00, 26.7, -5.2
-4.53, 0.6, 93.5, 65.29, 0.0, 919.45, 0.0, 0.5, 2019-01-01 01:00:00, 18.3, -5.4
-5.049, 0.6, 93.8, 64.12, 0.0, 918.95, 0.0, 0.0, 2019-01-01 02:00:00, 16.8, -5.9
-4.378, 0.6, 94.1, 70.59, 0.0, 918.75, 0.0, 0.0, 2019-01-01 03:00:00, 16.8, -5.2
-4.046, 0.6, 94.2, 69.41, 0.0, 918.45, 0.0, 0.0, 2019-01-01 04:00:00, 16.8, -4.8
-3.717, 0.6, 94.4, 75.88, 0.0, 917.95, 0.0, 0.0, 2019-01-01 05:00:00, 16.8, -4.5
-3.419, 0.6, 94.7, 79.41, 0.0, 917.85, 0.0, 0.5, 2019-01-01 06:00:00, 18.3, -4.2
-4.257, 0.6, 94.8, 73.53, 0.0, 917.35, 0.0, 0.5, 2019-01-01 07:00:00, 26.7, -5.0
-4.56, 0.6, 94.9, 77.65, 0.0, 917.55, 0.0, 0.76, 2019-01-01 08:00:00, 23.9, -5.3
-4.804, 9.4, 94.7, 91.18, 0.0, 917.65, 0.0, 0.76, 2019-01-01 09:00:00, 19.7, -5.5
-1.842, 34.4, 95.0, 100.0, 0.0, 917.75, 0.0, 0.5, 2019-01-01 10:00:00, 28.1, -2.5
-0.171, 39.4, 94.9, 100.0, 0.0, 917.15, 0.0, 1.01, 2019-01-01 11:00:00, 70.2, -0.9
0.66, 26.9, 92.7, 100.0, 0.0, 915.95, 0.0, 2.27, 2019-01-01 12:00:00, 133.4, -0.4
1.425, 86.9, 92.0, 100.0, 0.0, 914.95, 0.0, 1.01, 2019-01-01 13:00:00, 226.0, 0.3
1.697, 44.4, 91.2, 100.0, 0.0, 913.85, 0.2, 1.51, 2019-01-01 14:00:00, 158.6, 0.4
2.021, 24.4, 90.6, 12.94, 0.0, 913.35, 0.4, 1.76, 2019-01-01 15:00:00, 127.8, 0.6
1.751, 0.6, 91.5, 15.88, 0.0, 912.55, 0.0, 2.77, 2019-01-01 16:00:00, 123.5, 0.5
2.37, 0.6, 92.0, 21.76, 0.0, 911.85, 0.2, 2.52, 2019-01-01 17:00:00, 130.6, 1.2
2.69, 0.6, 90.3, 11.76, 0.5, 910.75, 0.2, 5.04, 2019-01-01 18:00:00, 167.1, 1.3
3.142, 0.6, 89.5, 11.18, 0.25, 909.95, 1.0, 3.27, 2019-01-01 19:00:00, 160.0, 1.6
2.744, 0.6, 88.9, 17.65, 0.25, 909.15, 0.6, 3.53, 2019-01-01 20:00:00, 151.6, 1.1
2.074, 0.6, 90.2, 57.65, 0.0, 908.05, 1.6, 2.52, 2019-01-01 21:00:00, 140.4, 0.6
2.45, 0.6, 90.1, 29.41, 0.5, 906.65, 1.4, 3.78, 2019-01-01 22:00:00, 154.4, 1.0
2.77, 0.6, 89.5, 16.47, 0.5, 905.45, 1.2, 4.53, 2019-01-01 23:00:00, 165.7, 1.2
2.877, 0.6, 88.6, 14.71, 0.0, 905.15, 1.2, 3.78, 2019-01-02 00:00:00, 183.9, 1.2
0.907, 0.6, 93.2, 100.0, 0.0, 905.25, 0.8, 0.5, 2019-01-02 01:00:00, 209.2, -0.1
0.577, 0.6, 94.8, 100.0, 0.0, 905.35, 0.2, 0.0, 2019-01-02 02:00:00, 78.6, -0.2
0.77, 0.6, 95.2, 95.88, 0.0, 905.05, 0.4, 0.0, 2019-01-02 03:00:00, 63.2, 0.1
1.48, 0.6, 94.7, 30.0, 0.0, 904.75, 0.6, 0.5, 2019-01-02 04:00:00, 8.4, 0.7
0.825, 0.6, 93.0, 94.12, 0.0, 904.55, 0.6, 0.25, 2019-01-02 05:00:00, 137.6, -0.2
2.128, 0.6, 93.7, 100.0, 0.0, 904.45, 0.4, 1.01, 2019-01-02 06:00:00, 0.0, 1.2
