station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, 0.271, 86.9, None, None, None, None, None, None, -2.0, 0.3, -2.2, None, -2.0, None, 0.2, 87.0, None, 2021-01-01 00:00:00, None, None, 56.03
None, None, 0.408, 84.4, None, None, None, None, 0.0, None, -2.0, 0.4, -2.2, 0.0, -2.0, None, 0.6, 84.0, None, 2021-01-01 01:00:00, 56.0, None, 55.82
None, None, 0.665, 84.4, None, None, None, None, 0.0, None, -2.0, 0.7, -2.2, 0.0, -2.0, None, 1.0, 84.0, None, 2021-01-01 02:00:00, 56.0, None, 55.87
None, None, 0.968, 83.4, None, None, None, None, 0.0, None, -2.0, 1.0, -2.2, 0.0, -2.0, None, 1.1, 83.0, None, 2021-01-01 03:00:00, 56.0, None, 55.77
None, None, 1.09, 85.2, None, None, None, None, 0.0, None, -1.0, 1.1, -2.2, 0.0, -1.0, None, 1.1, 85.0, None, 2021-01-01 04:00:00, 56.0, None, 56.0
None, None, 1.353, 84.6, None, None, None, None, None, None, -1.0, 1.4, -2.2, 0.0, -1.0, None, 2.0, 85.0, None, 2021-01-01 05:00:00, None, None, 56.02
None, None, 0.99, 89.4, None, None, None, None, 0.0, None, -1.0, 1.0, -2.2, 0.2, -1.0, None, 2.0, 89.0, None, 2021-01-01 06:00:00, 56.0, None, 56.02
None, None, 1.185, 91.4, None, None, None, None, 0.0, None, 0.0, 1.2, 0.9, 0.2, 0.0, None, 1.2, 91.0, None, 2021-01-01 07:00:00, 56.0, None, 55.84
None, None, 1.263, 91.8, None, None, None, None, 0.0, None, 0.0, 1.3, 0.9, 0.2, 0.0, None, 1.4, 92.0, None, 2021-01-01 08:00:00, 56.0, None, 55.93
None, None, 1.352, 92.5, None, None, None, None, None, None, 0.0, 1.4, 0.9, None, 0.0, None, 1.4, 93.0, None, 2021-01-01 09:00:00, None, None, 55.89
