station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
6.0, None, -0.172, 98.6, None, None, None, None, 0.0, None, None, 0.0, -0.2, -0.6, 0.0, 0.0, 0.4, 99.0, None, 2021-01-01 00:00:00, 142.0, 141.8
6.0, None, -0.291, 98.7, None, None, None, None, 0.0, None, None, -1.0, -0.3, -0.6, 0.0, -1.0, 0.4, 99.0, None, 2021-01-01 01:00:00, 142.0, 142.0
6.0, None, -0.402, 98.7, None, None, None, None, 1.0, None, None, -1.0, -0.4, -0.6, 0.0, -1.0, 0.4, 99.0, None, 2021-01-01 02:00:00, 142.0, 142.4
5.0, None, -0.53, 98.7, None, None, None, None, 0.0, None, None, -1.0, -0.5, -0.7, 0.0, -1.0, 0.4, 99.0, None, 2021-01-01 03:00:00, 142.0, 141.9
5.0, None, -0.685, 98.7, None, None, None, None, -1.0, None, None, -1.0, -0.7, -0.9, 0.0, -1.0, 0.4, 99.0, None, 2021-01-01 04:00:00, 141.0, 141.4
5.0, None, -0.768, 98.9, None, None, None, None, 0.0, None, None, -1.0, -0.8, -1.0, 0.0, -1.0, 0.4, 99.0, None, 2021-01-01 05:00:00, 142.0, 141.5
6.0, None, -0.441, 99.1, None, None, None, None, 1.0, None, None, -1.0, -0.4, -1.0, 1.0, -1.0, 0.4, 99.0, None, 2021-01-01 06:00:00, 142.0, 142.1
5.3, None, -0.609, 99.0, None, None, None, None, 1.0, None, None, -1.0, -0.6, -1.0, 0.3, -1.0, -0.5, 99.0, None, 2021-01-01 07:00:00, 142.0, 142.4
6.1, None, -0.681, 98.9, None, None, None, None, 1.0, None, None, -1.0, -0.7, -1.0, 0.8, -1.0, -0.5, 99.0, None, 2021-01-01 08:00:00, 143.0, 142.8
7.1, None, -0.371, 98.9, None, None, None, None, 2.0, None, None, -1.0, -0.4, -1.0, 1.0, -1.0, -0.3, 99.0, None, 2021-01-01 09:00:00, 145.0, 144.6
6.7, None, 0.286, 97.6, None, None, None, None, 0.0, None, None, 0.0, 0.3, -1.0, 0.6, 0.0, 0.5, 98.0, None, 2021-01-01 10:00:00, 145.0, 144.6
6.1, None, 0.566, 96.6, None, None, None, None, 0.0, None, None, 0.0, 0.6, -1.0, 0.4, 0.0, 0.8, 97.0, None, 2021-01-01 11:00:00, 144.0, 144.3
6.1, None, 0.468, 96.7, None, None, None, None, 0.0, None, None, 0.0, 0.5, -1.0, 0.0, 0.0, 0.8, 97.0, None, 2021-01-01 12:00:00, 144.0, 143.9
5.1, None, 0.464, 97.4, None, None, None, None, 0.0, None, None, 0.0, 0.5, -1.0, 0.0, 0.0, 0.8, 97.0, None, 2021-01-01 13:00:00, 144.0, 143.9
5.1, None, 0.281, 97.8, None, None, None, None, 0.0, None, None, 0.0, 0.3, -1.0, 0.0, 0.0, 0.8, 98.0, None, 2021-01-01 14:00:00, 144.0, 143.7
5.1, None, 0.226, 98.2, None, None, None, None, 0.0, None, None, 0.0, 0.2, -1.0, 0.0, 0.0, 0.8, 98.0, None, 2021-01-01 15:00:00, 143.0, 143.4
6.1, None, 0.148, 98.8, None, None, None, None, 0.0, None, None, 0.0, 0.1, -1.0, 1.0, 0.0, 0.8, 99.0, None, 2021-01-01 16:00:00, 143.0, 143.2
8.1, None, 0.112, 99.1, None, None, None, None, -1.0, None, None, 0.0, 0.1, -1.0, 2.0, 0.0, 0.8, 99.0, None, 2021-01-01 17:00:00, 143.0, 142.6
10.1, None, 0.022, 99.2, None, None, None, None, -1.0, None, None, 0.0, 0.0, -1.0, 2.0, 0.0, 0.8, 99.0, None, 2021-01-01 18:00:00, 142.0, 141.6
14.1, None, 0.294, 99.0, None, None, None, None, 1.0, None, None, 0.0, 0.3, 0.0, 4.0, 0.0, 0.7, 99.0, None, 2021-01-01 19:00:00, 142.0, 142.3
18.1, None, 0.071, 97.8, None, None, None, None, 2.0, None, None, 0.0, 0.1, 0.0, 4.0, 0.0, 0.7, 98.0, None, 2021-01-01 20:00:00, 144.0, 144.1
19.1, None, 0.441, 96.9, None, None, None, None, 1.0, None, None, 0.0, 0.4, -0.1, 1.0, 0.0, 0.7, 97.0, None, 2021-01-01 21:00:00, 145.0, 144.7
18.8, None, 0.489, 94.8, None, None, None, None, 1.0, None, None, 0.0, 0.5, -0.1, 0.7, 0.0, 1.0, 95.0, None, 2021-01-01 22:00:00, 145.0, 145.0
18.8, None, 0.755, 93.0, None, None, None, None, 0.0, None, None, -1.0, 0.8, -0.1, 0.1, -1.0, 1.7, 93.0, None, 2021-01-01 23:00:00, 145.0, 144.8
