station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, MEASURED_WIND_SPEED1, PRECIP_DETECTOR_RATIO, MEASURED_WIND_DIRECTION1, dwpt_temp, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, MAXIMUM_MEASURED_WIND_SPEED1
0.2, 0.631, 90.2, None, None, None, None, None, None, None, -1.0, 0.6, 0.0, 0.0, None, 1.2, None, 90.0, None, 2021-01-01 00:00:00, None
0.0, 1.009, 88.5, None, None, None, None, None, None, None, -1.0, 1.0, 0.0, 0.0, None, 1.4, None, 89.0, None, 2021-01-01 01:00:00, None
0.0, 1.043, 89.7, None, None, None, None, None, None, None, 0.0, 1.0, 0.0, 0.0, None, 1.4, None, 90.0, None, 2021-01-01 02:00:00, None
0.0, -0.228, 92.1, None, None, None, None, None, None, None, -1.0, -0.2, -0.2, 0.0, None, 1.4, None, 92.0, None, 2021-01-01 03:00:00, None
0.0, -0.54, 93.8, None, None, None, None, None, None, None, -1.0, -0.5, -0.7, 0.0, None, 1.4, None, 94.0, None, 2021-01-01 04:00:00, None
0.0, -0.322, 93.8, None, None, None, None, None, None, None, -1.0, -0.3, -0.7, 0.0, None, 1.4, None, 94.0, None, 2021-01-01 05:00:00, None
0.0, -0.219, 93.6, None, None, None, None, None, None, None, -1.0, -0.2, -0.7, 0.0, None, 1.4, None, 94.0, None, 2021-01-01 06:00:00, None
0.0, 0.09, 94.0, None, None, None, None, None, None, None, -1.0, 0.1, -0.2, 0.0, None, 0.6, None, 94.0, None, 2021-01-01 07:00:00, None
0.0, 0.677, 94.4, None, None, None, None, None, None, None, 0.0, 0.7, -0.2, 0.0, None, 0.9, None, 94.0, None, 2021-01-01 08:00:00, None
0.0, 1.102, 94.8, None, None, None, None, None, None, None, 0.0, 1.1, -0.2, 0.0, None, 1.1, None, 95.0, None, 2021-01-01 09:00:00, None
