station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, avg_wnd_spd_10m_pst10mts, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, avg_wnd_dir_10m_pst10mts, snwfl_amt_pst1hr, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
None, 4.455, 68.06, 4.5, 68.0, None, None, -1.0, 4.5, 2.3, -1.0, 0.1, None, 0.0, 2021-01-01 00:00:00, -1.0, -0.652, None
None, 5.096, 65.6, 5.1, 66.0, None, None, -1.0, 5.1, 2.3, -1.0, 0.0, None, 0.0, 2021-01-01 01:00:00, -1.0, -0.594, None
None, 4.161, 72.46, 5.1, 72.0, None, None, 0.0, 4.2, 2.3, 0.0, 0.1, None, 0.0, 2021-01-01 02:00:00, -1.0, -0.598, None
None, 3.229, 83.5, 5.1, 84.0, None, None, 1.0, 3.2, 2.3, 1.0, 0.3, None, 0.0, 2021-01-01 03:00:00, -1.0, -0.621, None
None, 2.624, 90.5, 5.1, 91.0, None, None, 1.0, 2.6, 2.3, 1.0, 1.3, None, 0.0, 2021-01-01 04:00:00, -1.0, -0.584, None
None, 2.548, 92.1, 5.1, 92.0, None, None, 1.0, 2.5, 2.3, 1.0, 1.2, None, 0.0, 2021-01-01 05:00:00, 0.0, -0.454, None
None, 2.55, 93.3, 5.1, 93.0, None, None, 2.0, 2.6, 2.3, 2.0, 1.7, None, 0.0, 2021-01-01 06:00:00, 0.0, -0.261, None
None, 2.791, 93.9, 2.9, 94.0, None, None, 2.0, 2.8, 2.4, 2.0, 1.3, None, 0.0, 2021-01-01 07:00:00, 0.0, -0.333, None
None, 2.422, 94.2, 2.9, 94.0, None, None, 2.0, 2.4, 2.4, 2.0, 0.7, None, 0.0, 2021-01-01 08:00:00, -1.0, -0.631, None
None, 2.76, 94.0, 2.9, 94.0, None, None, 2.0, 2.8, 2.4, 2.0, 0.7, None, 0.0, 2021-01-01 09:00:00, -1.0, -0.515, None
None, 2.94, 93.8, 3.0, 94.0, None, None, 2.0, 2.9, 2.4, 2.0, 0.4, None, 0.0, 2021-01-01 10:00:00, -1.0, -0.545, None
None, 2.797, 94.2, 3.0, 94.0, None, None, 2.0, 2.8, 2.4, 2.0, 0.4, None, 0.0, 2021-01-01 11:00:00, -1.0, -0.593, None
None, 2.931, 94.5, 3.0, 95.0, None, None, 2.0, 2.9, 2.4, 2.0, 0.2, None, 0.0, 2021-01-01 12:00:00, -1.0, -0.53, None
None, 3.206, 94.0, 3.3, 94.0, None, None, 2.0, 3.2, 2.4, 2.0, 0.3, None, 0.0, 2021-01-01 13:00:00, -1.0, -0.562, None
None, 3.367, 94.3, 3.4, 94.0, None, None, 3.0, 3.4, 2.4, 3.0, 1.3, None, 0.0, 2021-01-01 14:00:00, -1.0, -0.529, None
None, 3.263, 94.4, 3.6, 94.0, None, None, 2.0, 3.3, 2.4, 2.0, 1.2, None, 0.0, 2021-01-01 15:00:00, -1.0, -0.519, None
None, 3.716, 94.6, 3.9, 95.0, None, None, 3.0, 3.7, 2.4, 3.0, 1.7, None, 0.0, 2021-01-01 16:00:00, 0.0, -0.407, None
None, 4.087, 95.1, 4.2, 95.0, None, None, 3.0, 4.1, 2.4, 3.0, 0.6, None, 0.0, 2021-01-01 17:00:00, -1.0, -0.589, None
None, 4.238, 95.0, 4.3, 95.0, None, None, 4.0, 4.2, 2.4, 4.0, 0.2, None, 0.0, 2021-01-01 18:00:00, -1.0, -0.636, None
None, 4.14, 95.1, 4.3, 95.0, None, None, 3.0, 4.1, 3.7, 3.0, 0.4, None, 0.0, 2021-01-01 19:00:00, -1.0, -0.521, None
None, 4.073, 95.1, 4.3, 95.0, None, None, 3.0, 4.1, 3.7, 3.0, 1.6, None, 0.0, 2021-01-01 20:00:00, 0.0, -0.404, None
None, 3.875, 94.5, 4.3, 95.0, None, None, 3.0, 3.9, 3.7, 3.0, 1.6, None, 0.0, 2021-01-01 21:00:00, 0.0, -0.491, None
None, 3.603, 94.8, 4.3, 95.0, None, None, 3.0, 3.6, 3.6, 3.0, 1.8, None, 0.0, 2021-01-01 22:00:00, 0.0, -0.365, None
22.6, 4.714, 95.1, 4.9, 95.0, None, None, 4.0, 4.7, 3.6, 4.0, 3.7, None, 0.0, 2021-01-01 23:00:00, 0.0, -0.2, None
25.3, 4.052, 95.1, 4.9, 95.0, None, None, 3.0, 4.1, 3.6, 3.0, 2.7, None, 0.0, 2021-01-02 00:00:00, 0.0, -0.356, None
26.6, 4.185, 95.0, 4.9, 95.0, None, None, 3.0, 4.2, 3.6, 3.0, 1.3, None, 0.0, 2021-01-02 01:00:00, -1.0, -0.619, None
28.1, 3.854, 95.2, 4.9, 95.0, None, None, 3.0, 3.9, 3.6, 3.0, 1.5, None, 0.0, 2021-01-02 02:00:00, -1.0, -0.545, None
28.4, 3.811, 95.1, 4.9, 95.0, None, None, 3.0, 3.8, 3.6, 3.0, 0.6, None, 0.0, 2021-01-02 03:00:00, -1.0, -0.595, None
28.1, 4.307, 95.2, 4.9, 95.0, None, None, 4.0, 4.3, 3.6, 4.0, 1.0, None, 0.0, 2021-01-02 04:00:00, 0.0, -0.478, None
28.8, 4.193, 94.3, 4.9, 94.0, None, None, 3.0, 4.2, 3.6, 3.0, 1.9, None, 0.0, 2021-01-02 05:00:00, -1.0, -0.523, None
28.7, 4.106, 94.4, 4.9, 94.0, None, None, 3.0, 4.1, 3.6, 3.0, 1.6, None, 0.0, 2021-01-02 06:00:00, -1.0, -0.594, None
28.7, 3.556, 94.5, 4.1, 95.0, None, None, 3.0, 3.6, 3.6, 3.0, 1.3, None, 0.0, 2021-01-02 07:00:00, -1.0, -0.591, None
29.1, 3.5, 95.0, 4.1, 95.0, None, None, 3.0, 3.5, 3.5, 3.0, 1.1, None, 0.0, 2021-01-02 08:00:00, -1.0, -0.563, None
29.9, 3.75, 95.0, 4.1, 95.0, None, None, 3.0, 3.8, 3.5, 3.0, 1.5, None, 0.0, 2021-01-02 09:00:00, -1.0, -0.518, None
33.0, 3.864, 95.3, 4.1, 95.0, None, None, 3.0, 3.9, 3.5, 3.0, 3.5, None, 1.0, 2021-01-02 10:00:00, 0.0, -0.254, None
