station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, stn_pres
None, None, None, 12.8, 6.272, 29.82, -52.0, -4.5, None, None, 30.0, None, None, -6999.0, None, None, 3.0, None, -4.25, None, -4.1, -6999.0, None, 24.9, 6.3, -4.3, 0.1, -6999.0, 2021-01-01 00:00:00, -6999.0
None, None, None, 12.8, 6.275, 28.1, -52.0, -4.5, None, None, 28.0, None, None, -6999.0, None, None, 2.1, None, -4.134, None, -4.1, -6999.0, None, 24.95, 6.3, -4.1, 0.0, -6999.0, 2021-01-01 01:00:00, -6999.0
None, None, None, 13.9, 7.67, 33.04, -52.0, -4.5, None, None, 33.0, None, None, -6999.0, None, None, 1.8, None, -3.998, None, -4.0, -6999.0, None, 27.73, 7.7, -4.0, 0.2, -6999.0, 2021-01-01 02:00:00, -6999.0
None, None, None, 14.7, 7.27, 34.59, -52.0, -4.5, None, None, 35.0, None, None, -6999.0, None, None, 1.4, None, -3.893, None, -3.9, -6999.0, None, 28.49, 7.3, -3.9, 0.0, -6999.0, 2021-01-01 03:00:00, -6999.0
None, None, None, 14.4, 7.46, 39.26, -52.0, -4.5, None, None, 39.0, None, None, -6999.0, None, None, 1.4, None, -3.756, None, -3.8, -6999.0, None, 30.68, 7.5, -3.8, 0.0, -6999.0, 2021-01-01 04:00:00, -6999.0
None, None, None, 13.6, 6.621, 61.63, -52.0, -4.5, None, None, 62.0, None, None, -6999.0, None, None, 1.1, None, -3.639, None, -3.6, -6999.0, None, 31.92, 6.6, -3.6, 0.1, -6999.0, 2021-01-01 05:00:00, -6999.0
None, None, None, 14.1, 6.741, 53.5, -52.0, -4.5, None, None, 54.0, None, None, -6999.0, None, None, 0.7, None, -3.552, None, -3.6, -6999.0, None, 32.42, 6.7, -3.6, 0.1, -6999.0, 2021-01-01 06:00:00, -6999.0
None, None, None, 14.6, 7.43, 38.71, -52.0, -3.6, None, None, 39.0, None, None, -6999.0, None, None, 0.8, None, -3.514, None, -3.5, -6999.0, None, 30.49, 7.4, -3.5, 0.4, -6999.0, 2021-01-01 07:00:00, -6999.0
None, None, None, 14.7, 7.43, 50.87, -52.0, -3.6, None, None, 51.0, None, None, -6999.0, None, None, 1.6, None, -3.436, None, -3.4, -6999.0, None, 31.0, 7.4, -3.4, 0.8, -6999.0, 2021-01-01 08:00:00, -6999.0
None, None, None, 13.6, 6.17, 60.6, -52.0, -3.6, None, None, 61.0, None, None, -6999.0, None, None, 3.2, None, -3.388, None, -3.4, -6999.0, None, 29.39, 6.2, -3.4, 1.6, -6999.0, 2021-01-01 09:00:00, -6999.0
None, None, None, 13.5, 6.881, 74.0, -51.0, -3.6, None, None, 74.0, None, None, -6999.0, None, None, 4.7, None, -3.185, None, -3.2, -6999.0, None, 26.25, 6.9, -3.2, 1.5, -6999.0, 2021-01-01 10:00:00, -6999.0
None, None, None, 15.2, 7.18, 65.64, -51.0, -3.6, None, None, 66.0, None, None, -6999.0, None, None, 4.9, None, -3.107, None, -3.1, -6999.0, None, 28.73, 7.2, -3.1, 0.2, -6999.0, 2021-01-01 11:00:00, -6999.0
None, None, None, 15.3, 7.62, 56.26, -51.0, -3.6, None, None, 56.0, None, None, -6999.0, None, None, 5.3, None, -3.011, None, -3.0, -6999.0, None, 31.9, 7.6, -3.0, 0.4, -6999.0, 2021-01-01 12:00:00, -6999.0
None, None, None, 16.2, 8.07, 62.75, -51.0, -3.6, None, None, 63.0, None, None, -6999.0, None, None, 5.5, None, -2.894, None, -2.9, -6999.0, None, 31.28, 8.1, -2.9, 0.2, -6999.0, 2021-01-01 13:00:00, -6999.0
None, None, None, 17.9, 9.25, 53.99, -51.0, -3.6, None, None, 54.0, None, None, -6999.0, None, None, 5.5, None, -2.77, None, -2.7, -6999.0, None, 29.69, 9.3, -2.8, 0.0, -6999.0, 2021-01-01 14:00:00, -6999.0
None, None, None, 21.1, 10.39, 47.1, -51.0, -3.6, None, None, 47.0, None, None, -6999.0, None, None, 5.5, None, -2.672, None, -2.7, -6999.0, None, 31.87, 10.4, -2.7, 0.1, -6999.0, 2021-01-01 15:00:00, -6999.0
None, None, None, 20.3, 11.98, 48.03, -51.0, -3.6, None, None, 48.0, None, None, -6999.0, None, None, 5.5, None, -2.779, None, -2.6, -6999.0, None, 31.86, 12.0, -2.8, 0.0, -6999.0, 2021-01-01 16:00:00, -6999.0
None, None, None, 20.3, 9.91, 52.82, -51.0, -3.6, None, None, 53.0, None, None, -6999.0, None, None, 5.5, None, -2.769, None, -2.6, -6999.0, None, 33.08, 9.9, -2.8, 0.1, -6999.0, 2021-01-01 17:00:00, -6999.0
None, None, None, 18.1, 8.19, 67.49, -51.0, -3.6, None, None, 67.0, None, None, -6999.0, None, None, 5.7, None, -2.489, None, -2.5, -6999.0, None, 33.15, 8.2, -2.5, 0.2, -6999.0, 2021-01-01 18:00:00, -6999.0
None, None, None, 21.0, 9.04, 69.3, -51.0, -2.5, None, None, 69.0, None, None, -6999.0, None, None, 7.2, None, -2.297, None, -2.3, -6999.0, None, 35.07, 9.0, -2.3, 1.5, -6999.0, 2021-01-01 19:00:00, -6999.0
None, None, None, 18.4, 7.7, 62.47, -51.0, -2.5, None, None, 62.0, None, None, -6999.0, None, None, 9.5, None, -2.211, None, -2.2, -6999.0, None, 33.59, 7.7, -2.2, 2.3, -6999.0, 2021-01-01 20:00:00, -6999.0
None, None, None, 13.7, 5.285, 51.45, -51.0, -2.5, None, None, 51.0, None, None, -6999.0, None, None, 10.8, None, -2.085, None, -2.1, -6999.0, None, 27.67, 5.3, -2.1, 1.3, -6999.0, 2021-01-01 21:00:00, -6999.0
None, None, None, 6.6, 0.728, 350.3, -50.0, -2.5, None, None, 350.0, None, None, -6999.0, None, None, 12.9, None, -1.835, None, -1.8, -6999.0, None, 40.96, 0.7, -1.8, 2.3, -6999.0, 2021-01-01 22:00:00, -6999.0
None, None, None, 8.0, 0.723, 359.8, -51.0, -2.5, None, None, 360.0, None, None, -6999.0, None, None, 14.1, None, -1.92, None, -1.8, -6999.0, None, 50.06, 0.7, -1.9, 1.2, -6999.0, 2021-01-01 23:00:00, -6999.0
None, None, None, 8.1, 0.603, 349.4, -50.0, -2.5, None, None, 349.0, None, None, -6999.0, None, None, 14.1, None, -1.545, None, -1.5, -6999.0, None, 61.95, 0.6, -1.5, 0.0, -6999.0, 2021-01-02 00:00:00, -6999.0
None, None, None, 6.4, 0.701, 348.8, -50.0, -2.5, None, None, 349.0, None, None, -6999.0, None, None, 14.1, None, -1.344, None, -1.3, -6999.0, None, 53.32, 0.7, -1.3, 0.0, -6999.0, 2021-01-02 01:00:00, -6999.0
None, None, None, 7.3, 0.42, 244.8, -50.0, -2.5, None, None, 245.0, None, None, -6999.0, None, None, 13.9, None, -1.285, None, -1.3, -6999.0, None, 65.48, 0.4, -1.3, 0.0, -6999.0, 2021-01-02 02:00:00, -6999.0
None, None, None, 6.6, 0.468, 271.6, -50.0, -2.5, None, None, 272.0, None, None, -6999.0, None, None, 13.9, None, -1.19, None, -1.2, -6999.0, None, 48.69, 0.5, -1.2, 0.0, -6999.0, 2021-01-02 03:00:00, -6999.0
None, None, None, 4.0, 0.712, 13.4, -50.0, -2.5, None, None, 13.0, None, None, -6999.0, None, None, 13.9, None, -1.229, None, -1.2, -6999.0, None, 23.52, 0.7, -1.2, 0.0, -6999.0, 2021-01-02 04:00:00, -6999.0
None, None, None, 4.1, 0.441, 13.62, -50.0, -2.5, None, None, 14.0, None, None, -6999.0, None, None, 13.9, None, -1.199, None, -1.2, -6999.0, None, 33.96, 0.4, -1.2, 0.0, -6999.0, 2021-01-02 05:00:00, -6999.0
