station_observations
air_temp, min_air_temp_snc_last_reset, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, max_wnd_spd_10m_pst1hr, time, avg_wnd_spd_10m_pst10mts, dwpt_temp
-18.0, -19.3, 296.0, -13.3, -6999.0, 5.4, 2021-01-01 00:00:00, 1.5, -6999.0
-17.9, -19.3, 275.0, -13.3, -6999.0, 4.6, 2021-01-01 01:00:00, 1.2, -6999.0
-17.7, -19.3, 324.0, -13.3, -6999.0, 3.9, 2021-01-01 02:00:00, 1.0, -6999.0
-17.4, -19.3, 285.0, -13.3, -6999.0, 3.1, 2021-01-01 03:00:00, 0.9, -6999.0
-17.9, -19.3, 291.0, -13.3, -6999.0, 3.1, 2021-01-01 04:00:00, 0.5, -6999.0
-17.3, -19.3, 288.0, -13.3, -6999.0, 3.7, 2021-01-01 05:00:00, 0.6, -6999.0
-16.6, -19.3, 310.0, -13.3, -6999.0, 3.6, 2021-01-01 06:00:00, 0.4, -6999.0
-16.6, -16.6, 321.0, -16.5, -6999.0, 1.8, 2021-01-01 07:00:00, 0.2, -6999.0
-15.7, -16.6, 290.0, -15.7, -6999.0, 2.3, 2021-01-01 08:00:00, 0.1, -6999.0
-15.0, -16.6, 263.0, -15.0, -6999.0, 3.7, 2021-01-01 09:00:00, 0.6, -6999.0
-11.2, -16.6, 289.0, -11.3, -6999.0, 6.1, 2021-01-01 10:00:00, 1.3, -6999.0
-8.9, -16.6, 24.0, -8.9, -6999.0, 23.0, 2021-01-01 11:00:00, 6.4, -6999.0
-9.0, -16.6, 51.0, -8.8, -6999.0, 24.6, 2021-01-01 12:00:00, 11.1, -6999.0
-9.2, -16.6, 66.0, -8.8, -6999.0, 25.8, 2021-01-01 13:00:00, 12.3, -6999.0
-9.5, -16.6, 64.0, -8.8, -6999.0, 25.5, 2021-01-01 14:00:00, 11.9, -6999.0
-9.8, -16.6, 65.0, -8.8, -6999.0, 26.0, 2021-01-01 15:00:00, 11.3, -6999.0
-10.0, -16.6, 69.0, -8.8, -6999.0, 24.2, 2021-01-01 16:00:00, 11.9, -6999.0
-10.2, -16.6, 73.0, -8.8, -6999.0, 22.7, 2021-01-01 17:00:00, 9.5, -6999.0
-10.6, -16.6, 66.0, -8.8, -6999.0, 20.8, 2021-01-01 18:00:00, 9.7, -6999.0
-11.1, -11.1, 63.0, -10.5, -6999.0, 22.5, 2021-01-01 19:00:00, 10.6, -6999.0
-11.8, -11.8, 61.0, -10.5, -6999.0, 23.6, 2021-01-01 20:00:00, 10.9, -6999.0
-12.5, -12.4, 59.0, -10.5, -6999.0, 21.7, 2021-01-01 21:00:00, 10.1, -6999.0
-13.1, -13.1, 61.0, -10.5, -6999.0, 19.3, 2021-01-01 22:00:00, 10.0, -6999.0
-13.4, -13.4, 60.0, -10.5, -6999.0, 16.6, 2021-01-01 23:00:00, 8.7, -6999.0
-13.9, -13.9, 60.0, -10.5, -6999.0, 18.0, 2021-01-02 00:00:00, 8.3, -6999.0
-14.0, -14.0, 57.0, -10.5, -6999.0, 15.7, 2021-01-02 01:00:00, 7.6, -6999.0
-14.3, -14.3, 65.0, -10.5, -6999.0, 15.5, 2021-01-02 02:00:00, 8.4, -6999.0
-14.8, -14.8, 62.0, -10.5, -6999.0, 15.7, 2021-01-02 03:00:00, 7.3, -6999.0
-15.0, -15.0, 63.0, -10.5, -6999.0, 16.3, 2021-01-02 04:00:00, 8.0, -6999.0
-15.4, -15.4, 64.0, -10.5, -6999.0, 15.8, 2021-01-02 05:00:00, 7.5, -6999.0
-15.8, -15.7, 66.0, -10.5, -6999.0, 18.4, 2021-01-02 06:00:00, 7.8, -6999.0
-16.1, -16.1, 62.0, -15.7, -6999.0, 17.1, 2021-01-02 07:00:00, 7.6, -6999.0
-16.4, -16.4, 63.0, -15.7, -6999.0, 21.0, 2021-01-02 08:00:00, 9.7, -6999.0
-16.6, -16.6, 59.0, -15.7, -6999.0, 18.4, 2021-01-02 09:00:00, 8.2, -6999.0
-16.8, -16.8, 54.0, -15.7, -6999.0, 18.1, 2021-01-02 10:00:00, 7.4, -6999.0
-16.9, -16.9, 56.0, -15.7, -6999.0, 17.5, 2021-01-02 11:00:00, 9.0, -6999.0
-16.9, -17.0, 58.0, -15.7, -6999.0, 21.2, 2021-01-02 12:00:00, 9.7, -6999.0
-16.8, -17.0, 52.0, -15.7, -6999.0, 17.3, 2021-01-02 13:00:00, 9.2, -6999.0
-17.0, -17.0, 63.0, -15.7, -6999.0, 18.4, 2021-01-02 14:00:00, 10.8, -6999.0
-17.2, -17.2, 60.0, -15.7, -6999.0, 21.0, 2021-01-02 15:00:00, 10.9, -6999.0
-17.5, -17.5, 57.0, -15.7, -6999.0, 22.0, 2021-01-02 16:00:00, 11.0, -6999.0
-17.8, -17.7, 57.0, -15.7, -6999.0, 17.8, 2021-01-02 17:00:00, 10.3, -6999.0
-17.9, -18.0, 53.0, -15.7, -6999.0, 16.7, 2021-01-02 18:00:00, 8.0, -6999.0
-18.1, -18.1, 56.0, -17.9, -6999.0, 12.8, 2021-01-02 19:00:00, 7.1, -6999.0
-18.2, -18.2, 57.0, -17.9, -6999.0, 11.3, 2021-01-02 20:00:00, 5.8, -6999.0
-19.4, -19.3, 71.0, -17.9, -6999.0, 8.4, 2021-01-02 21:00:00, 3.3, -6999.0
-20.2, -20.3, 47.0, -17.9, -6999.0, 4.9, 2021-01-02 22:00:00, 1.7, -6999.0
-20.7, -21.2, 21.0, -17.9, -6999.0, 3.9, 2021-01-02 23:00:00, 0.9, -6999.0
-21.5, -21.5, 294.0, -17.9, -6999.0, 3.1, 2021-01-03 00:00:00, 0.3, -6999.0
-20.6, -21.9, 250.0, -17.9, -6999.0, 2.3, 2021-01-03 01:00:00, 0.3, -6999.0
-20.7, -21.9, 291.0, -17.9, -6999.0, 1.9, 2021-01-03 02:00:00, 0.4, -6999.0
-19.9, -21.9, 228.0, -17.9, -6999.0, 1.1, 2021-01-03 03:00:00, 0.0, -6999.0
-19.8, -21.9, 230.0, -17.9, -6999.0, 2.8, 2021-01-03 04:00:00, 0.4, -6999.0
-19.2, -21.9, 59.0, -17.9, -6999.0, 4.3, 2021-01-03 05:00:00, 0.9, -6999.0
-18.9, -21.9, 51.0, -17.9, -6999.0, 2.2, 2021-01-03 06:00:00, 0.4, -6999.0
-18.6, -19.0, 90.0, -18.6, -6999.0, 2.8, 2021-01-03 07:00:00, 0.6, -6999.0
-17.8, -19.0, 223.0, -17.8, -6999.0, 3.9, 2021-01-03 08:00:00, 0.6, -6999.0
-17.2, -19.0, 219.0, -17.2, -6999.0, 3.4, 2021-01-03 09:00:00, 0.7, -6999.0
-18.7, -19.0, 239.0, -17.2, -6999.0, 3.3, 2021-01-03 10:00:00, 0.4, -6999.0
-17.7, -19.2, 271.0, -17.2, -6999.0, 7.6, 2021-01-03 11:00:00, 2.4, -6999.0
-16.0, -19.2, 234.0, -16.0, -6999.0, 7.4, 2021-01-03 12:00:00, 2.7, -6999.0
-14.8, -19.2, 193.0, -14.8, -6999.0, 3.1, 2021-01-03 13:00:00, 0.8, -6999.0
-13.5, -19.2, 259.0, -13.5, -6999.0, 3.8, 2021-01-03 14:00:00, 1.2, -6999.0
-12.9, -19.2, 48.0, -12.9, -6999.0, 4.5, 2021-01-03 15:00:00, 1.0, -6999.0
-12.5, -19.2, 239.0, -12.5, -6999.0, 3.2, 2021-01-03 16:00:00, 0.7, -6999.0
-12.1, -19.2, 92.0, -12.1, -6999.0, 3.6, 2021-01-03 17:00:00, 0.7, -6999.0
-11.8, -19.2, 169.0, -11.8, -6999.0, 5.2, 2021-01-03 18:00:00, 1.4, -6999.0
-11.5, -11.8, 328.0, -11.5, -6999.0, 5.3, 2021-01-03 19:00:00, 1.1, -6999.0
-11.0, -11.8, 251.0, -11.0, -6999.0, 4.5, 2021-01-03 20:00:00, 1.3, -6999.0
-10.5, -11.8, 338.0, -10.5, -6999.0, 4.7, 2021-01-03 21:00:00, 0.8, -6999.0
-9.5, -11.8, 260.0, -9.4, -6999.0, 4.0, 2021-01-03 22:00:00, 1.3, -6999.0
-8.3, -11.8, 245.0, -8.3, -6999.0, 2.8, 2021-01-03 23:00:00, 0.5, -6999.0
-7.2, -11.8, 287.0, -7.2, -6999.0, 5.3, 2021-01-04 00:00:00, 0.9, -6999.0
-7.1, -11.8, 255.0, -6.8, -6999.0, 7.0, 2021-01-04 01:00:00, 1.8, -6999.0
-6.5, -11.8, 255.0, -6.4, -6999.0, 10.3, 2021-01-04 02:00:00, 2.5, -6999.0
-4.9, -11.8, 257.0, -4.3, -6999.0, 20.4, 2021-01-04 03:00:00, 6.9, -6999.0
-7.0, -11.8, 263.0, -3.9, -6999.0, 22.9, 2021-01-04 04:00:00, 7.1, -6999.0
-10.4, -11.8, 315.0, -3.9, -6999.0, 6.9, 2021-01-04 05:00:00, 2.1, -6999.0
-12.8, -12.7, 263.0, -3.9, -6999.0, 5.9, 2021-01-04 06:00:00, 1.7, -6999.0
-14.0, -14.7, 260.0, -12.7, -6999.0, 4.0, 2021-01-04 07:00:00, 0.9, -6999.0
-15.6, -15.7, 326.0, -12.7, -6999.0, 5.9, 2021-01-04 08:00:00, 1.8, -6999.0
-16.4, -16.4, 8.0, -12.7, -6999.0, 4.0, 2021-01-04 09:00:00, 0.9, -6999.0
-17.8, -17.9, 70.0, -12.7, -6999.0, 10.7, 2021-01-04 10:00:00, 3.5, -6999.0
-18.3, -18.3, 59.0, -12.7, -6999.0, 8.5, 2021-01-04 11:00:00, 3.0, -6999.0
-18.6, -18.6, 76.0, -12.7, -6999.0, 8.2, 2021-01-04 12:00:00, 2.5, -6999.0
-18.9, -19.0, 69.0, -12.7, -6999.0, 14.3, 2021-01-04 13:00:00, 5.5, -6999.0
-18.0, -19.0, 64.0, -12.7, -6999.0, 9.2, 2021-01-04 14:00:00, 4.0, -6999.0
-18.4, -19.0, 69.0, -12.7, -6999.0, 11.6, 2021-01-04 15:00:00, 4.6, -6999.0
-18.6, -19.0, 69.0, -12.7, -6999.0, 14.7, 2021-01-04 16:00:00, 3.5, -6999.0
-18.8, -19.0, 70.0, -12.7, -6999.0, 6.8, 2021-01-04 17:00:00, 2.0, -6999.0
-20.1, -20.1, 40.0, -12.7, -6999.0, 4.7, 2021-01-04 18:00:00, 1.0, -6999.0
-21.7, -21.6, 256.0, -20.1, -6999.0, 4.0, 2021-01-04 19:00:00, 1.0, -6999.0
-22.7, -22.9, 296.0, -20.1, -6999.0, 3.5, 2021-01-04 20:00:00, 0.7, -6999.0
-21.9, -22.9, 258.0, -20.1, -6999.0, 5.2, 2021-01-04 21:00:00, 1.5, -6999.0
-22.1, -22.9, 292.0, -20.1, -6999.0, 4.7, 2021-01-04 22:00:00, 1.3, -6999.0
-22.6, -22.9, 300.0, -20.1, -6999.0, 5.4, 2021-01-04 23:00:00, 1.5, -6999.0
-23.0, -23.0, 297.0, -20.1, -6999.0, 3.3, 2021-01-05 00:00:00, 0.6, -6999.0
-22.0, -23.1, 275.0, -20.1, -6999.0, 4.2, 2021-01-05 01:00:00, 0.7, -6999.0
-21.2, -23.1, 230.0, -20.1, -6999.0, 3.3, 2021-01-05 02:00:00, 0.5, -6999.0
-20.3, -23.1, 241.0, -20.1, -6999.0, 4.0, 2021-01-05 03:00:00, 0.7, -6999.0
-19.7, -23.1, 13.0, -19.7, -6999.0, 3.5, 2021-01-05 04:00:00, 0.3, -6999.0
-19.9, -23.1, 339.0, -19.7, -6999.0, 2.1, 2021-01-05 05:00:00, 0.3, -6999.0
-19.6, -23.1, 245.0, -19.6, -6999.0, 3.2, 2021-01-05 06:00:00, 0.6, -6999.0
-18.4, -19.6, 79.0, -18.4, -6999.0, 3.6, 2021-01-05 07:00:00, 0.9, -6999.0
-19.5, -19.6, 46.0, -18.4, -6999.0, 4.3, 2021-01-05 08:00:00, 1.0, -6999.0
-20.5, -20.6, 275.0, -18.4, -6999.0, 5.2, 2021-01-05 09:00:00, 1.0, -6999.0
-20.7, -20.8, 18.0, -18.4, -6999.0, 9.6, 2021-01-05 10:00:00, 2.4, -6999.0
-18.9, -20.8, 313.0, -18.4, -6999.0, 6.8, 2021-01-05 11:00:00, 1.7, -6999.0
-16.7, -20.8, 109.0, -16.7, -6999.0, 5.9, 2021-01-05 12:00:00, 1.8, -6999.0
-15.3, -20.8, 97.0, -15.3, -6999.0, 7.1, 2021-01-05 13:00:00, 1.8, -6999.0
-15.9, -20.8, 78.0, -15.3, -6999.0, 7.5, 2021-01-05 14:00:00, 2.3, -6999.0
-15.9, -20.8, 87.0, -15.3, -6999.0, 8.1, 2021-01-05 15:00:00, 2.6, -6999.0
-16.3, -20.8, 74.0, -15.3, -6999.0, 10.7, 2021-01-05 16:00:00, 3.2, -6999.0
-17.0, -20.8, 69.0, -15.3, -6999.0, 8.5, 2021-01-05 17:00:00, 2.9, -6999.0
-17.2, -20.8, 77.0, -15.3, -6999.0, 8.0, 2021-01-05 18:00:00, 1.8, -6999.0
-17.0, -17.2, 71.0, -17.0, -6999.0, 2.8, 2021-01-05 19:00:00, 0.4, -6999.0
-16.6, -17.2, 271.0, -16.6, -6999.0, 2.6, 2021-01-05 20:00:00, 0.4, -6999.0
-16.1, -17.2, 243.0, -16.0, -6999.0, 3.0, 2021-01-05 21:00:00, 0.4, -6999.0
-15.7, -17.2, 78.0, -15.7, -6999.0, 3.8, 2021-01-05 22:00:00, 0.7, -6999.0
-15.2, -17.2, 249.0, -15.0, -6999.0, 5.9, 2021-01-05 23:00:00, 2.0, -6999.0
-14.3, -17.2, 257.0, -14.3, -6999.0, 4.1, 2021-01-06 00:00:00, 1.1, -6999.0
-13.1, -17.2, 332.0, -13.1, -6999.0, 2.3, 2021-01-06 01:00:00, 0.5, -6999.0
-13.6, -17.2, 318.0, -13.1, -6999.0, 2.8, 2021-01-06 02:00:00, 0.9, -6999.0
-11.8, -17.2, 330.0, -11.8, -6999.0, 5.2, 2021-01-06 03:00:00, 0.9, -6999.0
-11.0, -17.2, 293.0, -10.1, -6999.0, 5.6, 2021-01-06 04:00:00, 1.3, -6999.0
-10.5, -17.2, 304.0, -10.1, -6999.0, 6.6, 2021-01-06 05:00:00, 1.4, -6999.0
-11.4, -17.2, 254.0, -9.8, -6999.0, 6.8, 2021-01-06 06:00:00, 1.4, -6999.0
-12.3, -12.2, 258.0, -11.2, -6999.0, 4.5, 2021-01-06 07:00:00, 1.0, -6999.0
-12.1, -12.9, 303.0, -10.9, -6999.0, 6.1, 2021-01-06 08:00:00, 1.5, -6999.0
-13.4, -14.1, 276.0, -10.9, -6999.0, 6.5, 2021-01-06 09:00:00, 1.6, -6999.0
-11.1, -14.2, 262.0, -10.9, -6999.0, 5.6, 2021-01-06 10:00:00, 1.4, -6999.0
-10.4, -14.2, 250.0, -8.4, -6999.0, 9.8, 2021-01-06 11:00:00, 2.1, -6999.0
-7.8, -14.2, 241.0, -7.7, -6999.0, 11.9, 2021-01-06 12:00:00, 2.8, -6999.0
-4.7, -14.2, 248.0, -4.3, -6999.0, 13.1, 2021-01-06 13:00:00, 5.5, -6999.0
-3.7, -14.2, 245.0, -3.3, -6999.0, 15.6, 2021-01-06 14:00:00, 7.7, -6999.0
-5.2, -14.2, 243.0, -3.3, -6999.0, 16.9, 2021-01-06 15:00:00, 6.5, -6999.0
-5.7, -14.2, 226.0, -3.3, -6999.0, 12.0, 2021-01-06 16:00:00, 3.8, -6999.0
