station_observations
CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW
None, -2.038, 97.6, None, None, None, 14.6, 27.23, -1.0, 4.4, 223.4, -2.0, 4.4, -2.0, -2.1, None, 223.0, -1.7, 98.0, None, 2021-01-01 00:00:00, 215.0, 214.8
None, -2.002, 97.6, None, None, None, 10.3, 19.71, 0.0, 3.627, 225.6, -2.0, 3.6, -2.0, -2.1, None, 226.0, -1.7, 98.0, None, 2021-01-01 01:00:00, 215.0, 214.6
None, -2.099, 97.6, None, None, None, 7.3, 19.15, -1.0, 2.473, 234.5, -2.0, 2.5, -2.1, -2.1, None, 235.0, -1.7, 98.0, None, 2021-01-01 02:00:00, 214.0, 214.0
None, -2.233, 97.5, None, None, None, 10.6, 32.71, 0.0, 2.355, 239.5, -3.0, 2.4, -2.2, -2.2, None, 240.0, -1.7, 98.0, None, 2021-01-01 03:00:00, 214.0, 213.6
None, -2.282, 97.5, None, None, None, 6.9, 56.71, -2.0, 1.36, 274.8, -3.0, 1.4, -2.3, -2.3, None, 275.0, -1.7, 98.0, None, 2021-01-01 04:00:00, 211.0, 211.3
None, -2.002, 97.6, None, None, None, 9.7, 55.32, 0.0, 2.505, 324.3, -2.0, 2.5, -2.0, -2.3, None, 324.0, -1.7, 98.0, None, 2021-01-01 05:00:00, 211.0, 211.1
None, -1.969, 97.6, None, None, None, 9.7, 28.37, 3.0, 3.076, 241.0, -2.0, 3.1, -2.0, -2.3, None, 241.0, -1.7, 98.0, None, 2021-01-01 06:00:00, 214.0, 213.5
None, -1.553, 97.7, None, None, None, 8.5, 21.65, 4.0, 3.262, 232.2, -2.0, 3.3, -1.6, -2.0, None, 232.0, -1.6, 98.0, None, 2021-01-01 07:00:00, 217.0, 217.1
None, -1.075, 97.9, None, None, None, 9.9, 19.2, 1.0, 4.19, 229.0, -1.0, 4.2, -1.1, -2.0, None, 229.0, -1.1, 98.0, None, 2021-01-01 08:00:00, 218.0, 217.8
None, -0.513, 98.0, None, None, None, 11.9, 18.44, -1.0, 5.268, 225.0, -1.0, 5.3, -0.5, -2.0, None, 225.0, -0.5, 98.0, None, 2021-01-01 09:00:00, 217.0, 217.3
None, 0.0, 98.0, None, None, None, 12.2, 16.59, 1.0, 6.069, 224.8, 0.0, 6.1, 0.0, -2.0, None, 225.0, 0.0, 98.0, None, 2021-01-01 10:00:00, 218.0, 218.1
None, 0.169, 97.9, None, None, None, 14.4, 19.42, -1.0, 6.998, 223.8, 0.0, 7.0, 0.2, -2.0, None, 224.0, 0.2, 98.0, None, 2021-01-01 11:00:00, 217.0, 217.2
None, 0.227, 97.5, None, None, None, 15.7, 20.17, 1.0, 6.192, 220.8, 0.0, 6.2, 0.2, -2.0, None, 221.0, 0.2, 98.0, None, 2021-01-01 12:00:00, 218.0, 217.8
None, 0.231, 98.0, None, None, None, 19.4, 26.32, 0.0, 6.114, 226.1, 0.0, 6.1, 0.2, -2.0, None, 226.0, 0.3, 98.0, None, 2021-01-01 13:00:00, 218.0, 217.5
None, 0.305, 98.1, None, None, None, 17.4, 22.68, 1.0, 6.96, 223.9, 0.0, 7.0, 0.3, -2.0, None, 224.0, 0.3, 98.0, None, 2021-01-01 14:00:00, 218.0, 218.0
None, 0.642, 98.0, None, None, None, 17.7, 38.63, 1.0, 5.53, 236.6, 0.0, 5.5, 0.6, -2.0, None, 237.0, 0.7, 98.0, None, 2021-01-01 15:00:00, 219.0, 218.7
None, 0.17, 98.3, None, None, None, 18.4, 38.28, -2.0, 4.885, 230.3, 0.0, 4.9, 0.2, -2.0, None, 230.0, 0.8, 98.0, None, 2021-01-01 16:00:00, 217.0, 216.7
None, 0.158, 98.4, None, None, None, 16.9, 48.68, 2.0, 4.443, 241.7, 0.0, 4.4, 0.2, -2.0, None, 242.0, 0.8, 98.0, None, 2021-01-01 17:00:00, 218.0, 218.4
None, 0.076, 98.5, None, None, None, 14.1, 34.14, 1.0, 4.825, 233.0, 0.0, 4.8, 0.1, -2.0, None, 233.0, 0.8, 99.0, None, 2021-01-01 18:00:00, 219.0, 219.4
None, -0.022, 98.6, None, None, None, 11.2, 23.28, 4.0, 4.062, 230.3, 0.0, 4.1, 0.0, 0.0, None, 230.0, 0.1, 99.0, None, 2021-01-01 19:00:00, 223.0, 222.8
None, -1.02, 98.9, None, None, None, 20.2, 25.51, 6.0, 6.768, 227.9, -1.0, 6.8, -1.0, -1.0, None, 228.0, 0.1, 99.0, None, 2021-01-01 20:00:00, 228.0, 227.8
None, -1.413, 98.9, None, None, None, 21.0, 32.31, 2.0, 5.796, 229.9, -2.0, 5.8, -1.4, -1.4, None, 230.0, 0.1, 99.0, None, 2021-01-01 21:00:00, 229.0, 229.4
None, -1.455, 98.9, None, None, None, 30.1, 28.17, 0.0, 6.188, 231.9, -2.0, 6.2, -1.5, -1.5, None, 232.0, 0.1, 99.0, None, 2021-01-01 22:00:00, 229.0, 229.3
None, -1.553, 98.7, None, None, None, 16.4, 26.94, 1.0, 6.856, 227.7, -2.0, 6.9, -1.6, -1.6, None, 228.0, 0.1, 99.0, None, 2021-01-01 23:00:00, 230.0, 229.7
None, -1.697, 98.5, None, None, None, 22.7, 22.56, 0.0, 8.47, 222.9, -2.0, 8.5, -1.7, -1.7, None, 223.0, 0.1, 99.0, None, 2021-01-02 00:00:00, 230.0, 229.7
None, -1.715, 98.2, None, None, None, 27.2, 19.14, 1.0, 10.35, 221.4, -2.0, 10.4, -1.7, -1.7, None, 221.0, 0.1, 98.0, None, 2021-01-02 01:00:00, 230.0, 230.2
None, -1.657, 98.1, None, None, None, 39.1, 21.68, 0.0, 10.46, 221.4, -2.0, 10.5, -1.7, -1.7, None, 221.0, 0.1, 98.0, None, 2021-01-02 02:00:00, 230.0, 230.4
None, -1.623, 98.1, None, None, None, 28.7, 23.26, 0.0, 10.52, 221.0, -2.0, 10.5, -1.6, -1.7, None, 221.0, 0.1, 98.0, None, 2021-01-02 03:00:00, 230.0, 229.9
None, -1.813, 98.0, None, None, None, 29.4, 20.6, 0.0, 9.59, 223.2, -2.0, 9.6, -1.8, -1.8, None, 223.0, 0.1, 98.0, None, 2021-01-02 04:00:00, 230.0, 230.0
