station_observations
CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, time, DEW_POINT
-17.0, 84.2, 2021-01-22 19:00:00, -19.0
-18.3, 83.4, 2021-01-22 20:00:00, -20.0
-19.4, 82.1, 2021-01-22 21:00:00, -21.0
-20.53, 81.6, 2021-01-22 22:00:00, -22.0
-21.07, 80.4, 2021-01-22 23:00:00, -24.0
-21.78, 79.58, 2021-01-23 00:00:00, -24.0
-22.48, 79.29, 2021-01-23 01:00:00, -25.0
-22.95, 78.51, 2021-01-23 02:00:00, -26.0
-23.27, 79.36, 2021-01-23 03:00:00, -25.0
-23.68, 78.1, 2021-01-23 04:00:00, -26.0
-24.09, 77.8, 2021-01-23 05:00:00, -27.0
-23.8, 78.1, 2021-01-23 06:00:00, -26.0
-23.13, 79.8, 2021-01-23 07:00:00, -26.0
-23.05, 79.48, 2021-01-23 08:00:00, -25.0
-22.02, 80.4, 2021-01-23 09:00:00, -24.0
-15.05, 85.8, 2021-01-23 10:00:00, -17.0
-14.07, 86.2, 2021-01-23 11:00:00, -16.0
-13.49, 86.4, 2021-01-23 12:00:00, -15.0
-12.57, 87.2, 2021-01-23 13:00:00, -14.0
-11.62, 87.8, 2021-01-23 14:00:00, -13.0
-11.61, 88.6, 2021-01-23 15:00:00, -13.0
-11.21, 88.9, 2021-01-23 16:00:00, -12.0
-11.49, 88.7, 2021-01-23 17:00:00, -13.0
-11.59, 88.7, 2021-01-23 18:00:00, -13.0
-11.13, 89.1, 2021-01-23 19:00:00, -12.0
-10.97, 89.2, 2021-01-23 20:00:00, -12.0
-11.06, 89.1, 2021-01-23 21:00:00, -12.0
-10.84, 89.3, 2021-01-23 22:00:00, -12.0
-10.85, 89.3, 2021-01-23 23:00:00, -12.0
-10.75, 89.5, 2021-01-24 00:00:00, -12.0
-10.27, 89.9, 2021-01-24 01:00:00, -12.0
-10.19, 90.0, 2021-01-24 02:00:00, -12.0
-10.07, 90.1, 2021-01-24 03:00:00, -11.0
-10.01, 90.0, 2021-01-24 04:00:00, -11.0
-10.18, 90.0, 2021-01-24 05:00:00, -11.0
-10.3, 89.9, 2021-01-24 06:00:00, -11.0
-10.19, 89.9, 2021-01-24 07:00:00, -11.0
-10.31, 89.8, 2021-01-24 08:00:00, -11.0
-10.22, 89.9, 2021-01-24 09:00:00, -11.0
-9.68, 90.3, 2021-01-24 10:00:00, -11.0
-8.95, 90.8, 2021-01-24 11:00:00, -10.0
-8.42, 91.4, 2021-01-24 12:00:00, -9.0
-7.849, 91.8, 2021-01-24 13:00:00, -9.0
-7.637, 91.9, 2021-01-24 14:00:00, -9.0
-7.495, 92.1, 2021-01-24 15:00:00, -8.0
-7.205, 92.4, 2021-01-24 16:00:00, -8.0
-7.576, 92.2, 2021-01-24 17:00:00, -9.0
-8.13, 91.7, 2021-01-24 18:00:00, -9.0
-8.29, 91.6, 2021-01-24 19:00:00, -9.0
-7.945, 92.0, 2021-01-24 20:00:00, -9.0
-7.609, 92.3, 2021-01-24 21:00:00, -9.0
-7.66, 92.2, 2021-01-24 22:00:00, -8.0
-7.578, 92.2, 2021-01-24 23:00:00, -9.0
-7.683, 92.1, 2021-01-25 00:00:00, -9.0
