station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, PRECIP_DETECTOR_RATIO, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, mslp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, rel_hum, time, stn_pres
94.2, None, None, 0.0, 0.0, 221.0, -6.0, -6.3, -6.0, 962.0, 221.0, None, None, 31.0, None, 30.91, None, None, -5.17, None, -5.1, None, None, 27.03, 0.0, -5.2, 1005.6, 0.5, 1.0, 94.0, 2021-01-01 00:00:00, 962.0
94.0, None, None, 0.0, 0.0, 235.9, -5.0, -6.3, -5.0, 962.0, 236.0, None, None, 32.0, None, 31.57, None, None, -4.781, None, -4.5, None, None, 44.78, 0.0, -4.8, 1005.6, 1.1, 1.0, 94.0, 2021-01-01 01:00:00, 962.0
94.8, None, None, 0.0, 0.0, 238.9, -5.0, -6.3, -5.0, 960.0, 239.0, None, None, 33.0, None, 32.87, None, None, -4.931, None, -4.5, None, None, 46.36, 0.0, -4.9, 1003.5, 0.2, 2.0, 95.0, 2021-01-01 02:00:00, 960.0
94.8, None, None, 0.0, 0.0, 261.6, -5.0, -6.3, -5.0, 959.0, 262.0, None, None, 34.0, None, 33.51, None, None, -4.193, None, -4.2, None, None, 55.49, 0.0, -4.2, 1002.4, 0.7, 1.0, 95.0, 2021-01-01 03:00:00, 959.0
94.7, None, None, 0.0, 0.0, 276.9, -5.0, -6.3, -5.0, 958.0, 277.0, None, None, 34.0, None, 33.91, None, None, -4.103, None, -4.2, None, None, 51.24, 0.0, -4.1, 1001.3, 0.4, 1.0, 95.0, 2021-01-01 04:00:00, 958.0
94.3, None, None, 0.0, 0.0, 280.3, -5.0, -6.3, -5.0, 957.0, 280.0, None, None, 34.0, None, 34.24, None, None, -4.087, None, -4.0, None, None, 47.88, 0.0, -4.1, 1000.3, 0.7, 1.0, 94.0, 2021-01-01 05:00:00, 957.0
94.9, None, None, 0.0, 0.0, 273.6, -5.0, -6.3, -5.0, 956.0, 274.0, None, None, 35.0, None, 34.92, None, None, -3.937, None, -3.9, None, None, 51.53, 0.0, -3.9, 999.2, 0.9, 1.0, 95.0, 2021-01-01 06:00:00, 956.0
95.0, None, None, 0.0, 0.0, 257.9, -5.0, -4.0, -5.0, 955.0, 258.0, None, None, 35.0, None, 35.08, None, None, -3.803, None, -3.8, None, None, 54.02, 0.0, -3.8, 998.2, 0.5, 0.0, 95.0, 2021-01-01 07:00:00, 955.0
94.7, None, None, 0.0, 0.0, 247.5, -5.0, -4.0, -5.0, 954.0, 248.0, None, None, 35.0, None, 35.39, None, None, -3.909, None, -3.7, None, None, 41.66, 0.0, -3.9, 997.2, 0.6, 1.0, 95.0, 2021-01-01 08:00:00, 954.0
95.0, None, None, 0.0, 0.0, 253.7, -5.0, -4.2, -5.0, 953.0, 254.0, None, None, 35.0, None, 35.48, None, None, -4.209, None, -3.7, None, None, 42.46, 0.0, -4.2, 996.1, 0.4, 0.0, 95.0, 2021-01-01 09:00:00, 953.0
94.9, None, None, 0.0, 0.0, 230.6, -5.0, -4.2, -5.0, 952.0, 231.0, None, None, 36.0, None, 35.8, None, None, -3.886, None, -3.7, None, None, 28.33, 0.0, -3.9, 995.0, 0.1, 1.0, 95.0, 2021-01-01 10:00:00, 952.0
94.6, None, None, 0.0, 0.0, 227.4, -5.0, -4.2, -5.0, 951.0, 227.0, None, None, 36.0, None, 36.0, None, None, -3.779, None, -3.7, None, None, 24.51, 0.0, -3.8, 994.0, 0.3, 0.0, 95.0, 2021-01-01 11:00:00, 951.0
94.4, None, None, 0.0, 0.0, 226.0, -4.0, -4.2, -4.0, 950.0, 226.0, None, None, 36.0, None, 35.95, None, None, -3.593, None, -3.4, None, None, 23.68, 0.0, -3.6, 992.9, 0.0, 0.0, 94.0, 2021-01-01 12:00:00, 950.0
92.4, None, None, 0.0, 0.0, 216.9, -4.0, -4.2, -4.0, 949.0, 217.0, None, None, 36.0, None, 35.83, None, None, -2.882, None, -2.9, None, None, 7.024, 0.0, -2.9, 991.8, 0.3, 0.0, 92.0, 2021-01-01 13:00:00, 949.0
93.8, None, None, 0.0, 0.0, 218.6, -4.0, -4.2, -4.0, 948.0, 219.0, None, None, 36.0, None, 35.71, None, None, -3.367, None, -2.6, None, None, 5.243, 0.0, -3.4, 990.8, 0.4, 0.0, 94.0, 2021-01-01 14:00:00, 948.0
94.7, None, None, 0.0, 0.0, 216.4, -4.0, -4.2, -4.0, 948.0, 216.0, None, None, 36.0, None, 35.76, None, None, -3.387, None, -2.6, None, None, 3.802, 0.0, -3.4, 990.8, 0.0, 0.0, 95.0, 2021-01-01 15:00:00, 948.0
94.7, None, None, 0.0, 0.0, 216.9, -4.0, -4.2, -4.0, 948.0, 217.0, None, None, 36.0, None, 35.96, None, None, -3.765, None, -2.6, None, None, 1.789, 0.0, -3.8, 990.8, 0.3, 0.0, 95.0, 2021-01-01 16:00:00, 948.0
95.2, None, None, 0.0, 0.0, 219.0, -4.0, -4.2, -4.0, 948.0, 219.0, None, None, 36.0, None, 36.11, None, None, -3.931, None, -2.6, None, None, 0.0, 0.0, -3.9, 990.8, 0.3, 0.0, 95.0, 2021-01-01 17:00:00, 948.0
95.4, None, None, 0.0, 0.0, 218.9, -4.0, -4.2, -4.0, 948.0, 219.0, None, None, 37.0, None, 36.93, None, None, -3.95, None, -2.6, None, None, 0.0, 0.0, -4.0, 990.8, 0.4, 1.0, 95.0, 2021-01-01 18:00:00, 948.0
95.6, None, None, 0.0, 0.0, 218.9, -5.0, -4.0, -5.0, 947.0, 219.0, None, None, 37.0, None, 37.03, 10.1, None, -3.948, None, -3.8, None, None, 0.0, 0.0, -3.9, 989.7, 0.7, 0.0, 96.0, 2021-01-01 19:00:00, 947.0
95.7, None, None, 0.0, 0.0, 218.8, -5.0, -4.2, -5.0, 947.0, 219.0, None, None, 36.0, None, 36.22, None, None, -4.197, None, -3.8, None, None, 0.208, 0.0, -4.2, 989.8, -0.1, -1.0, 96.0, 2021-01-01 20:00:00, 947.0
94.8, None, None, 0.0, 0.0, 218.8, -5.0, -4.5, -5.0, 945.0, 219.0, None, None, 36.0, None, 36.19, None, None, -4.635, None, -3.8, None, None, 0.02, 0.0, -4.6, 987.7, 0.0, 0.0, 95.0, 2021-01-01 21:00:00, 945.0
95.5, None, None, 0.0, 0.0, 218.7, -6.0, -5.1, -6.0, 944.0, 219.0, None, None, 36.0, None, 36.36, None, None, -4.856, None, -3.8, None, None, 0.0, 0.0, -4.9, 986.7, -0.6, 0.0, 96.0, 2021-01-01 22:00:00, 944.0
95.5, None, None, 0.0, 0.0, 220.4, -4.0, -5.1, -4.0, 943.0, 220.0, None, None, 36.0, None, 36.41, None, None, -3.834, None, -3.7, None, None, 14.53, 0.0, -3.8, 985.6, 0.3, 0.0, 96.0, 2021-01-01 23:00:00, 943.0
95.6, None, None, 0.0, 0.0, 220.1, -4.0, -5.1, -4.0, 944.0, 220.0, None, None, 36.0, None, 36.44, None, None, -3.365, None, -3.3, None, None, 19.81, 0.0, -3.4, 986.6, 0.4, 0.0, 96.0, 2021-01-02 00:00:00, 944.0
95.9, None, None, 0.0, 0.0, 220.2, -4.0, -5.1, -4.0, 944.0, 220.0, None, None, 36.0, None, 36.37, None, None, -3.184, None, -2.9, None, None, 15.74, 0.0, -3.2, 986.5, 0.2, 0.0, 96.0, 2021-01-02 01:00:00, 944.0
96.1, None, None, 0.0, 0.0, 216.0, -4.0, -5.1, -4.0, 943.0, 216.0, None, None, 36.0, None, 36.34, None, None, -3.439, None, -2.9, None, None, 1.763, 0.0, -3.4, 985.5, -0.1, 0.0, 96.0, 2021-01-02 02:00:00, 943.0
96.1, None, None, 0.0, 0.0, 216.7, -4.0, -5.1, -4.0, 943.0, 217.0, None, None, 36.0, None, 36.19, None, None, -3.572, None, -2.9, None, None, 0.084, 0.0, -3.6, 985.5, 0.0, 0.0, 96.0, 2021-01-02 03:00:00, 943.0
96.0, None, None, 0.0, 0.0, 216.6, -4.0, -5.1, -4.0, 943.0, 217.0, None, None, 36.0, None, 36.1, None, None, -3.763, None, -2.9, None, None, 0.0, 0.0, -3.8, 985.6, 0.0, 0.0, 96.0, 2021-01-02 04:00:00, 943.0
96.2, None, None, 0.0, 0.0, 216.5, -4.0, -5.1, -4.0, 941.0, 217.0, None, None, 36.0, None, 36.06, None, None, -3.72, None, -2.9, None, None, 0.0, 0.0, -3.7, 983.5, 0.0, 0.0, 96.0, 2021-01-02 05:00:00, 941.0
96.2, None, None, None, 0.0, 219.8, -4.0, -5.1, -4.0, 940.0, None, None, None, 36.0, None, 36.01, None, None, -3.641, None, -2.9, None, None, 11.72, None, -3.6, 982.4, 0.0, 0.0, 96.0, 2021-01-02 06:00:00, 940.0
