station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, WIND_DIRECTION_STD_DEVIATION1, snwfl_amt_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, avg_wnd_spd_10m_pst10mts, air_temp, min_air_temp_snc_last_reset, pcpn_amt_pst1hr, DEW_POINT, avg_wnd_dir_10m_pst10mts, max_air_temp_snc_last_reset, ACTUAL_WIND_DIRECTION, ACTUAL_WIND_SPEED, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW
None, None, -2.842, 98.3, None, None, None, None, 26.68, None, 8.4, 349.2, -3.0, None, -2.8, -2.9, 0.0, None, None, -2.3, None, None, 98.0, None, 2021-01-01 00:00:00, None, None, 120.8
None, None, -2.809, 98.5, None, None, None, 22.3, 19.21, 0.0, 10.16, 350.8, -3.0, 10.2, -2.8, -3.0, 0.3, None, 351.0, -2.3, None, None, 99.0, None, 2021-01-01 01:00:00, 121.0, None, 121.0
None, None, -2.753, 98.7, None, None, None, None, 15.85, None, 14.07, 346.1, -3.0, None, -2.8, -3.0, None, None, None, -2.3, None, None, 99.0, None, 2021-01-01 02:00:00, None, None, 121.0
None, None, -2.902, 98.5, None, None, None, 17.4, 18.18, 0.0, 12.72, 325.1, -3.0, 12.7, -2.9, -3.0, 0.4, None, 325.0, -2.3, None, None, 99.0, None, 2021-01-01 03:00:00, 119.0, None, 119.4
None, None, -2.926, 98.5, None, None, None, 19.8, 13.42, 0.0, 14.91, 331.9, -3.0, 14.9, -2.9, -3.1, 0.5, None, 332.0, -2.3, None, None, 99.0, None, 2021-01-01 04:00:00, 121.0, None, 120.6
None, None, -2.763, 98.7, None, None, None, 20.2, 18.85, 0.0, 13.48, 311.3, -3.0, 13.5, -2.8, -3.1, 0.9, None, 311.0, -2.3, None, None, 99.0, None, 2021-01-01 05:00:00, 122.0, None, 122.0
None, None, -2.601, 98.8, None, None, None, 19.9, 28.71, 0.0, 9.64, 289.0, -3.0, 9.6, -2.6, -3.1, 1.0, None, 289.0, -2.3, None, None, 99.0, None, 2021-01-01 06:00:00, 124.0, None, 124.1
None, None, -2.34, 99.0, None, None, None, 16.4, 31.01, 0.0, 8.62, 314.3, -2.0, 8.6, -2.3, -2.6, 1.0, None, 314.0, -2.1, None, None, 99.0, None, 2021-01-01 07:00:00, 125.0, None, 124.6
None, None, -2.148, 99.2, None, None, None, 16.4, 19.46, 0.0, 9.96, 335.7, -2.0, 10.0, -2.1, -2.6, 0.5, None, 336.0, -2.0, None, None, 99.0, None, 2021-01-01 08:00:00, 126.0, None, 125.8
None, None, -1.943, 99.2, None, None, None, 17.0, 23.22, 0.0, 9.97, 332.6, -2.0, 10.0, -1.9, -2.6, 1.0, None, 333.0, -1.6, None, None, 99.0, None, 2021-01-01 09:00:00, 126.0, None, 126.1
