station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, STANDARD_SNOW, PRECIPITATION_NEW, MINIMUM_AIR_TEMPERATURE, snwfl_amt_pst1hr, dwpt_temp, air_temp, min_air_temp_snc_last_reset, mslp, pcpn_amt_pst1hr, DEW_POINT, ATMOSPHERIC_PRESSURE, max_air_temp_snc_last_reset, rel_hum, MAXIMUM_AIR_TEMPERATURE, time, snw_dpth, HEIGHT_OF_SNOW, stn_pres
1.0, -11.4, 90.0, None, None, None, 1.0, -13.0, -11.4, -11.8, 1023.4, 0.0, -13.0, 883.0, -8.3, 90.0, None, 2021-01-01 00:00:00, 50.0, 49.87, 883.0
1.0, -10.71, 90.2, None, None, None, 1.0, -12.0, -10.7, -11.8, 1023.5, 0.0, -12.0, 883.0, -8.3, 90.0, None, 2021-01-01 01:00:00, 50.0, 50.23, 883.0
1.0, -10.45, 90.5, None, None, None, 0.0, -12.0, -10.5, -11.8, 1023.2, 0.0, -12.0, 883.0, -8.3, 91.0, None, 2021-01-01 02:00:00, 50.0, 50.05, 883.0
0.0, -10.19, 90.7, None, None, None, 1.0, -11.0, -10.2, -11.8, 1023.6, 0.0, -11.0, 883.0, -8.3, 91.0, None, 2021-01-01 03:00:00, 50.0, 50.31, 883.0
0.0, -10.1, 90.4, None, None, None, 0.0, -11.0, -10.1, -11.8, 1022.5, 0.0, -11.0, 882.0, -8.3, 90.0, None, 2021-01-01 04:00:00, 50.0, 50.28, 882.0
0.0, -10.48, 89.5, None, None, None, 0.0, -12.0, -10.5, -11.8, 1022.7, 0.0, -12.0, 882.0, -8.3, 90.0, None, 2021-01-01 05:00:00, 50.0, 50.34, 882.0
0.0, -10.46, 90.4, None, None, None, 0.0, -12.0, -10.5, -11.8, 1021.7, 0.0, -12.0, 881.0, -8.3, 90.0, None, 2021-01-01 06:00:00, 50.0, 50.42, 881.0
0.0, -9.9, 90.9, None, None, None, 0.0, -11.0, -9.9, -10.5, 1021.8, 0.0, -11.0, 881.0, -9.9, 91.0, None, 2021-01-01 07:00:00, 51.0, 50.55, 881.0
0.0, -9.23, 91.2, None, None, None, 0.0, -10.0, -9.2, -10.5, 1020.7, 0.0, -10.0, 880.0, -9.3, 91.0, None, 2021-01-01 08:00:00, 51.0, 50.69, 880.0
0.0, -8.17, 91.7, None, None, None, 0.0, -9.0, -8.2, -10.5, 1020.7, 0.0, -9.0, 880.0, -8.2, 92.0, None, 2021-01-01 09:00:00, 51.0, 50.53, 880.0
0.0, -6.125, 91.4, None, None, None, 0.0, -7.0, -6.1, -10.5, 1019.2, 0.1, -7.0, 879.0, -6.2, 91.0, None, 2021-01-01 10:00:00, 51.0, 50.51, 879.0
None, -4.541, 86.5, None, None, None, 0.0, -6.0, -4.5, -10.5, 1017.8, -0.1, -6.0, 878.0, -4.6, 87.0, None, 2021-01-01 11:00:00, 51.0, 50.54, 878.0
None, -3.55, 84.5, None, None, None, 1.0, -6.0, -3.6, -10.5, 1017.6, 0.0, -6.0, 878.0, -3.6, 85.0, None, 2021-01-01 12:00:00, 51.0, 51.0, 878.0
None, -2.801, 83.4, None, None, None, 0.0, -5.0, -2.8, -10.5, 1016.2, 0.0, -5.0, 877.0, -2.6, 83.0, None, 2021-01-01 13:00:00, 51.0, 50.78, 877.0
None, -2.65, 85.7, None, None, None, 0.0, -4.0, -2.7, -10.5, 1015.0, 0.0, -4.0, 876.0, -2.5, 86.0, None, 2021-01-01 14:00:00, 50.0, 50.43, 876.0
None, -3.136, 90.5, None, None, None, 1.0, -4.0, -3.1, -10.5, 1015.0, 0.0, -4.0, 876.0, -2.5, 91.0, None, 2021-01-01 15:00:00, 51.0, 51.09, 876.0
None, -3.411, 92.4, None, None, None, -2.0, -4.0, -3.4, -10.5, 1015.1, 1.0, -4.0, 876.0, -2.5, 92.0, None, 2021-01-01 16:00:00, 49.0, 49.35, 876.0
None, -3.514, 93.1, None, None, None, 2.0, -4.0, -3.5, -10.5, 1014.0, 0.0, -4.0, 875.0, -2.5, 93.0, None, 2021-01-01 17:00:00, 51.0, 51.26, 875.0
None, -3.534, 93.6, None, None, None, 3.0, -4.0, -3.5, -10.5, 1011.7, 0.0, -4.0, 873.0, -2.5, 94.0, None, 2021-01-01 18:00:00, 54.0, 53.76, 873.0
