station_observations
pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE1, RELATIVE_HUMIDITY1, max_air_temp_snc_last_reset, rel_hum, dwpt_temp, air_temp, min_air_temp_snc_last_reset, DEW_POINT, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time, snw_dpth, stn_pres
1.4, -0.335, 87.8, -0.2, 88.0, -2.0, -0.3, -1.4, -2.0, 0.0, 0.0, 2021-01-01 00:00:00, -6999.0, 726.0
1.6, -0.106, 89.6, -0.1, 90.0, -1.0, -0.1, -1.4, -1.0, 0.2, 0.0, 2021-01-01 01:00:00, -6999.0, 726.0
2.2, -0.264, 92.3, 0.0, 92.0, -1.0, -0.3, -1.4, -1.0, 0.6, 1.0, 2021-01-01 02:00:00, -6999.0, 726.0
2.7, -0.228, 93.5, 0.0, 94.0, -1.0, -0.2, -1.4, -1.0, 0.5, 0.0, 2021-01-01 03:00:00, -6999.0, 726.0
2.7, -0.102, 93.6, 0.0, 94.0, -1.0, -0.1, -1.4, -1.0, 0.0, 0.0, 2021-01-01 04:00:00, -6999.0, 725.0
2.7, 0.179, 92.2, 0.3, 92.0, -1.0, 0.2, -1.4, -1.0, 0.0, 0.0, 2021-01-01 05:00:00, -6999.0, 725.0
2.2, 0.523, 89.3, 0.7, 89.0, -1.0, 0.5, -1.4, -1.0, 0.0, 0.0, 2021-01-01 06:00:00, -6999.0, 725.0
1.5, 0.799, 87.8, 0.8, 88.0, -1.0, 0.8, 0.5, -1.0, 0.0, 0.0, 2021-01-01 07:00:00, -6999.0, 724.0
1.3, 0.637, 89.1, 1.0, 89.0, -1.0, 0.6, 0.5, -1.0, 0.0, 0.0, 2021-01-01 08:00:00, -6999.0, 724.0
1.3, 1.234, 85.7, 1.5, 86.0, -1.0, 1.2, 0.5, -1.0, 0.0, 0.0, 2021-01-01 09:00:00, -6999.0, 724.0
1.3, 1.752, 85.2, 1.8, 85.0, -1.0, 1.8, 0.5, -1.0, 0.0, 0.0, 2021-01-01 10:00:00, -6999.0, 724.0
1.3, 1.85, 86.9, 2.1, 87.0, 0.0, 1.9, 0.5, 0.0, 0.0, 0.0, 2021-01-01 11:00:00, -6999.0, 723.0
