station_observations
RELATIVE_HUMIDITY1, STANDARD_SNOW, MINIMUM_AIR_TEMPERATURE, max_wnd_spd_10m_pst1hr, MEASURED_WIND_SPEED1, MEASURED_WIND_DIRECTION1, dwpt_temp, min_air_temp_snc_last_reset, DEW_POINT, ATMOSPHERIC_PRESSURE, avg_wnd_dir_10m_pst10mts, ACTUAL_WIND_DIRECTION, MAXIMUM_AIR_TEMPERATURE, snw_dpth, MAXIMUM_MEASURED_WIND_SPEED1, HEIGHT_OF_SNOW, pcpn_amt_pst24hrs, CURRENT_AIR_TEMPERATURE2, CURRENT_AIR_TEMPERATURE1, PRECIPITATION_NEW, max_air_temp_snc_last_reset, rel_hum, ACTUAL_WIND_SPEED, WIND_DIRECTION_STD_DEVIATION1, avg_wnd_spd_10m_pst10mts, air_temp, pcpn_amt_pst1hr, snwfl_amt_pst1hr, time
95.1, None, None, 0.0, 0.0, 173.3, -6.0, -5.3, None, None, 173.0, None, None, 56.0, None, 56.17, None, None, -5.05, None, -4.4, 95.0, None, 49.86, 0.0, -5.1, 0.0, 0.0, 2021-01-01 00:00:00
95.2, None, None, 0.0, 0.0, 179.6, -5.0, -5.3, None, None, 180.0, None, None, 56.0, None, 56.14, None, None, -4.919, None, -4.4, 95.0, None, 39.82, 0.0, -4.9, 0.1, 0.0, 2021-01-01 01:00:00
95.5, None, None, 0.0, 0.0, 283.8, -5.0, -5.3, None, None, 284.0, None, None, 56.0, None, 56.04, None, None, -4.719, None, -4.4, 96.0, None, 61.31, 0.0, -4.7, 0.0, 0.0, 2021-01-01 02:00:00
95.5, None, None, 0.0, 0.0, 211.3, -5.0, -5.3, None, None, 211.0, None, None, 56.0, None, 56.13, None, None, -4.623, None, -4.4, 96.0, None, 30.44, 0.0, -4.6, 0.1, 0.0, 2021-01-01 03:00:00
95.6, None, None, 0.0, 0.0, 200.0, -5.0, -5.3, None, None, 200.0, None, None, 57.0, None, 56.67, None, None, -4.552, None, -4.3, 96.0, None, 41.63, 0.0, -4.6, 0.1, 1.0, 2021-01-01 04:00:00
96.0, None, None, 0.0, 0.0, 219.4, -4.0, -5.3, None, None, 219.0, None, None, 57.0, None, 57.39, None, None, -4.05, None, -3.7, 96.0, None, 20.51, 0.0, -4.1, 0.8, 1.0, 2021-01-01 05:00:00
96.6, None, None, 0.0, 0.0, 219.1, -4.0, -3.7, None, None, 219.0, None, None, 57.0, None, 57.05, None, None, -3.438, None, -3.3, 97.0, None, 16.65, 0.0, -3.4, 0.5, 0.0, 2021-01-01 06:00:00
97.1, None, None, 0.0, 0.0, 209.9, -3.0, -3.7, None, None, 210.0, None, None, 58.0, None, 57.93, None, None, -2.96, None, -2.7, 97.0, None, 16.92, 0.0, -3.0, 0.5, 1.0, 2021-01-01 07:00:00
97.2, None, None, 0.0, 0.0, 210.0, -3.0, -3.7, None, None, 210.0, None, None, 59.0, None, 59.45, None, None, -2.76, None, -2.6, 97.0, None, 13.95, 0.0, -2.8, 0.2, 3.0, 2021-01-01 08:00:00
97.4, None, None, 32.5, 10.2, 197.7, -3.0, -3.7, None, None, 198.0, None, None, 60.0, None, 60.09, None, None, -2.659, None, -2.5, 97.0, None, 18.77, 10.2, -2.7, 0.6, 1.0, 2021-01-01 09:00:00
